DOI,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial,ExtractCount
10.1016/j.rser.2024.115073,PV efficiency,Global,CC & air pollutants,2100.0,Present,% / degree Celsius,-0.45,,,,,,Page 2,Module temperature reduces efficiency by 0.4–0.5 % per degree Celsius; assuming long-term effects.,"
Second, raising module temperature reduces efficiency by 0.4–0.5 % per degree Celsius, limiting productivity in hotter climates. Third, atmospheric conditions (clouds, aerosols, pollutants, and dust) can reduce electricity output by up to 60 %, especially in desert regions.
",1.0
10.1016/j.rser.2024.115073,Electricity output,Desert regions,Atmospheric cond.,2024.0,No CC,%,-60.0,,,,,,Page 2,Atmospheric conditions can reduce electricity output by up to 60 %.,"
Second, raising module temperature reduces efficiency by 0.4–0.5 % per degree Celsius, limiting productivity in hotter climates. Third, atmospheric conditions (clouds, aerosols, pollutants, and dust) can reduce electricity output by up to 60 %, especially in desert regions.
",1.0
10.1016/j.rser.2024.115073,PV Efficiency,Global,Unspecified,2025.0,No CC,percentage / degree Celsius,-0.45,,,,,,6,Average of -0.4 and -0.5 % per degree Celsius,"Second, raising module temperature reduces efficiency by 0.4–0.5 % per degree Celsius, limiting productivity in hotter climates.; Solar insolation and ambient air temperature are the two main environmental factors affecting solar PV output [71]. Real-world power delivery can deviate by up to 10 %",1.0
10.1016/j.rser.2024.115073,Power Delivery,Global,Unspecified,2025.0,Real-world,percentage,-10.0,,,,,,6,Deviation due to temperature impacts,"Second, raising module temperature reduces efficiency by 0.4–0.5 % per degree Celsius, limiting productivity in hotter climates.; Solar insolation and ambient air temperature are the two main environmental factors affecting solar PV output [71]. Real-world power delivery can deviate by up to 10 %",1.0
10.1016/j.rser.2024.115073,Efficiency,Global,c-Si,2024.0,Per degree Celsius rise,%/°C,-0.45,,,,,,Page 8,Typical commercial c-Si cells experience this drop in efficiency.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,a-Si,2024.0,Per degree Celsius rise,%/°C,-0.25,,,,,,Page 8,Compared to this drop in efficiency for a-Si.,,1.0
10.1016/j.rser.2024.115073,Power,Global,Polycrystalline module at 45°C,2024.0,STC,%,-9.0,,,,,,Page 8,A polycrystalline module operating at 45°C should therefore produce 9 % less power than its predicted rating via STC.,,1.0
10.1016/j.rser.2024.115073,Open-circuit voltage,Global,c-Si,2024.0,Per degree Celsius beyond 25°C,mV/°C,-2.3,,,,,,Page 8,Open circuit voltage decreases by about 2.3 mV per degree C when temperature is beyond 25°C.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,CdTe,2024.0,Per degree Kelvin,%/°K,-0.24,,,,,,Page 8,Temperature coefficient range for CdTe.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,CdTe,2024.0,Per degree Kelvin,%/°K,-0.26,,,,,,Page 8,Temperature coefficient range for CdTe.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,CIGS,2024.0,Per degree Kelvin,%/°K,-0.31,,,,,,Page 8,Temperature coefficient range for CIGS.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,CIGS,2024.0,Per degree Kelvin,%/°K,-0.52,,,,,,Page 8,Temperature coefficient range for CIGS.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,Monocrystalline silicon,2024.0,Per degree Kelvin,%/°K,-0.425,,,,,,Page 8,Temperature coefficient range for Monocrystalline silicon.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,Monocrystalline silicon,2024.0,Per degree Kelvin,%/°K,-0.447,,,,,,Page 8,Temperature coefficient range for Monocrystalline silicon.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,Multi-crystalline silicon,2024.0,Per degree Kelvin,%/°K,-0.434,,,,,,Page 8,Temperature coefficient range for Multi-crystalline silicon.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,Multi-crystalline silicon,2024.0,Per degree Kelvin,%/°K,-0.47,,,,,,Page 8,Temperature coefficient range for Multi-crystalline silicon.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,Thin film,2024.0,Per degree Kelvin,%/°K,-0.27,,,,,,Page 8,Temperature coefficient range for Thin film.,,1.0
10.1016/j.rser.2024.115073,Efficiency,Global,Thin film,2024.0,Per degree Kelvin,%/°K,-0.4,,,,,,Page 8,Temperature coefficient range for Thin film.,,1.0
