DOI,Abstract
10.1016/j.jcomm.2024.100423,"The challenges posed by climate change on the agricultural market have become a pressing concern. An accurate reading of future agricultural commodity prices can be an invaluable planning instrument for diverse interested parties. Here, we explore asset pricing implications of climate risk for the agricultural commodity market from January 2005 to December 2021. Through introducing a composite climate risk index based on the four individual climate risk measures of Faccini et al. (2023), our findings provide valuable insights into the time-series predictability of aggregate climate risk on future agricultural commodity returns, both in- and out-of-sample. This powerful predictability conveys substantial economic benefits to mean–variance investors and cannot be subsumed by conventional economic predictor variables. The evidence further suggests that physical risk, especially global warming, exhibits much stronger return predictability than transition risk. Moreover, we emphasize the pivotal role of climate risk in shaping supply dynamics and capturing investor attention, thereby serving as potential drivers of return predictability. Overall, these predictive insights hold important implications for risk management, investment strategies, and policy formulation in the agricultural commodity market. © 2024 Elsevier B.V."
10.1016/j.eneco.2024.107968,"Climate policy uncertainty (CPU), driven by the need to address climate extremes and environmental degradation, significantly impacts the strategic corporate investments (CI) of energy firms. This study examines the influence of CPU on CI within the energy sector, with a particular focus on the moderating role of corporate social responsibility (CSR). Utilizing an empirical approach and a dataset of U.S. energy firms, the research reveals that CPU negatively affects CI, even after controlling for firm-specific factors such as size, financial leverage, and profitability. The study also uncovers a complex relationship between CSR and CI under conditions of CPU. While CSR is beneficial for firms' long-term growth and financial health by promoting sustainable practices, it can also intensify the negative impact of CPU on CI for firms with limited financial resources. The findings highlight the critical need to investigate the interplay between CPU, CSR, and CI in the energy sector. This research contributes to energy economics by providing insights into how CPU and CSR shape CI, offering a nuanced perspective on the dual role of CSR in the context of CPU. The results are of academic significance and have practical implications for corporate strategy, policymaking, and investment decisions in an industry central to global climate action and economic progress. © 2024 Elsevier B.V."
10.1016/j.jeem.2024.103047,"This paper improves our understanding of how rainwater impacts economic growth by investigating the effects of overlooked properties of the water cycle. First, we consider the natural separation of rainwater into flows of blue water (i.e., the water that runs off towards rivers) and green water (i.e., that remaining in the soil). Second, we account for the presence of surface and groundwater stocks. These considerations allow us to comprehensively address the whole partition of rainwater, which, upon reaching the ground, splits into distinct water resources that determine water availability inland. Our analyses on a global panel coupling sub-national economic and hydrological data show that rainwater does increase growth, but do so differently depending on its partition. Specifically, blue water leads to more economic growth than green water at the margin, but, because two thirds of terrestrial water is green, the latter contributes more to growth in total. By missing this crucial partition, we find that commonly used rainwater measurements overstate rainwater's contribution to growth (by about two). Our analyses further indicate that, although groundwater reserves always mitigate the impacts of rainwater reduction on growth, surface water reserves sometimes amplify regional dependence to rainwater (depending on sector, income and reserve types). © 2024 Elsevier Inc."
10.1038/s41586-024-08020-9,"Global emission reduction efforts continue to be insufficient to meet the temperature goal of the Paris Agreement1. This makes the systematic exploration of so-called overshoot pathways that temporarily exceed a targeted global warming limit before drawing temperatures back down to safer levels a priority for science and policy2–5. Here we show that global and regional climate change and associated risks after an overshoot are different from a world that avoids it. We find that achieving declining global temperatures can limit long-term climate risks compared with a mere stabilization of global warming, including for sea-level rise and cryosphere changes. However, the possibility that global warming could be reversed many decades into the future might be of limited relevance for adaptation planning today. Temperature reversal could be undercut by strong Earth-system feedbacks resulting in high near-term and continuous long-term warming6,7. To hedge and protect against high-risk outcomes, we identify the geophysical need for a preventive carbon dioxide removal capacity of several hundred gigatonnes. Yet, technical, economic and sustainability considerations may limit the realization of carbon dioxide removal deployment at such scales8,9. Therefore, we cannot be confident that temperature decline after overshoot is achievable within the timescales expected today. Only rapid near-term emission reductions are effective in reducing climate risks. © The Author(s) 2024."
10.1016/j.jag.2024.104086,"The Gross Domestic Product (GDP) per capita is one of the most widely used socioeconomic indicators, serving as an integral component for climate change impact analysis. However, a national scale assessment may induce considerable bias because it conceals any internal variations within a country. The lack of a long-term sub-national scale GDP data is a substantive hinderance. Leveraging the close relationship between nighttime lights and GDP, we address this gap by developing a novel methodological framework in two steps. First, under the modeling philosophy of spatial statistics, we developed a novel approach based on deep and machine learning techniques to establish a complex mapping between two inconsistent nighttime lights (NTL) datasets: the Defense Meteorological Satellite Program's Operational Linescan System (DMSP) and the National Polar-Orbiting Partnership's Visible Infrared Imaging Radiometer Suite (VIIRS). The models achieve accuracies ranging from 0.945 to 0.980 (correlation coefficients). By taking the estimations ensemble of the two techniques, the time series of DMSP data was extended to 2021. Next, a novel modeling strategy based on multi-layer perceptron was developed to derive the non-linear relationship between NTL and GDP per capita at sub-national scale to alleviate scale effects at this granularity, while explicitly capturing regional heterogeneity effect. The trained models achieve average accuracies of 0.967, 0.959, and 0.959 on the training, validation, and test sets, respectively. We evaluate the developed dataset at the global, national, and sub-national scales from various perspective, and the results offer solid evidence on the reliability of the estimated economic data. By linking to historical global climate change data, we quantify global economic losses attributed to extreme heat to demonstrate how the estimated GDP data can be useful in the climate change impact analysis. © 2024 The Author(s)"
10.3390/cli12080110,"In rainfed areas, precipitation variations directly impact wheat growth stages such as emergence, tillering, jointing and booting, and maturity. Evaluating the impact of climate change on precipitation patterns during these critical growth stages is crucial for adapting climate change and ensuring global food security. In this study, projections of five General Circulation models (GCMs) under two shared socioeconomic pathways (SSPs) were used to predict the changing characteristics of precipitation during four main growth stages of wheat in the rainfed region of the Pothwar Plateau, Pakistan. Historical datasets of daily precipitation at six weather stations were analyzed to check the past changes in the precipitation patterns. During the baseline period (1985–2014), the annual average precipitation decreased at a rate of −9.75 mm/decade, while the amount of precipitation during the rabi season (wheat-growing season) decreased at a rate of −20.47 mm/decade. An increase in the precipitation was found during the fourth (flowering) stage of crop growth, while the first three stages experienced a decrease in the precipitation amount. The multimodal ensembled data, under the SSP2-4.5 scenario, revealed a significant decline (at the rate of −16.63 mm/decade) in the future annual precipitation. However, it is projected that, under SSP2-4.5, there may be a slight increase (4.03 mm/decade) in the total precipitation amount during the future rabi season. Under the SSP5-8.5 scenario, average annual precipitation exhibited a slightly increasing trend, increasing by 1.0 mm/decade. However, during the rabi season, there was a possibility of a decrease in precipitation amount, with a rate of 11.64 mm/decade. It is also expected that the precipitation amount may vary significantly during the crown root initiation, jointing and booting, and flowering stages in the near future. These results provide a framework for the planning of wheat production in the Pothwar region of Pakistan, taking into account the potential impact of shifting weather patterns, particularly in terms of uneven precipitation. © 2024 by the authors."
10.1016/j.envsoft.2024.106121,"The Full of Economic-Environment Linkages and Integration dX/dt (FeliX) model is a System Dynamics-based Integrated Assessment Model (IAM), explicitly incorporating human behaviors and their dynamic interactions among global systems. This paper presents FeliX 2.0, describing the detailed framework and key interactions among nine integrated modules. FeliX 2.0 refined its original version in population dynamics, food and land use systems, and socioeconomic settings for poverty analysis. Robust calibration is applied to key variables against their historical data since 1950. Future projections of multiple variables up to 2100 demonstrate coherences between FeliX 2.0 and the IAMs used in IPCC assessments. Both outputs (the robust calibration results and future projections) underscore the efficacy of FeliX 2.0 in capturing complex interdependencies within global systems. FeliX 2.0 stands as an informative tool and offers insights into interactions within the human-Earth system and the analysis of complex economic-environmental-social challenges in short- and long-term future. © 2024 The Authors"
10.1016/j.eneco.2024.107758,"We examine the effect of rising temperatures on regional economic development, using annual sub-national data for over 1500 regions in 152 countries between 1990 and 2017. In a panel setting with region- and country-year fixed effects, we find no evidence of a homogeneous or heterogeneous effect of rising temperatures on economic development as measured by regional per capita income. Additionally, we find no non-linear relationship between temperature and economic development. We also employ a long-difference approach that is attuned to exploring the long-run relationship between rising temperatures and regional income. Results indicate that rising temperatures have a negative long-run impact on regional per capita income for a minority of regions located in countries with weak economic, legal and political institutions. Furthermore, these vulnerable regions experience a decline in long-term population and human capital development. The use of alternative regional per capita GDP data from 1950 onwards yields similar empirical results. Our findings suggest that negative economic effects of temperature increase with time, only becoming apparent in the long run for regions in already disadvantaged countries. Thus, country-specific conditions may moderate regional economic vulnerability to future temperature increases due to global climate change. © 2024 The Authors"
10.1016/j.scitotenv.2024.171704,"Greenhouse gas emissions are considered the culprit of extreme high temperatures, and low-carbon transformation has become a global consensus. The low-carbon action by enterprises is an inevitable choice if they are to adapt to economic and social needs. Green innovation is an important measure for enterprises to respond to the challenges of low-carbon transformation. This study mainly discusses the causal relationship between extreme high temperatures and green innovation of enterprises. Using China's industrial enterprise database, we construct county-annual panel data from 2000 to 2013. Results show that extreme high temperatures improve the level of green innovation of enterprises. After a series of robustness tests, the results remain. Mechanism analysis shows that extreme high temperatures increase the environmental concerns of the government, the public, and society, thus strengthening government regulation, public participation, and social supervision as well as encouraging enterprises to carry out green innovation. Our heterogeneous analysis shows that in the eastern region with a high level of legal system and economic development, it is easier to promote green innovation for enterprises. In addition, large-scale enterprises are more willing to carry out green innovation after experiencing a heat wave. © 2024 Elsevier B.V."
10.1007/s10584-024-03724-3,"We develop a financial-economic model for carbon pricing with an explicit representation of decision making under risk and uncertainty that is consistent with the Intergovernmental Panel on Climate Change’s sixth assessment report. We show that risk associated with high damages in the long term leads to stringent mitigation of carbon dioxide emissions in the near term, and find that this approach provides economic support for stringent warming targets across a variety of specifications. Our results provide insight into how a systematic incorporation of climate-related risk influences optimal emissions abatement pathways. © The Author(s), under exclusive licence to Springer Nature B.V. 2024."
10.1016/j.jeem.2024.102970,"Short-term weather forecasts, a common and popular public good in the modern world, affect labor decisions regarding time allocations. This study uses a novel dataset of city-level day-ahead weather forecasts in China, collected through video transcriptions of the country's popular TV program spanning over 2000 days since 2010. I estimate the number of hours laborers worked in a day as flexible functions of the daily maximum temperature forecast under different historical levels of forecast accuracy (represented by half-year rolling daily maximum temperature forecast root-mean-squared-error, RMSE). The results suggest large-magnitude (up to 4.5 and 1.2 h per day) labor decreases under uncomfortable temperature forecasts (extreme heat above 30∘C and medium cold 15∘C–25∘C), but only when forecasts are accurate (RMSE≈1∘C). The economic value of accurate weather forecasts is assessed by modeling this labor adaptation to forecasts. Specifically, 930 Yuan (148 USD, in 2015 currency) is gained per worker per year, with each 1∘C decrease in the city forecast RMSE. For the entire country, an average 3.9% increase in city-level forecast accuracy for 2011–2015 generates a considerable social benefit of 25.3 billion Yuan (4.03 billion USD) annually from the labor sector alone, nearly covering the annual cost of the national weather forecasting system. © 2024 Elsevier Inc."
10.1016/j.scitotenv.2024.170866,"The recurrent occurrence of extreme weather events poses a significant threat to agricultural production, food security, and sustainable economic development. Understanding farmers' adaptive responses to cope with these challenges is pivotal for informing and implementing effective climate resilience policies. This study utilizes the Spatial Precipitation Index (SPI) to assess rainfall patterns and applies fixed effects methods to analyze extreme rainfall shocks' impact on rural households, using panel data from China's 2006–2015 National Rural Fixed Point Survey. Below are the results. Firstly, both drought and rainstorm shocks negatively affect agricultural yield and income, highlighting farmers' vulnerability to extreme rainfall events. Secondly, farmers respond to these shocks by reallocating labor from agriculture to non-agricultural sectors or migrating to urban areas, with these labor mobility patterns typically being temporary. Thirdly, there's notable heterogeneity linked to household affluence. Less affluent rural households experienced more pronounced declines in yield and income, compelling higher migration rates. Collectively, our findings shed light on how Chinese rural households strategically adjust their labor decisions to respond to extreme rainfall shocks through inter-sectoral and inter-regional labor mobility. © 2024 Elsevier B.V."
10.1016/j.strueco.2023.10.006,"Emerging economies (EMEs) often ignore effective mitigation strategies for persistent climate changes to prioritise growth acceleration. This paper shows that they cannot sustain their economic growth due to the adverse impact of temperature rise on total factor productivity (TFP). Using a standard growth model, it demonstrates how temperature rise and variation for growing carbon emissions reduce capital productivity along with the damage to ecosystem services and labour productivity, adversely impacting total factor productivity (TFP) of an individual economy. A cross-sectional augmented auto-regressive distributed lag model (CS-ARDL), which addresses the issues of endogeneity, heterogeneity and cross-sectional dependence with stochastic trends, has been applied to 21 EMEs over the period from 1990 to 2018 and reveals a strong negative impact of temperature rise on total factor productivity. Although EMEs have heterogeneous impacts across the countries depending upon their climatic zones and income levels, one degree increase in temperature, on average, has decreased the TFP by approximately 3.22 per cent. It is much higher in the extreme climatic zones and less developed economies. © 2023 Elsevier B.V."
10.1016/j.jafr.2024.100978,"The East of Africa is the least developed region, the most food insecure and the most difficult development challenges in the world. The article review examines seventy-six peer-reviewed articles on climate-linked food insecurity and economic development in the East Africa mostly published 2017–2023. The study evaluates to what extent the literature provides, explain, and illustrate the numerous linkages between climate change, food insecurity and economic development. This study includes two sections; the first section examines the food insecurity, which is a result of violent conflict brought on by the effects of climate change; the second section examines an integrated approach to address conflict related climate change and food insecurity. According to the study, decreased agricultural and economic productivity as a result of climate change is a factor in conflict. Food insecurity and conflict are mutually reinforcing and closely linked. In addition, to lessen the food insecurity, policies must employ conflict related climate change adaptive strategies. The distribution and management of land, water, and other natural resources need to be improved in order to resolve conflicts caused by climate change. For East Africa to develop a successful strategy for addressing conflict-related climate change, participation in the development of resource-sharing agreements and land-use planning needs to be strengthened. Local natural resource management and identification of possible conflict hotspots using early warning, risk assessments, and scenario analysis were suggested as ways to lessen the effects of conflict due to climate change. The key policy implication is that the best strategies to promote long-term food security are to establish the rule of law, set high standards for regulation, protect property rights, establishing national frameworks for resolving climate-related conflicts, and settle conflicts. © 2024 The Authors"
10.1111/risa.14194,"To explore whether climate risk (CR) affects renewable energy technological innovation (RETI) and its boundary conditions, this study examines the relationship between CR and RETI as moderated by institutional environment. Based on panel data of 60 countries for the period 2000–2019, we show that CR is not conducive to RETI, and that its negative marginal impact shows an inverted U-shaped trend with the improvement of RETI. Heterogeneity analysis shows that floods and storms have the greatest negative impacts on RETI, and that innovations in solar and wind energy technologies are more vulnerable to the adverse shocks of CR. Furthermore, CR has a greater adverse effect on RETI in developing countries than in developed countries. However, the institutional environment, especially the economic institutional environment, can work to mitigate the negative effect of CR on RETI. Our findings not only enrich the research on the economic consequences of CR but also provide effective ways to mitigate the adverse impact of CR on RETI from the perspective of institutional environment. © 2023 Society for Risk Analysis."
10.1016/j.irfa.2024.103096,"There is a growing awareness that climate change is a new source of risk to the financial system, but cross-country evidence on the impact of climate risk on financial stability is lacking. This study empirically investigates the impact of climate risk on financial stability using panel data from 2007 to 2019 in 53 countries. The findings of this study reveal that climate risk negatively affects financial stability, and this adverse impact will show differences due to the different levels of economic development, financial development, and competition among countries. Furthermore, macroprudential policies have effectively maintained the financial stability of countries affected by climate risk. However, the macroprudential policies imposed on borrowers are different from balance-based and buffer-based macroprudential tools. In addition, good national governance quality can contain the impact of climate risk on financial stability. After suffering from climate risk, strengthening political stability, improving government efficiency, supervision, and legal system, strictly controlling corruption and improving the right to speak and accountability are conducive to the country's maintenance of financial stability to varying degrees. This study not only enriches the existing research in the field of climate financial risk, but also provides a reference for government departments to reduce the impact of climate risk and maintain financial stability. © 2024 Elsevier Inc."
10.1007/s11430-023-1443-0,"Economic feasibility is crucial for achieving the carbon neutrality target. However, current integrated assessments often underestimate the economic impacts of mitigation policies due to the lack of consideration of their economic benefits. This study integrates a warming-labour productivity model with a typical integrated assessment model using shared socioeconomic pathways. It simulates China’s economic development and carbon emission levels under both baseline and carbon-neutral policy scenarios, evaluating the economic costs and benefits of emission reduction policies aimed at achieving carbon neutrality. These findings reveal the following: (1) The economic costs of emission reduction policies are projected to peak between 2050 and 2060, ranging from 0.41% to 9.37% of total GDP in the baseline scenario, primarily due to increased energy prices and R&D investments. These costs are expected to decline rapidly after 2070. (2) China’s carbon-neutral policies will mitigate global warming, with the economic benefits of mitigation projected to reach 5.65% to 17.24% of China’s total GDP by 2100. (3) Low-carbon scenarios SSP1 and SSP4 could significantly reduce initial economic costs and advance the onset of net economic gains to 2060. This integrated assessment confirms that China’s carbon neutrality target offers substantial net economic benefits in the long term. To minimize initial economic costs, efforts should focus on enhancing consumption-side transitions, upgrading low-carbon technologies, and adopting new energy sources. © Science China Press 2024."
10.1002/ijfe.2952,"This work explores the role of weather shocks, measured as temperature deviations from their normal, in affecting GDP growth through a panel of 148 countries, spanning the period 1960–2019 and a panel quantile approach. The findings show that GDP growth is negatively affected by such deviations at higher quantiles, with the results receiving robust support from three alternative methodologies. The analysis also identifies two channels through which the findings receive further support, such as, the ‘heat-exposed’ sectors effect on labour productivity, and the impact of temperature deviations on the capital accumulation capacity. The results also survive the role of the country development status. Finally, the analysis identifies the role of the countries' geographical location. The results can have substantial merit for policymakers in terms of the role of climate conditions in the growth process, especially in poor countries. © 2024 John Wiley & Sons Ltd."
