DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Country(ies),Outcome(s) of Interest,Drivers of Risk,Scenario(s),Methodology,Highlights,More Notes,Applicability,Calibration Approach,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered,Impacted Sector,Benefits of Adaptation,Costs of Adaptation,Ante/Post?,Planning Process,"""Soft Options""",Sufficiency Definition,Soft Options
10.1111/roiw.12719,Nakamura L. & Sliker B.,2025,Climate Shocks in the Anthropocene Era: Should Net Domestic Product Reflect Climate Disasters?,found,10.1111/roiw.12719,AI,Step 5,This paper does not specify any particular country or group of countries. It focuses on global aggregate economic impacts and uses US (BEA and NOAA) data as an example for calculations.,"Economic impacts (aggregate, %), asset damage, capital consumption, BEA/NOAA cost estimates, disaster costs (% CFC, % NDP).","Global temperature change, extreme weather events, Hurricanes Katrina and Rita, climate events, billion-dollar disasters, catastrophic losses, natural disasters, asset destruction.","The provided notes do not explicitly name specific socioeconomic or climate scenarios. The analysis focuses on global warming levels (AR5), disaster cost trends based on BEA and NOAA data (floods, storms, fires, droughts, heat waves), and potential changes to the System of National Accounts (SNA) regarding disaster-related asset damage.","Methodologies for assessing macroeconomic and macro-fiscal impacts of climate change include statistical and structural modeling, and meta-analyses. A proposed modification to the System of National Accounts (SNA) considers incorporating weather/climate disaster asset damage into capital consumption calculations. Analysis involves comparing the impact of treating disaster costs as shocks versus incorporating a trend. NOAA data, encompassing floods, storms, fires, droughts, and heat waves, is utilized to calculate trends in disaster costs alongside BEA data, demonstrating robustness across different calculation methods.","Highlights: Higher global temperatures correlate with negative economic impacts, varying significantly across socioeconomic scenarios. Extreme weather events are becoming more frequent and predictable, necessitating changes in asset value accounting. Inclusion of full disaster costs increases capital consumption volatility. Disaster costs, though a small percentage of NDP, are growing (0.12% in 1980 to 0.40% in 2023), highlighting an increasing trend.","Macroeconomic statistics should reflect the feedback loop between economic activity and the environment. Extreme weather event predictability is improving. However, NOAA data lacks comprehensive cost accounting, excluding mortality, morbidity, and indirect costs like business interruptions. Event-driven macroeconomic/fiscal losses are highlighted, but specifics are lacking.",Macroeconomic/Fiscal,Econometric,Acute shocks,Adaptive,Global,,Transitional (accounting for changes over time),,"Adaptation is implicitly touched upon through examining disaster costs and proposals to integrate these costs into national accounting frameworks. This includes modeling economic impacts, analyzing capital consumption, and utilizing data on extreme weather events. The focus appears to be on quantifying the economic impact of climate-related disasters, which can inform adaptation strategies, though not explicitly stated as such.",,,,,,,,
10.1038/s41467-023-43114-4,Krichene H. et al.,2023,The social costs of tropical cyclones,found,10.1038/s41467-023-43114-4,AI,Step 5,41 TC-affected countries,"Economic growth reduction/losses, Discounted Annual Damage (DAD) from tropical cyclones, Social Cost of Carbon (SCC)/Tropical Cyclone-induced SCC (TC-SCC), National GDP trajectories/growth rates, national shares of affected people.","Tropical cyclones (TCs), global mean temperature/temperature increases, greenhouse gas emissions/emission scenarios (RCPs), socioeconomic development (SSPs), economic discounting/growth adjusted discount rates, socioeconomic vulnerability, agriculture impacts.","RCP scenarios (implied by the mixed-effects model), future greenhouse gas emissions scenarios, and socioeconomic development scenarios.","The methodology involves deriving temperature-dependent damage functions for 41 TC-affected countries, quantifying the national social cost of carbon (SCC) induced by tropical cyclones (TCs), and using temperature change models. This is accomplished through a three-way fixed effects panel model using annual national shares of people exposed to TCs as predictors, with damages modeled as functions of global mean temperature (GMT) change. A probabilistic event-based TC damage model employing a TC emulator and scenario analysis is used, considering six uncertainty dimensions such as future greenhouse gas emissions and socioeconomic developments. Maximum entropy bootstrapping with 1200 bootstraps per country expresses model uncertainties in growth estimates, generating projections based on four global climate models over 2010-2100. An empirical growth model translates affected population shares into deviations in national GDP pathways. Mixed-effects modeling accounts for RCP random effects, and different growth-adjusted discount rates, including the Stern rate, quantify uncertainties over 120,000 realizations. The TC-impact assessment includes a discrete-time discount rate definition and calculates TC-induced SCC (TC-SCC) as the differential SCC with and without TCs. This analysis is implemented in Python using CLI-MADA and statsmodels and considers dimensions of damage persistence and historical growth responses to TCs. The methodology was collaboratively designed and executed, involving contributions to data and tools by multiple researchers.","Tropical cyclones (TCs) substantially increase the social cost of carbon (SCC), especially for major emitters such as the USA, China, and India. While one estimate suggests that including TC effects does not affect the results, others find that TC strikes reduce economic growth in the short-, mid-, and long-term, with cumulative growth losses increasing with the number of lag years. Growth losses increase with global mean temperature (GMT) in most TC-affected countries, and are dependent on country-specific characteristics rather than development level. The impact of TCs on SCC is determined by exposure and economic vulnerability, with the USA experiencing the largest increase in median SCC due to TCs. Lower- and middle-income countries face larger adaptation challenges relative to their income, although when damage is measured relative to average household income, damages for some upper-middle and lower-middle income countries become comparable to those of the USA. Uncertainty in climate models and discounting choices significantly affect damage and SCC estimates. The discount rate has the largest impact on SCC estimates. The Tropical Cyclone-induced SCC (TC-SCC) is defined as the difference between the SCC with and without the contribution of TCs.","This study investigates the persistent growth effects of tropical cyclones (TCs) on 174 countries (41 historically affected), focusing on the period 2010-2100. The analysis incorporates compounding uncertainties in population and economic development, climate models, and socioeconomic pathways (RCPs and SSPs), presenting results across different scenarios and discount rates adjusted by each country's economic growth. Discounting is identified as a primary source of uncertainty. The study uses temperature-dependent, quasi-universal damage functions and considers the persistence of growth losses, national GHG emissions, and country-level TC-SCC tail risks. It acknowledges potential underestimation of impacts for lower-income populations and implicit inclusion of other impact channels (e.g., health) in the SCC estimate. The relationship between GMT and TC-induced growth changes depends on RCPs. The study applies a correction factor to simulated TC-affected people. Historical adaptation measures may be insufficient in the future, even in high-income countries. While the probabilistic TC track generation model is proprietary, other code is openly available.",Macroeconomic/Fiscal,Econometric,Acute shocks,Permanent,,Sequential Interactions,Transitional (accounting for changes over time),Other,"Adaptation isn't directly modeled. Focus is on quantifying climate change (specifically TC) impacts on GDP and SCC via damage functions and empirical growth models. The analysis considers uncertainty in climate scenarios, socioeconomic pathways, and discount rates, but doesn't explicitly model adaptive responses to reduce those impacts.",,,,,,,,
10.1016/j.econ.2020.04.001,Tanure T.M.D.P. et al.,2020,"The Impacts of Climate Change on Agricultural Production, Land Use and Economy of the Legal Amazon Region Between 2030 and 2049",found,10.1016/j.econ.2020.04.001,AI,Step 5,Brazil,"GDP; agricultural productivity; consumption (household, government); investment; employment; exports; imports; land use; regional impacts (Legal Amazon); food security; migration.","Climate change; greenhouse gas emissions; global warming; rainfall changes; temperature changes; agricultural productivity; land productivity shocks; deforestation; sectoral impacts; land use changes; regional heterogeneity; land supply elasticity; factor substitution elasticity; agriculture; pasture; planted forest; natural forest; specific regions affected (Mato Grosso, Tocantins, Pará).","Baseline scenario, scenario with climate change effects.","The study employs the REGIA model, an inter-regional Computable General Equilibrium (CGE) model for the Brazilian Legal Amazon, based on the TERM model. It projects economic and land use impacts of climate change on the region through simulations comparing a baseline scenario to one incorporating climate change effects from 2030-2049. The model features recursive dynamics, regional disaggregation of the Legal Amazon, and land use modeling considering total available area, productivity, and profitability. Land use dynamics are modeled using a transition matrix based on Carvalho (2014) and calibrated with satellite and census data, allowing movement between agriculture, pasture, planted forest, and unused land categories. Sensitivity analysis uses a 50% interval with uniform distribution for parameter variations, applying Gaussian quadrature methodology.","Climate change poses significant macroeconomic and macro-fiscal risks to Brazil, particularly impacting the Legal Amazon region due to its reliance on agriculture. Projected impacts include a decline in real GDP (e.g., a 1.18% loss in the Legal Amazon by 2049), reduced agricultural productivity (an average of 18% nationally), and changes in land use leading to deforestation. While some crops in specific regions may benefit, overall agricultural production in the Legal Amazon will be negatively affected, especially sugarcane. Mato Grosso and Tocantins are projected to be the most affected states. Reduced land productivity is anticipated to drive expansion of the agricultural frontier at the expense of pasture and forests. The study focuses on precipitation and temperature impacts on agriculture, capturing only a portion of potential climate change effects.","The analysis focuses on the Legal Amazon region of Brazil, which includes states like Amapá, Amazonas, Acre, Rondônia, Roraima, Tocantins, Pará, Mato Grosso, and parts of Maranhão. Key states affected by climate change, particularly due to agricultural dependence, are Mato Grosso, Tocantins, and Pará. Using the REGIA interregional CGE model, the study examines economic impacts and land use changes for 2030-2049 based on scenarios from ¸ão and Chein (2016). The heterogeneity of regional and sectoral impacts emphasizes the need for localized data to inform adaptation policies, particularly on agricultural productivity changes. Notable dynamics include the conversion of pasture to cropland and its implications for food security, especially regarding cassava production. Land use impact projections rely on an indirect land use change module within the model. Effects on livestock and forest production are mediated by agricultural shocks, affecting eastern and southern mesoregions most. The transition matrix adapts land stock distribution in response to remuneration changes, using a CET function and land supply elasticity.",Macroeconomic/Fiscal,,Chronic trends,Adaptive,Regional,Sequential and Spatial,Transitional (accounting for changes over time),,"Adaptation isn't explicitly addressed in the notes provided. The focus is on modeling and simulating the impacts of climate change (specifically, productivity decreases) on land use and the economy of the Brazilian Legal Amazon using the REGIA CGE model. The model projects future scenarios based on climate change impacts but doesn't appear to incorporate adaptive measures or policies.",,,,,,,,
10.1038/s41558-019-0607-5,Lamperti F. et al.,2019,The public costs of climate-induced financial instability,found,10.1038/s41558-019-0607-5,AI,Step 5,Not specified in this text.,GDP growth; public debt (debt-to-GDP ratio); bank bailouts (frequency & cost as % GDP); banking crises; firm insolvency; banks' equity-to-asset ratio; climate-induced financial instability; macroeconomic damages; temperature-related economic losses.,Climate change; Labour productivity; Capital stock; Financial instability; Banking sector; Non-performing loans; Firm insolvency; Bank bailouts; Macroeconomic dynamics; Energy industry.,"SSP1, SSP5, Scenarios with capital stock damages, Scenarios with labour productivity damages, Scenarios with labour and capital damages.","Agent-based climate-macroeconomic model (novel Dystopian Schumpeter meeting Keynes (DSK) model) is used in agent-based simulations to analyze the macroeconomic and financial impacts of climate change, including effects on the banking sector and public finances. The model is calibrated on stylized facts, future scenarios (SSP1 and SSP5), and climate impact functions affecting labour and capital, and incorporates financial regulation. Monte Carlo analyses (500 runs) are performed with different parameter combinations, covering the period 2000-2099, and results are presented as 10-year averages, yearly averages, and 90% confidence intervals. The modeling assesses financial instability driven by climate change under scenarios with capital stock damages, labour productivity damages, and combined labour and capital damages.","Climate change poses significant macroeconomic and macro-fiscal risks by increasing banking crises and the associated public costs of bank bailouts, potentially reaching 30% of GDP in high-emissions scenarios. These impacts are amplified when climate damages affect labor productivity. Macroprudential regulation is crucial for managing climate-induced financial risks and mitigating contagion. The analysis highlights the link between climate-induced financial distress and macroeconomic impacts, emphasizing the need to consider both direct and indirect effects on the financial system. Climate change scenarios with labor and capital damages lead to lower GDP growth and higher public bailout costs. A U-shaped relationship exists between banking sector restructuring costs and lending propensity. The analysis investigates public costs of banking fragility in different climate scenarios (SSP5 and SSP1).","The focus is on financial instability as a key channel for climate change's impact on macroeconomic outcomes, analyzing three scenarios: labor productivity damages, capital stock damages, and a combination of both.",Macroeconomic/Fiscal,Stylised,Stylised changes,Permanent,,Sequential Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Adaptation is not explicitly mentioned in these notes. The focus is on modelling the impacts of climate change (SSP1 and SSP5 scenarios) on macroeconomic and financial indicators, using an agent-based climate-macroeconomic model and Monte Carlo simulations. The analysis assesses impacts on the banking sector and public finances due to capital stock and labour productivity damages. The simulations cover periods from 2000 to 2099.",,,,,,,,
10.1029/2019EF001213,Wei T. et al.,2019,Potential Influence of Climate Change on Grain Self-Sufficiency at the Country Level Considering Adaptation Measures,found,10.1029/2019EF001213,AI,Step 5,The specific country or group of countries considered is not explicitly stated in the provided notes.,Grain self-sufficiency; food security; grain production (losses/benefits); grain consumption; land productivity; grain trade costs; farm income; regional impacts.,"Climate change; Temperature; Precipitation; Land productivity; Crop yield; Grain production (maize, wheat, rice); Agriculture; Food security; Self-sufficiency; RCP scenarios; Domestic supply; Domestic consumption; Trade disruptions; Vulnerability.","RCP 2.6, RCP 4.5, RCP 8.5.","The study assesses the impact of climate change on grain supply and food security at the national level using agricultural models, climate scenarios (RCP 2.6, 4.5, and 8.5), and adaptation strategies, focusing on temperature and precipitation effects. Country-level climate data is derived from CMIP5, and crop yield impacts are estimated using an econometric model. Economic impacts are projected using GRACE. The analysis projects changes under different RCPs for the years 2050 and 2100, especially focusing on the RCP8.5 scenario, modelling land productivity and comparing grain production losses with and without adaptation. The methodology considers behavior adjustments of economic agents.","Global warming is projected to reduce global grain production, with temperature increases being the dominant factor. Under high emissions scenarios (RCP8.5), losses are widespread and largest by 2100, particularly impacting top grain producers like the USA, India, and China (in terms of output losses) and Russia (in terms of self-sufficiency). Lower emissions scenarios (RCP2.6, RCP4.5) may initially offer short-term benefits for some countries, but eventually lead to losses. Adaptation can mitigate these losses, with varying effectiveness across countries (e.g., more effective in Brazil than China). While climate change impacts land productivity, production adjustments and behavioral responses can offset some of these direct effects, leading to relatively stable global grain consumption. Despite aggregate stability, regional disparities exist, with some countries like Canada, Germany, and Turkey potentially benefiting, while Russia faces reduced self-sufficiency requiring increased imports. Under RCP8.5 in 2100, higher grain prices benefit all regions, especially USA, China, India, and Pakistan.","This research examines the impact of climate change, particularly under RCP8.5 in 2100, on grain production and food security, focusing primarily on the agricultural sector in China (rice, wheat, maize, grain). Adaptation measures show potential to increase grain production. Analysis emphasizes temperature impacts on farm income and maize prices, but lacks broader macroeconomic/fiscal variables. CO2 fertilization may increase global grain production under RCP2.6 and 4.5, with stronger impacts in 2100. CICERO is a likely source institution.",Macroeconomic/Fiscal,Econometric,Chronic trends,Adaptive,Regional,Sequential Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Adaptation is factored in through agricultural modeling, climate scenarios, and strategies to mitigate grain supply impacts. Producers' behavioral adjustments are considered within the modeling framework and are explicitly compared (with and without adaptation) under RCP8.5 for 2100. The analysis is present in RCPs 2.6, 4.5 and 8.5.",,,,,,,,
10.1007/s10640-015-9977-y,Leppänen S. et al.,2017,The Impact of Climate Change on Regional Government Expenditures: Evidence from Russia,found,10.1007/s10640-015-9977-y,AI,Step 5,Russia,"Regional government expenditures; total expenditures; housing expenditures; climate variables (temperature, precipitation); economic costs (expenditure changes); national level impact; Russia-specific; potential economic benefits (Northern Sea Route, etc.); fiscal outcomes; temperature increase impact; cooling/heating expenditures.","Temperature, Precipitation, Extreme Weather, Climate Change, Regional Impacts, Non-linear Effects, Public Expenditure.",Historical climate data from 78 Russian regions between 1995-2009 to simulate moderate changes in temperature and precipitation. Regional temperature predictions from climate scenarios are also used.,"The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009) to estimate the impact of climate variables (temperature and precipitation) on regional government expenditures, representing public adaptation costs. Methodologically, the study utilizes both Fixed Effects (FE) and Linear/Long Difference (LD) models, with the LD model preferred for addressing omitted variable bias. Both linear and quadratic specifications for climate variables are explored. Models incorporate control variables and lagged temperature. Driscoll and Kraay standard errors (FE model) and heteroskedasticity-robust standard errors (LD model) address spatial/temporal dependence and heteroskedasticity, respectively. Robustness checks include removing outliers (5% tails) from climate variables. The LD model aims to capture longer-run impacts and potential adaptation, while the FE model focuses on short-term effects, providing a no-adaptation benchmark when analyzing short-term temperature variation. Regional impacts are projected onto national levels, using predicted regional temperature changes and regional temperature gradients.","Warming temperatures in Russia are generally associated with decreased regional government expenditures, particularly in colder regions and over the medium-to-long term. This effect is statistically significant and cumulative. While Russia may perceive net economic benefits from climate change, these gains are unevenly distributed. Projections suggest potential savings of USD 2-4 billion by the 2020s due to warming. Precipitation also negatively impacts housing expenditures. Heating degree days have a contrasting impact, increasing expenditures in colder regions but decreasing them in warmer ones, potentially due to limited air conditioning. The relationship between temperature and expenditure is non-linear, with short-term temperature increases reducing expenditures in cold regions, having a negligible impact in warmer regions, and reversing in the hottest regions.","Synopsis: The study, focused on Russia, uses temperature and precipitation as proxies for climate change to estimate impacts on regional expenditures, acknowledging this as a simplification. While warming trends in Russia are double the global average, potentially leading to longer growing seasons and energy demand shifts, perceived short-term economic benefits may conflict with long-term risks. Climate-related variables are often overlooked in public expenditure analysis. The econometric model considers annual weather variation and mid-term climate change, using regional data, deflated expenditure figures, and addressing geographic correlation and endogeneity issues (particularly with a Communist Party variable). Limited data and potential unaccounted variables, especially in the LD model, necessitate cautious interpretation. Growing degree days (GDD) do not significantly impact outcomes, possibly due to the limited role of regional governments in agriculture. The analysis primarily considers temperature changes and uses scenarios A2 and B1 and data until the 2020s due to increasing uncertainty in warming benefits beyond that timeframe. The focus is on regional differences and non-linearities to inform nationwide policy, but regional government impacts are only considered in cases of mild climate change and reactive adaptation.",Macroeconomic/Fiscal,Econometric,Chronic trends,Adaptive,Regional,Sequential Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Adaptation's impacts are analyzed using econometric models, with the Long-Difference (LD) model capturing longer-term climate impacts and potential adaptation effects. The analysis considers the difference between short-term impacts, providing a no-adaptation benchmark, and mid-term changes which include adaptation. The study involves estimating regional government expenditures as a response to temperature and precipitation changes, with adaptations accounted for by examining mid-term climate variations. The models incorporate both linear and quadratic specifications to address non-linear climate impact relationships, and regional temperature scenarios are used to project future impacts. Robustness checks are conducted, such as excluding extreme data percentiles, to ensure reliable estimates of adaptation impacts.",,,,,,,,
10.1177/0022343311426167,Bergholt D. & Lujala P.,2012,"Climate-related natural disasters, economic growth, and armed civil conflict",found,10.1177/0022343311426167,AI,Step 5,171 countries,"GDP growth, per capita GDP growth, economic growth, climate-related disasters (negative impact)","Climate-related natural disasters (floods, storms, cyclones, blizzards, surges); affected population; economic disruption (production, infrastructure); macroeconomic variables (openness, investment share, government share, FDI, inflation, population size, democracy index); conflict.","The paper does not explicitly analyze outcomes under specific named socioeconomic or climate scenarios. Rather, it uses statistical methods (OLS, fixed-effects, instrumental variables) on historical disaster data (1980-2007) to estimate the impact of climate-related disasters on economic growth.","The study uses econometric methods, specifically ordinary least squares (OLS) and fixed-effects models in panel data (1980-2007 for 171 countries), to assess the impact of climate-related disasters on economic growth and conflict onset. Country and year fixed effects are included. Real GDP per capita growth rate is the primary dependent variable in the growth analysis. Disaster data from EM-DAT is used, with event size normalized by affected population. The model incorporates a growth framework and control variables lagged by one year to address reverse causality. Events are weighted by their timing within the year. An instrumental variable (IV) approach with two-stage least squares (2SLS) is employed, where climatic disasters instrument for income growth in a second-stage conflict onset analysis. Robustness checks include alternative model specifications, country-specific cubic splines, time trends, controls for floods and storms, and clustered standard errors. STATA 11 is used for analysis.","Climate-related disasters have a statistically significant and robust negative causal effect on short-run economic growth. A larger affected population from a disaster exacerbates this negative impact. However, these short-term negative effects on economic growth do not appear to increase the risk of armed civil conflict. Conversely, conflict onset and incidence themselves negatively impact GDP per capita growth. Floods and storms affect similar populations, and disasters are globally distributed evenly throughout the year.","Climate disasters, specifically floods and storms lasting less than one month, are examined for their impact on economic growth and the onset of armed civil conflict. Using the number of people affected as the primary disaster variable, and controlling for various economic factors, disaster data is used to instrument economic growth. Older data before 1980 is deemed less reliable. While the impact of floods and storms were examined independently, no statistical difference was found. The study finds that the relationship between economic conditions and conflict risk is complex.",Macroeconomic/Fiscal,Econometric,Acute shocks,,Global,Sequential Interactions,Transitional (accounting for changes over time),,"The study focuses on quantifying the economic consequences of climate-related disasters, specifically their impact on economic growth and conflict onset. Econometric methods (OLS, fixed effects, instrumental variables) are employed using panel data across numerous countries over a specific time frame. The analysis utilizes disaster databases and growth models, controlling for various economic factors and employing techniques to address endogeneity.",,,,,,,,
10.1007/s10584-010-9956-9,Brown C. et al.,2011,Hydroclimate risk to economic growth in sub-Saharan Africa,found,10.1007/s10584-010-9956-9,AI,Step 5,"Sub-Saharan Africa, US, Brazil, and India.","Economic growth (GDP, per capita GDP), agricultural productivity (agricultural GDP value added, farm income), industrial value added, poverty (headcount ratios at $1 and $2/day), household income, economic productivity, welfare, livelihood. Focus on Sub-Saharan Africa (SSA). Impact of rainfall variability, drought risk, flood risk, and precipitation shocks.","Climate change, climate variability, hydroclimatic variability, temperature, precipitation (changes, patterns, extremes, anomalies), drought, floods, rainfall (variability, shocks), soil moisture.","The analysis and outcomes in the paper were conducted under scenarios determined by econometric and regression methodologies, including cross-country and panel regression models, using the WASP index and other climate-related variables. The scenarios consider temporal/spatial variability, specific time averages (e.g., 1962-2003), and country-specific factors, particularly focused on Sub-Saharan Africa. There is also reference to climate and geographic impacts in Ricardian analysis and projections involving five-year GDP forecasts.","Methodologies employed include cross-country and panel regressions to analyze the impact of climate variables, particularly precipitation and temperature, on national-level economic growth, agricultural and industrial value added, and poverty headcounts. Specific techniques involve fixed and random effects models with Hausman tests for model selection, and clustering of standard errors. Data and analysis often focus on Sub-Saharan Africa (SSA). A key feature is the use of a Water Availability Spatial Pattern (WASP) index to capture spatial and temporal precipitation variability, including drought conditions, within countries. Some analysis utilizes averaged data across several decades while others project future GDP changes. Ricardian analysis is also used to compare climate effects across countries, in specific sectors like agriculture.","Climate change, particularly hydroclimatic variability (especially drought), poses significant economic risks, especially in Sub-Saharan Africa (SSA). Rainfall variability is often more critical than temperature changes, with drought identified as a dominant negative effect on economic growth. The impact of rainfall anomalies is likely nonlinear, with significant effects from large anomalies. While temperature shows a negative relationship with GDP growth when precipitation is not considered, drought consistently and negatively affects GDP per capita growth, as well as agricultural and industrial GDP. Positive rainfall anomalies benefit agriculture. Managing current climate risks through infrastructure investment is crucial for adaptation and economic growth in SSA, helping to avoid a poverty trap. Few studies have considered the effects of hydroclimatic variability on national-level economic development, creating a gap in the analysis of the economic effects of climate variability at the country scale, particularly in SSA. The relative importance of temperature vs. precipitation depends on a country's economic sensitivity to climate.","This study focuses on Sub-Saharan Africa, highlighting the challenges rural households face in managing climate-related risks and criticizing the use of mean temperature and precipitation, which omits the impact of variability. It acknowledges varying vulnerabilities and coping capacities across countries, data limitations concerning flood risk in SSA (particularly due to the WASP index's monthly timescale), and potential lagged effects of drought. The study utilizes a WASP index to preserve spatial rainfall variability and operates under the assumption that time-invariant country characteristics remain constant. Statistical methodology is prioritized over specific climate change impacts and adaptation costs/benefits, advocating for diversified interventions like improved climate information, crop diversification, water management, risk transfer, market access, and hazard protection.",Macroeconomic/Fiscal,Econometric,Acute shocks,Adaptive,Regional,Spatial Interactions,Transitional (accounting for changes over time),,"Adaptation is largely absent from the methodological descriptions. The focus is on assessing climate change impacts on economic growth, agricultural production, industrial output, and poverty, using econometric analysis, cross-country regressions, panel data analysis, and case studies. Climate variables like temperature and precipitation, including the WASP index, are used to quantify climate effects, but explicit adaptation measures aren't mentioned as variables or considered within the regressions.",,,,,,,,
10.1177/0022343311426167,Bergholt & Lujala,2012,"Climate-related natural disasters, economic growth, and armed civil conflict",found,10.1177/0022343311426167,AI,Step 5,171 countries,"Economic growth, GDP growth, GDP per capita growth, impact of climate-related disasters on economic growth.","Climate-related natural disasters: floods, storms, cyclones, surges, blizzards.
Impact: Disrupt production, damage infrastructure, affect economic growth.
Metrics: Population affected (total, floods, storms), disaster size, economic openness, investment share, government share, FDI (inflow/outflow), inflation, population size, democracy index.
Other factors: Conflict (onset/incidence).",The provided text does not explicitly mention specific socioeconomic or climate scenarios used in the analysis. The analysis relies on econometric methods using panel data and fixed-effects models applied to historical disaster data from EM-DAT (1980-2007).,"The study employs panel data analysis (1980-2007, 171 countries) using OLS and fixed-effects models, primarily with country fixed effects, to assess the impact of climate-related disasters on economic growth (measured as real GDP per capita growth rate) and conflict onset. Disaster data is sourced from EM-DAT, with event size normalized by affected population. A growth model is used, including lagged control variables (lagged economic growth, openness to foreign trade, investment, government expenditure, FDI, and inflation) and weighted disaster events (by time of year). The analysis incorporates country and year fixed effects. Instrumental variable (IV) analysis, specifically two-stage least squares (2SLS), is used, with climate disasters as instruments for economic growth in a model predicting conflict onset. Robustness is tested with alternative model specifications, clustered standard errors, and country-specific cubic splines and time trends. STATA 11 is used for estimation.","Climate-related disasters negatively and significantly impact short-run economic growth, especially when a larger population is affected. However, these negative economic effects do not appear to increase the risk of armed civil conflict onset. Conflict itself negatively impacts per capita GDP growth. Floods and storms affect similar populations, and disasters are globally distributed throughout the year. The analysis treats climate-related events as exogenous.","Climate disasters (floods and storms lasting less than one month) are analyzed as instruments for exogenous variation in economic growth, examining the impact on both growth and the onset of armed civil conflict. Data prior to 1980 are deemed less reliable. The study uses the number of people affected by a disaster as the primary variable and controls for factors including lagged GDP, trade openness, FDI, investment, government expenditure, and inflation. No statistically significant difference was found between the impact of floods and storms, and population affected was the strongest predictor of growth impact. The relationship between economic conditions and conflict risk appears more complex than previously understood, and no indirect effect of climate disasters on conflict onset via economic growth was found.",Macroeconomic/Fiscal,Econometric,Acute shocks,Adaptive,Global,Sequential Interactions,Transitional (accounting for changes over time),,"Not directly addressed. The paper focuses on the impact of climate-related disasters on economic growth and conflict, using econometric methods.",,,,,,,,
10.1029/2019EF001213,Wei et al.,2019,Potential Influence of Climate Change on Grain Self-Sufficiency at the Country Level Considering Adaptation Measures,found,10.1029/2019EF001213,AI,Step 5,The notes do not specify a particular country or group of countries. The analysis calculates country-level data but does not explicitly name any specific countries.,"Grain self-sufficiency; food security; grain production (losses/benefits, changes); grain consumption (changes); land productivity; grain trade costs; GDP losses; farm income change; grain imports.",Climate change; Temperature; Precipitation; Land productivity; Grain yield; Agriculture; Food security; Self-sufficiency; RCP scenarios; Wheat; Rice; Maize; Domestic supply; Consumption; Trade disruptions; Vulnerability.,"RCP 2.6, RCP 4.5, and RCP 8.5.","The methodology employs agricultural and econometric models, driven by CMIP5 climate data and RCP scenarios (2.6, 4.5, and 8.5), to project climate change impacts on grain yields at the country level, focusing on temperature and precipitation. It considers both production and consumption to measure food security (SSR). The analysis often focuses on the RCP8.5 scenario, particularly for the year 2100, to model impacts on land productivity, farm income, maize prices, and grain self-sufficiency. The analysis also models the effects of producers' adaptation measures, and compares outcomes with and without adaptation. The analysis considers the behavior adjustment of economic agents. Economic impacts are estimated using GRACE.","Major grain-producing countries like China, India, and the USA face significant macroeconomic and macro-fiscal risks from climate change, with temperature being the dominant factor affecting grain production. Under the RCP8.5 scenario, all major grain producers are expected to experience substantial losses, particularly noticeable by 2100 compared to 2050. However, adaptation measures can mitigate these effects. 

Some countries such as Canada, Germany, and Turkey may benefit from climate change in certain scenarios, while others, notably Russia, are projected to face severe impacts on grain self-sufficiency, especially in wheat, prompting increased imports. In contrast, China demonstrates a notable increase in grain production with successful adaptation strategies. 

The USA and India consistently appear among the hardest hit in terms of production losses, while they, along with China and Pakistan, may see benefits from rising grain prices under severe climate scenarios. Despite direct climate change impacts on land productivity, stable grain consumption and increased self-sufficiency rates are possible through offsetting production effects and economic adaptation. However, these impacts on self-sufficiency might be overestimated without accounting for the adaptive behavior of economic agents.","This research, likely originating from CICERO, models the impact of climate change, particularly under the RCP8.5 2100 scenario, on grain production in China and global food security, focusing on rice, wheat, and maize. Adaptation measures potentially increase grain production despite negative climate change impacts on land productivity. CO2 fertilization may increase global grain production under RCP2.6 and 4.5 scenarios. The analysis quantifies impacts on grain production, consumption, land use, self-sufficiency ratio (SSR), farm income, and maize prices, showing potential for adaptation to mitigate negative effects. The impact in 2100 is generally stronger than in 2050 for RCP4.5 and 8.5.",Macroeconomic/Fiscal,Econometric,Chronic trends,Adaptive,,Sequential Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Agricultural models, climate scenarios, and adaptation strategies are used to assess impacts on grain supply. The analysis projects future grain production losses under different RCP scenarios (2.6, 4.5, 8.5) and considers potential producer adaptation measures. A comparison of grain production losses is done with and without adaptation for the RCP8.5 scenario. The methodology considers behaviour adjustment of economic agents.",,,,,,,,
