DOI,Author(s),Year,Paper Title,Background,Methodology,Results,Discussion
10.1016/j.fishres.2024.106951,Punt et al.,2024.0,"Capturing uncertainty when modelling environmental drivers of fish populations, with an illustrative application to Pacific Cod in the eastern Bering Sea","Decision makers are increasingly requesting the inclusion of environmental and climate drivers in stock assessments and the projections that guide harvest management. Capturing the full scope of uncertainty, including model structuring, process, and estimation uncertainties, remains a significant challenge but is essential for informed fisheries management. The importance of integrating these aspects is underscored by the sensitivity of fish populations, such as Pacific cod in the eastern Bering Sea, to rising temperatures and other environmental changes. Key environmental drivers, including Sea Surface Temperature (SST), are expected to impact recruitment and growth dynamics in climate-sensitive stocks, thus affecting biomass, fishing mortality, and overall economic outcomes for fisheries.","The study employs a framework that incorporates structural model uncertainty, process error in recruitment, and parameter estimation uncertainty by leveraging Earth System Models and multiple emissions scenarios. A Bayesian approach using NUTS MCMC is applied for parameter estimation, with model selection based on Akaike Information Criterion (AIC). Projections are generated using climate-enhanced stock assessments derived from multiple model configurations sourced from the US North Pacific Fishery Management Council, which include varied assumptions regarding recruitment's independence from environmental factors. Environmental scenarios and harvest control rules, notably the 40-5 rule and constant F approach, are evaluated under differing climate scenarios, such as MIROC ssp126 and GFDL ssp585. Limitations include the assumptions of stationarity in environment-recruitment relationships and 'set and forget' management, suggesting a need for adaptive management testing.",,"The analysis underscores the critical need to incorporate environmental variability into stock assessments to better conserve fish populations and sustain fisheries in the face of climate change. Traditional management approaches that assume static environment-recruitment relationships ('set and forget') are inadequate under ongoing climate change conditions. Instead, adaptive strategies, informed by regular reviews and climate-enhanced models, should be developed to adjust catch limits dynamically. Harvest control frameworks that factor in the worst-case environmental scenarios, such as GFDL ssp585, may offer a more secure route to conserving fish stocks while maintaining economic returns. The study highlights the advantageous use of climate data in fisheries management but also notes limitations, such as missing accounting of biological adaptation to increased temperatures and low variance explanation by environmental drivers. Further research is necessary to refine management models and ensure fishery resilience in the context of continuing climate shifts."
10.1007/s42452-020-03432-4,McLachlan et al.,2020.0,Country-level climate-crop yield relationships and the impacts of climate change on food security,"Projected climate change has stimulated increasing interest in the interactive effects between carbon dioxide (CO2) and temperature on crop yields. Crop yields are anticipated to decline if Earth continues to warm but increase as CO2 concentration rises. These two factors tend to work in opposite directions, and the interactive effect is not yet clear. There are also significant concerns that climate change is going to undermine global food security. This study examines the quantitative relationship between CO2 and temperature on crop yields to explore food security or insecurity in the presence of climate change.","A historical analysis of crop yield trends in 57 selected countries from 1961 to 2013 on a yearly basis was performed employing a fixed-effects panel regression model. The model is based on CO2 levels measured at Mauna Loa, Hawaii, and weighted-average temperatures in each country in corresponding years. Other socio-economic factors, including purchasing power parity adjusted gross domestic product (PPP GDP) and education levels measured by Human Capital Index (HCI), that might affect crop yields were also incorporated. Additionally, the model controls for other factors such as technological changes that contribute to increased yields. The regression models assess the impact of CO2 and temperature (and their squared terms and interactions) on crop yields for various crops.","Mixed evidence was found regarding CO2-fertilization and rising temperatures, where some crops benefit, and others are damaged. Four tipping points for CO2 were identified beyond which CO2 is no longer beneficial for wheat, maize, rapeseed, and rice. Maize is expected to sustain benefits from CO2-fertilization up until 800 ppm. Rice is damaged by rising temperatures beyond 44 °C.","This study models the interactive effects of CO2 and temperature on crop yields, highlighting mixed outcomes. Socio-demographic characteristics (GDP, education levels) are controlled for in regression models, implying that adaptation considerations may be indirectly accounted for. The negative impacts of climate change on food security may be overstated due to the CO2 fertilization effect and the potential for technological adaptation in agriculture. Limitations include data availability leading to assumptions of uniform CO2 distribution and the exclusion of solar radiation and precipitation. Future technological change is a significant unknown factor. There is no explicit mention of adaptation strategies."
10.1073/pnas.2103294118,Kotz M. et al.,2021.0,Footprint of greenhouse forcing in daily temperature variability,"Changes in mean climatic conditions will profoundly affect natural and societal systems under continued anthropogenic global warming. Changes in the high-frequency variability of temperature exert additional pressures, yet the effect of greenhouse forcing thereon has not been fully assessed or identified in observational data. This study investigates the impact of enhanced greenhouse gas concentrations on daily temperature variability, recognizing that such changes will have potentially strong and unequal effects on societies, economies, and ecosystems. It focuses on how the spatial and seasonal changes in daily temperature variability, driven by anthropogenic forcing and surface warming (particularly Arctic amplification), manifest globally.","The study analyzes daily temperature variability using historical reanalyses (NOAA 20th Century Reanalysis Version 3, ERA5) and a CMIP6 multi-model ensemble. Lowest-Frequency Component Analysis (LFCA) is applied to identify and estimate changes in daily temperature variability. Linear Discriminant Analysis and pattern-correlation statistics isolate greenhouse-forced signals. The analysis compares historical trends with projections across different CMIP6 models and forcing scenarios (SSP-126, SSP-585), assessing responses against natural internal climate variability using CMIP6 control runs. This approach allows for the attribution of observed changes to anthropogenic forcing and the projection of future changes under different emissions pathways.","The intramonthly variability of daily surface temperature changes with distinct global patterns as greenhouse gas concentrations rise. Variability increases at low to mid latitudes and decreases at northern mid to high latitudes with enhanced greenhouse forcing in both reanalyses of historical observations and state-of-the-art projections. These latitudinally polarized daily variability changes are identified from internal climate variability using a recently developed signal-to-noise-maximizing pattern-filtering technique, and attributable to enhanced greenhouse forcing. By the end of the century under a business-as-usual emissions scenario, daily temperature variability would continue to increase by up to a further 100% at low latitudes and decrease by 40% at northern high latitudes. Alternative scenarios demonstrate that these changes would be limited by mitigation of greenhouse gases. Global changes in daily variability exhibit strong covariation with warming across climate models, suggesting that the equilibrium climate sensitivity will also play a role in determining the extent of future variability changes. Historical increases in variability are evident in European summers and the tropics, with patterns aligning across models and historical observations. These changes are extremely unlikely from natural variability alone.","The observed and projected changes in daily temperature variability, driven by enhanced greenhouse forcing, are likely to have strong and unequal effects on societies, economies, and ecosystems if mitigation and protection measures are not taken. The fact that mitigation of greenhouse gases can limit these changes underscores the importance of climate action. The study highlights the role of anthropogenic forcing in driving these changes. The projected increase in variability in low-latitude regions, often associated with lower-income populations, may exacerbate existing regional inequalities. The strong covariation between global changes in daily variability and warming across climate models suggests that equilibrium climate sensitivity also impacts future variability changes. Further research is needed to better understand the regional variations and uncertainties, particularly regarding projected changes at northern mid to high latitudes during the JJA season. While adaptation is not explicitly considered, the findings emphasize the urgent need for strategies to mitigate the impacts of altered temperature variability, especially in vulnerable regions."
10.1016/j.gloenvcha.2021.102329,Cappelli et al.,2021.0,The trap of climate change-induced natural disasters and inequality,"The purpose of the present paper is to disentangle the mechanisms that connect climate change-induced disasters, inequality and vulnerability by accounting for both directions of causality. Climate change-induced natural disasters, including floods, storms, droughts, wildfires, landslides, and extreme temperatures, pose significant threats, particularly in countries with existing inequalities. This study investigates the interplay between these factors, exploring how inequality exacerbates disaster impacts and how disasters, in turn, worsen inequality, potentially creating a vicious cycle.","This study employs a simultaneous equations approach and Three-Stage Least Squares (3SLS) estimator on a panel of 149 countries from 1992 to 2018. Data from EM-DAT and WDI are used to analyze the relationship between climate change-induced disasters and inequality. Endogeneity is addressed with instrumental variables such as distance from the Equator and value added in agriculture. The analysis controls for current events, past disasters, and continent. Regression models incorporate socioeconomic variables, lagged variables, and interactions. Model fit is assessed via the Akaike Information Criterion. The analysis considers factors like GDP and past disasters. Country-based control variables, including surface area, rural population, institutional quality, and ethnic inequality, are included.","The empirical analysis reveals that countries with higher levels of income inequality suffer greater damages when hit by a natural disaster. At the same time, inequality is found to increase the number of people affected by disasters. Our analysis discloses the existence of a vicious cycle that keeps some countries stuck in a disasters-inequality trap. Unequal societies suffer greater physical damage from disasters. Wet disasters, especially floods, are particularly impactful on income inequality, especially in ethnically marginalized communities, while droughts affect the most people despite lower frequency. The Gini index and previous year's disasters are robust predictors of disaster impact magnitude. Increased inequality leads to more people affected, while development and gender equality reduce vulnerability. Countries with higher rural populations are more exposed. La Niña increases wet disasters.","This study demonstrates the critical link between inequality and vulnerability to climate change-induced natural disasters. The findings suggest that reducing inequality, promoting development, and improving gender equality are crucial for enhancing resilience to natural disasters. Furthermore, the impact of specific types of disasters, such as floods and droughts, varies, underscoring the importance of tailored adaptation strategies. Rural population density also significantly affects disaster impacts. Future research should focus on refining these findings and exploring specific policy interventions to break the disaster-inequality trap. The study shows that unequal societies are more vulnerable to physical damage and that development and gender equality reduce vulnerability."
10.1038/s41558-021-01062-1,Mori et al.,2021.0,Biodiversity-productivity relationships are key to nature-based climate solutions,"The global impacts of biodiversity loss and climate change are interlinked, but the feedbacks between them are rarely assessed. Exploring how biodiversity and climate change are interlinked, the authors show that limiting warming could maintain tree diversity, avoiding primary productivity loss. Countries with greater climate change economic costs benefit most: a potential triple win for climate, biodiversity, and society. Areas with greater tree diversity tend to be more productive, providing a greater carbon sink, and biodiversity loss could reduce these natural carbon sinks. This study aims to quantify how tree and shrub species richness could affect biomass production on biome, national, and regional scales, considering drivers of risk such as climate change (temperature, precipitation, bioclimatic variables), land-use change (deforestation, afforestation, bioenergy crops, monoculture plantations), and biodiversity loss (tree and shrub species richness). The category of focus is ecosystems, analyzed at a regional space disaggregation, considering spatial interactions and transitional economic dynamics.","The study projects changes in tree diversity and biomass production from 2005 to the 2070s at local (30 arcseconds), biome, IPBES subregion, and national scales using five Shared Socioeconomic Pathways (SSPs) and three General Circulation Models (GCMs: GFDL-CM3, HadGEM2-ES, MIROC-ESM). It uses species distribution modeling (MaxEnt v3.3 with AICc-based variable selection and 10-fold cross-validation), species-area and endemics-area relationships (SARs and EARs), extreme gradient boosting (XGBoost), and the AIM/CGE model for land-use change projections. Analysis incorporates bioclimatic variables (WorldClim 1.4), land-use variables (MODIS), and dispersal traits. The effects of mitigation are quantified using log ratios and generalized additive mixed models (GAMMs), with GCMs as a random effect and climate conditions as moderators, and ensemble results across GCMs using meta-analysis. Spatially explicit simulations are conducted in artificial landscapes, and relationships between the social cost of carbon and productivity conservation are analyzed. Analysis and modelling were performed with the R platform and several R packages (rgdal, raster, rJava, dismo, ENMeval, usdm, vegan, mobsim, xgboost, ARPobservation, metafor). Adaptation is considered through species dispersal ability and potential novel species combinations and is reflected in the analysis of land-use changes, species distribution modelling incorporating dispersal traits and future habitat constraints, and spatially explicit simulations of species co-immigration.","GHG mitigation could help maintain tree diversity and thereby avoid a 9-39% reduction in terrestrial primary productivity across different biomes, which could otherwise occur over the next 50 years. Countries that will incur the greatest economic damages from climate change stand to benefit the most from conservation of tree diversity and primary productivity, which contribute to climate change mitigation. Effective mitigation policies can reduce local tree species loss (3-61%), with scenario-dependent effectiveness through climate variables. Mitigation effects vary across biomes and regions.","The results emphasize an opportunity for a triple win for climate, biodiversity and society, and highlight that these co-benefits should be the focus of reforestation programmes. Protecting diverse forests enhances ecosystem productivity and carbon storage, contributing significantly to climate change mitigation. Greenhouse gas mitigation supports tree diversity and reduces terrestrial productivity loss by 9-39%, with climate, biodiversity, and societal benefits, particularly for economically vulnerable countries. The study emphasizes conservation and restoration of tree diversity as key to a stabilizing climate feedback loop. The study explores the impact of GHG mitigation on tree diversity and terrestrial primary productivity, particularly in colder/drier biomes, using fine-scale (30 arcseconds) and coarse-scale (30 arcminutes) grid analyses (~115 million grids based on WWF ecoregions), and examining various SSPs (SSP1-5) to project climate impacts for the 2050s and 2070s, acknowledging limitations in fully accounting for all factors. The hazard definition considered is chronic trends, and the impact persistence is adaptive."
10.1038/s41467-023-43114-4,Krichene et al.,2023.0,The social costs of tropical cyclones,"Tropical cyclones (TCs) can adversely affect economic development for more than a decade. Yet, these long-term effects are not accounted for in current estimates of the social cost of carbon (SCC), a key metric informing climate policy on the societal costs of greenhouse gas emissions. This study investigates the impact of TCs on the SCC, considering the persistent growth effects of damaging storms, particularly focusing on major greenhouse gas emitting countries. The study aims to address the gap in current climate policy evaluation by incorporating extreme weather event damages.","This research derives temperature-dependent damage functions for 41 TC-affected countries to quantify the country-level SCC induced by the persistent growth effects of damaging TCs. A three-way fixed effects panel model is used to estimate national GDP per capita (GDPpc) growth responses. Scenario analysis and probabilistic methods are used to project TC damages from 2010-2100, considering uncertainty dimensions related to TC frequency and intensity, global mean temperature, population exposure, and socioeconomic pathways (SSPs). The SCC is calculated using a coupled carbon-climate convolution integral approach. The model uses 8 lag years and temperature data from GSWP3-W5E5.","Accounting for TC impacts substantially increases the global SCC by more than 20%; median global SCC increases from US$ 173 to US$ 212 per tonne of CO2 under a middle-of-the-road future emission and socioeconomic development scenario. This increase is mainly driven by the strongly TC-affected major greenhouse gas emitting countries India, USA, China, Taiwan, and Japan.","The study's findings suggest that the benefits of climate policies could currently be substantially underestimated due to the omission of long-term TC impacts in SCC calculations. Adequately accounting for the damages of extreme weather events in policy evaluation may therefore help to prevent a critical lack of climate action. The increased global SCC is driven by TC impacts in India, USA, China, Taiwan, and Japan. However, the study acknowledges that damages may be underestimated by neglecting adaptation, rainfall, and storm surge. The model characterizes hazard impacts as acute shocks with permanent impact persistence and sequential impact interactions. Adaptation is not explicitly considered in the modeling framework, potentially leading to an overestimation of damages. Further research should focus on incorporating adaptation strategies and more comprehensively modeling storm impacts to refine SCC estimates."
10.5194/tc-18-653-2024,Coulon et al.,2024.0,Disentangling the drivers of future Antarctic ice loss with a historically calibrated ice-sheet model,"The Antarctic ice sheet plays a crucial role in global sea level dynamics. Understanding the drivers and trajectories of its mass loss under various climate scenarios is vital for projecting future sea-level rise. Recent advances in modeling, such as the use of CMIP6 climate models and observationally calibrated ice-sheet models, allow for more nuanced insights into the oceanic and atmospheric factors influencing ice loss in Antarctica. This study employs these advanced models to assess the relative influence of oceanic and atmospheric changes on Antarctic ice mass loss, particularly focusing on the potential tipping points and feedback mechanisms that could lead to significant sea-level rise.","The study utilizes an ensemble approach with the Kori-ULB ice-sheet model, calibrated against historical mass balance data from IMBIE. This model is forced by a series of climate models from CMIP6, accounting for different socio-economic pathways (SSP1-2.6 and SSP5-8.5 scenarios). The ensemble simulations explore uncertainties in ice-ocean-atmosphere boundary processes, ocean-driven sub-shelf melting, and atmospheric contributions, such as surface mass balance and surface runoff. A regional perspective is adopted to assess chronic trends across the Antarctic, with a focus on the Amundsen Sea Embayment and the Thwaites Glacier.",,"The study underscores the significant impact that emissions pathways have on the future of Antarctic ice mass loss and global sea-level rise. Short-term losses are dominantly driven by oceanic changes, such as sub-shelf melting aggravated by warm circumpolar deep water intrusions, while long-term projections reveal the atmosphere's growing role under high-emission scenarios. The findings also emphasize the importance of addressing uncertainties in ice-sheet parameters and climate forcing to improve projections. The potential tipping points and feedback mechanisms, such as the melt-elevation feedback, underscore the dynamic and uncertain nature of ice sheet evolution. These results highlight the need for concerted global efforts towards sustainable emission pathways to mitigate the risks posed by Antarctica's contribution to sea-level rise. Despite the model's limitations, including its coarse resolution and omission of some feedback processes, it provides valuable insights into the critical drivers and impacts of Antarctic ice loss."
10.1038/s41598-021-99757-0,Krummenauer et al. (2021),2021.0,Future heat adaptation and exposure among urban populations and why a prospering economy alone won’t save us,"The increasing frequency and severity of heat events due to climate change poses a significant risk to urban populations worldwide. Traditionally, economic growth is seen as a buffer against these risks by fostering technological and infrastructural improvements that bolster human adaptation. However, the nuances of heat-related mortality suggest that economic prosperity alone may not suffice to mitigate future health risks. This study examines potential changes in heat-related mortality, focusing on minimum mortality temperatures (MMT) as a metric, across 3820 cities considering the impacts of both climate change and socio-economic development.","This study uses a re-calibrated multivariate non-linear model to project changes in minimum mortality temperatures (MMT), the number of days exceeding these temperatures (EXD), and the magnitude of these exceedances (MAG) until 2100. The analysis incorporates various Representative Concentration Pathways (RCPs) and Shared Socioeconomic Pathways (SSPs) to appraise potential futures for heat adaptation and exposure in urban populations. The model integrates factors such as climate variables (temperature, humidity, wind speed), topographic attributes, and socio-economic variables, emphasizing the period from 2090 to 2099.","- The risk to human health from heat exposure is expected to decrease in 60% to 80% of the cities by 2100, due to an average global increase in MMTs driven by human acclimatization and economic development. - Higher minimum mortality temperatures, indicative of adaptation, correlate with sustained high economic growth in scenarios depicting severe climate forcing such as RCP8.5. - Adopting a 2 °C-compatible climate trajectory (RCP2.6) diminishes reliance on rapid economic growth for improved MMTs, facilitating enhanced health outcomes and showcasing the importance of sustainable economic strategies. - Geographic and scenario-specific disparities highlight the critical nature of joint adaptation and exposure evaluations, especially in locales with significant heat exposure and limited adaptive capacity.","The study underscores the complexity of adapting to heat under future climate and socio-economic conditions. While adaptation models project an overall decline in health risks associated with heat exposure by the end of the century, this relies heavily on precise scenario and location. Scenarios featuring high climate forcing like RCP8.5 necessitate sustained high economic growth to mitigate negative impacts, whereas more moderate pathways (RCP2.6) allow for a balanced approach, reducing dependency on fast economic expansion and encouraging sustainable development. The interplay of mitigation efforts in lowering scenario-driven heat exposure while fostering socioeconomic pathways is critical to future urban health outcomes. The findings advocate for integrated policy approaches that consider economic, climatic, and adaptive dynamics jointly, particularly in highly vulnerable regions. Ultimately, the study demonstrates that while economic progress plays a vital role in adaptation, it should be harmonized with sustainable practices to effectively combat heat-related health risks."
10.5194/esd-11-697-2020,Geiges et al.,2020.0,Incremental improvements of 2030 targets insufficient to achieve the Paris Agreement goals,"Current global mitigation ambition up to 2030 under the Paris Agreement, reflected in the National Determined Contributions (NDCs), is insufficient to achieve the agreement's 1.5 °C long-term temperature limit. As governments are preparing new and updated NDCs for 2020, the question as to how much collective improvement is achieved is a pivotal one for the credibility of the international climate regime. The recent Special Report on Global Warming of 1.5 °C by the Intergovernmental Panel on Climate Change has assessed a wide range of scenarios that achieve the 1.5 °C limit. Those pathways are characterised by a substantial increase in near-term action and total greenhouse gas (GHG) emission levels about 50 % lower than what is implied by current NDCs. This study assesses the outcomes of different scenarios of NDC updating that fall short of achieving this 1.5 °C benchmark, focusing on global mean temperature increase by 2100, extreme temperature impacts, long-term sea-level rise, and economic damages (GDP reduction in tropical countries).","The study assesses climate impacts under various NDC update scenarios using a stylized approach. It constructs GHG emission pathways and uses the MAGICC6 model to project global mean temperature trajectories. It uses the MAGICC sea-level model for GMSLR projections. Extreme temperatures are analyzed using CMIP5 data. Economic damages are calculated based on Burke et al. (2018), comparing GDP with and without climate change across different scenarios. Adaptation is not explicitly considered. The economic damage model excludes sea-level rise and extreme weather.","Incremental improvements in reduction targets, even if achieved globally, are insufficient to align collective ambition with the goals of the Paris Agreement. Under the assumption of maintaining ambition as reflected in current NDCs up to 2100 and beyond, the study projects a reduction in the gross domestic product (GDP) in tropical countries of around 60 % compared to a no-climate-change scenario and median long-term sea-level rise of close to 2 m in 2300. About half of these impacts can be avoided by limiting warming to 1.5 °C or below. Scenarios of more incremental NDC improvements do not lead to comparable reductions in climate impacts. An increase in aggregated NDC ambition of big emitters by 33 % in 2030 does not reduce presented climate impacts by more than about half compared to limiting warming to 1.5 °C.","Incremental NDC improvements are insufficient to meet Paris Agreement goals, leading to approximately 3°C of warming and severe impacts, particularly in vulnerable regions. More ambitious targets, especially from big emitters, are needed to limit warming to 1.5°C and significantly reduce climate impacts. The analysis compares scenarios based on current NDCs, a more aggressive mitigation scenario (BE33), and a 1.5°C pathway, finding profound economic risks for developing countries under current ambition. Results underscore that a transformational increase in 2030 ambition is required to achieve the goals of the Paris Agreement and avoid the worst impacts of climate change."
10.1029/2021EF002222,Warziniack et al.,2022.0,Projections of Freshwater Use in the United States Under Climate Change,"Water use in the United States reached its lowest level in 2015 in at least four decades. National trends, however, mask local challenges throughout the U.S. In some places, decreases in surface water use were more than offset by increases in groundwater use, leading to net increases in total withdrawals. Other places have seen increasing rates of water shortages caused by mixes of socioeconomic and climate forces. This study examines recent trends in freshwater use and makes projections in future freshwater use over the next 50 years. The study emphasizes the regional variability of water challenges and the importance of understanding future trends in freshwater use. The study uses Water Resource Regions (WRRs) to divide the US into eastern (1-9) and western (10-18) divisions. This work is important in the context of ongoing and future climate change, and is especially relevant considering the dominance of agricultural water use in the United States.","Projections are based on socioeconomic and climate scenarios from the Intergovernmental Panel on Climate Change Fifth Assessment Report (SSP and RCP scenarios). These scenarios are paired with five climate models from the downscaled Multivariate Adaptive Constructed Analogs (MACA). Past trends in water withdrawal rates were extrapolated using annual growth and decay rates derived from 1985-2015 data, split by WRR, and projections applied at the county level. Adaptation is indirectly addressed by projecting water demand and withdrawals considering climate and socioeconomic scenarios, such as RCPs and SSPs, to account for future changes in climate and human demand. Assumptions include maintaining current water requirements for crops and livestock. The approach used 'Other' methodologies (i.e., projections). The hazard definition is characterized as chronic trends, impacting various sectors through sectoral interactions, with transitional economic dynamics that account for changes over time.","Total consumptive water use will decrease by as much as 8% under the best-case scenario but increase by as much as 235% under the worst-case scenario. Results depend on both climate and socioeconomic changes, but because agriculture is the dominant use of water in most regions, climate change impacts overwhelm all other factors under hot and dry futures. For the wetter climate models, water use decreases even under the highest emissions levels and highest population growth rates. Water usage trends vary significantly by region, with some areas facing increasing shortages due to socioeconomic and climate factors. Projections vary by climate model, with significant impacts seen under high growth and emissions scenarios.","Climate impacts more strongly influence U.S. water use than population growth due to agricultural dominance, with regional variances. The projections vary significantly depending on the specific climate model used, highlighting the uncertainties associated with future climate projections. These findings underscore the need for regionally tailored water management strategies that consider both climate change and socioeconomic drivers."
