DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Country(ies),Outcome(s) of Interest,Drivers of Risk,Scenario(s),Methodology,Calibration Approach,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered,Highlights,More Notes,SummaryCount
10.1016/j.rie.2022.10.002,Klöcker J.A. & Daumann F.,2023.0,What drives migration to Germany? A panel data analysis,https://www.fsv.uni-jena.de/fsvmedia/77913/1-s2-0-s1090944322000552-main.pdf,10.1016/j.rie.2022.10.002,AI,Step 5,Developed and developing countries.,"GDP, GDP per capita, GNI per capita, unemployment, life expectancy, migration, underemployment, underproduction.","Climate-related anomalies, armed conflict, business cycles, cultural connection to homeland, spatial distance, diaspora size.","The paper analyzes outcomes under scenarios involving varying GDP (including business cycle fluctuations), temperature anomalies, and different levels of Human Development Indicators (HDI), considering both developed and developing countries.","The methodology uses panel regressions with fixed effects (within estimator, ordinary OLS, PPML) to analyze government responses to migration inflows. Utility maximization, Gumbel distributions, and McFadden's results inform a model relating migration to economic conditions and policy, focusing on marginal effects of business cycle changes on migration. The analysis decomposes marginal effects, examines temperature anomaly impacts on migration, and considers HDI components separately. A Hodrick-Prescott filter is used to decompose GDP per capita. Analysis is conducted for both developed and developing countries, and differentiates between regular and asylum-related migration.",Econometric,Chronic trends,,Global,Sequential Interactions,Transitional (accounting for changes over time),,"Adaptation is not directly considered in this paper. The paper focuses on modeling migration flows in response to economic conditions, policy restrictiveness, temperature anomalies, and other factors. It analyzes the government's reaction function to migration, considering GDP, expected net migration, and diaspora size, but does not explicitly address adaptation strategies or their costs and benefits.","Governments adjust migration policies based on migration inflows, diaspora size, and GDP. Migration costs decrease with diaspora size and increase with distance. Economic recovery and GDP growth boost immigration by offering better income prospects and relaxed policies. Rising temperatures may benefit colder regions agriculturally but can negatively impact migration if yields decrease below insurance costs. Temperature anomalies reduce asylum migration by 26%, while diaspora size boosts immigration. Armed conflicts significantly increase asylum and regular immigration from low-income countries, by 73% and 110% respectively.","Analysis focuses on climate change impacts on migration flows in relation to HDI and GDP, using Malaysian temperature data as a proxy for Brunei Darussalam.",1.0
10.1086/720393,Waldinger M.,2022.0,The Economic Effects of Long-Term Climate Change: Evidence from the Little Ice Age,found,10.1086/720393,AI,Step 5,England and 12 to 48 European countries (within constant boundaries of 2012).,"Economic effects, agricultural productivity, mortality, migration, trade volumes, city size, temperature changes, economic growth, yield ratios, wheat prices, social unrest, mortality crisis, land use, pasture, cropland, market proximity.","Temperature change (historical, long-term, mean, growing season, non-growing season), Little Ice Age (cooler temperatures), Extreme weather events (heat waves, storms, cyclones), Agricultural productivity, Mortality, Migration, Economic growth/living standards, Trade, Volcanic activity, Solar activity.",Little Ice Age (1600-1850) temperature fluctuations.,"Methodology involves a historical analysis of the Little Ice Age (1600-1850) using panel data regression techniques to assess the long-term economic effects of temperature changes on various socio-economic outcomes at national and sub-national levels (city, parish, country). The analysis uses temperature data and historical evidence to link temperature changes to mortality, migration, trade, city size (population), and agricultural land use (pasture, cropland, yield ratios, and wheat prices). Regression models employ fixed effects (city, time, decade, parish, county/year, port, country, location), control variables (geographic, historical, access to ocean, Atlantic trade, market access, terrain ruggedness, soil suitability, distance to Roman road, altitude), and adjustments for spatial and serial correlation (Conley standard errors, two-way clustered standard errors, bootstrapped standard errors clustered at the city level, standard errors clustered at the grid level). A gravity model of trade is used to measure potential trade opportunities, and binned scatterplots are used for visualization. The study leverages historical data sources such as Slicher van Bath (1963), Luterbacher et al. (2004), and the History Database of the Global Environment. The empirical approach considers both short-term (year-to-year) and long-term effects of temperature fluctuations and explores adaptation strategies.",Econometric,Chronic trends,Adaptive,Local,Sequential Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Adaptation strategies, such as changes in trade patterns and agricultural land use, are examined within the context of the Little Ice Age. The impact of temperature changes on migration is also considered. The modifying role of trade opportunities in the temperature-city size relationship is investigated. Changes in pasture and cropland in relation to temperature shifts are examined.","Climate change, exemplified by the Little Ice Age, significantly impacts economies, primarily through agricultural productivity, mortality, and city size. Decreased temperatures correlate with reduced agricultural yields, increased mortality (especially in agriculture-dependent economies with limited trade), and smaller city sizes. However, trade acts as a crucial buffer, mitigating these negative effects. Cities with greater trade access and less rugged terrain are less vulnerable to temperature decreases. Adaptation strategies include increased trade, land-use changes (potentially expanding pasture and cropland), and market access. Temperature positively correlates with pasture and cropland area, but the exact relationship between temperature change and land use is complex. Access to trade is key for adapting to the negative economic impacts of long-term temperature changes.","The study examines the historical impact of climate change, particularly during the Little Ice Age in Europe, utilizing historical data from 1500-1850 to assess adaptation strategies such as trade and land use changes. Inland trade opportunities and geographic factors like natural barriers played significant roles in moderating economic impacts of temperature changes. Adaptation challenges in agriculture and energy efficiency are noted, with higher income reducing climate impacts. Historical measures to improve resilience included expanding productive land and trade networks. The analysis extends to the effects of temperature on city size, economic activity, and agricultural productivity, using controls for historical determinants like trade and human capital. However, the data's historical and regional specificity, along with methodological limitations, restricts its direct applicability to contemporary macroeconomic and macro-fiscal risk assessments of climate change adaptation. Trade's importance in adaptation and the vulnerability of agriculture-dependent economies with limited access are underscored, especially for developing countries.",1.0
10.1108/IJCCSM-10-2020-0108,Liu et al.,2021.0,Assessing the impacts of climate change to financial stability: evidence from China,found,10.1108/IJCCSM-10-2020-0108,AI,Step 5,China,"Financial stability, economic losses, climate change, bank credit risk, market volatility, temperature increase, financial system stability, financial stability index, negative impact of climate change.","Climate shocks (positive/negative), temperature changes (increase/decrease), climate disasters, climate policies, transition risks, physical risks, low-carbon economy transition, CO2 concentration changes.","The analysis was performed using unspecified climate and socioeconomic scenarios. The models used include Vector Autoregression (VAR) and Non-linear Autoregressive Distributed Lag (NARDL) models to analyze the impact of temperature and CO2 changes on financial stability, considering both short-term and long-term asymmetric effects.","The research employs Vector Autoregression (VAR) and Nonlinear Autoregressive Distributed Lag (NARDL) models to analyze the impact of climate change on financial stability. VAR models are used to understand dynamic relationships between variables and identify short-term asymmetric effects of climate shocks. NARDL models are applied to investigate nonlinear, asymmetric, short-term, and long-term effects, specifically analyzing the impact of positive and negative temperature shocks and CO2 emissions. The methodology includes unit root tests (ADF and PP), lag length criterion for VAR models, asymmetry and co-integration tests for NARDL models, climate stress tests for energy project portfolios, and cumulative sum of squares recursive residuals tests for model stability. Trend analysis of evapotranspiration and precipitation and damage functions from integrated assessment models are also included.",Econometric,Chronic trends,Adaptive,,,Transitional (accounting for changes over time),Other,"Consideration appears limited to climate stress tests on energy project portfolios. The primary focus lies on modeling and assessing the impact of climate change (temperature shocks, CO2) on financial stability, employing methods like VAR and NARDL models to capture asymmetric, nonlinear, short-term, and long-term effects. Some analysis identifies effects of climate change on desertification.","Climate change poses a significant risk to financial stability, with both physical and transition risks acting as key mechanisms. The impacts are nonlinear, asymmetric, and path-dependent, potentially triggering domino effects. Positive (e.g., temperature decreases) and negative (e.g., temperature increases) climate shocks both harm financial stability, but their short-term and long-term effects differ. Positive shocks tend to have a greater short-term impact, while negative shocks lead to larger and more destructive long-term adjustments. The long-term damage of climate change on financial stability outweighs the short-term damage. Climate policies, such as a rapid conversion to a low-carbon economy, can also introduce risks like economic recession and financial instability, potentially exceeding those from natural disasters. Changes in CO2 concentration significantly impact financial stability, exhibiting asymmetric long-run effects.","This material focuses on the relationship between climate change and financial stability, particularly in China. It explores the nonlinear and asymmetric impacts of climate change (specifically temperature changes and climate disasters) on financial stability, using methods like NARDL and impulse response functions. The analysis considers both short-term and long-term perspectives, drawing on the work of IPCC, NGFS, Nordhaus, Dietz & Stern, and others. The study distinguishes between physical and transition risks and references prior work on firm value, damage functions, and desertification, connecting these to broader macroeconomic and macro-fiscal risks. Policy recommendations target governments, financial institutions, and central banks regarding climate-related financial risks. Some literature suggests a negligible impact of climate disaster losses on financial stability in developed countries.",1.0
10.1093/restud/rdae011,Folini et al.,2024.0,The Climate in Climate Economics,http://iacweb.ethz.ch/doc/publications/folini-et-al-24-climate-econ.pdf,10.1093/restud/rdae011,AI,Step 5,The notes provided do not mention any specific country or group of countries.,"Social Cost of Carbon (SCC), Optimal carbon tax/mitigation, Temperature changes, Economic damages (fraction of output destroyed, % of GDP), Damages as % of GDP, Optimal abatement, Optimal emissions, Interest rates & growth rates (impact on mitigation), Calibration of climate emulators (impact on outcomes).","Emissions (anthropogenic, CO2), temperature (global, changes), climate models (uncertainty, calibration – carbon cycle, temperature equations, ECS, TCR), damage functions (functional form, alternative types), discount rates (growth-adjusted interest rates, IES), emissions scenarios (RCPs), exogenous forcing, population growth, total factor productivity growth, DICE model miscalibration.","The analysis examines outcomes under scenarios using climate models HadGEM2-ES, GISS-E2-R, CMIP5 extreme cases, and multi-model mean (MMM) projections. It includes comparisons of BAU and optimal abatement scenarios within economic models DICE-2016 and CDICE, and explores the impact of varying equilibrium climate sensitivity (ECS) and carbon cycle calibrations.","The methodology involves calibrating and evaluating climate emulators (CEs) used in integrated assessment models (IAMs) like DICE-2016, with a focus on aligning them with climate science benchmarks (CMIP). This includes independent calibration of carbon cycle and temperature models, using benchmark data and extreme cases for calibration targets. The analysis re-calibrates the DICE-2016 model (""CDICE"") and compares its performance to the original, examining the impact of different climate calibrations (e.g., HadGEM2-ES, GISS-E2-R), climate sensitivity (ECS), and emission scenarios on the social cost of carbon (SCC) and optimal mitigation strategies. Different damage functions, carbon cycle models, and economic parameters (e.g., growth-adjusted interest rate, intertemporal elasticity of substitution) are used in stylized exercises. The analysis considers both partial and general equilibrium effects, and explores miscalibration impacts, comparing results under BAU and optimal abatement scenarios with varying time horizons. The CE's physics are considered, contrasting box-model and impulse response function (IRF) formulations.",,Stylised changes,Permanent,Global,,Transitional (accounting for changes over time),,"Adaptation is not directly addressed. The focus is on calibrating and evaluating climate emulators within integrated assessment models (IAMs) like DICE-2016 to improve the accuracy of climate change projections and inform mitigation strategies. Damage functions that link temperature to economic output are used, but there is no mention of adaptation measures to reduce these damages. The analysis centres on the social cost of carbon (SCC) and optimal mitigation policies based on different climate model calibrations and economic parameters.","Key findings relate to the Social Cost of Carbon (SCC) and the performance of climate-economic models, particularly DICE-2016. The choice of parameters in climate emulators significantly impacts the predicted SCC, highlighting the importance of considering model uncertainty, especially concerning Equilibrium Climate Sensitivity (ECS) and Transient Climate Response (TCR). DICE-2016 is seriously flawed as it fails to reproduce CO2 and temperature evolution accurately. Its climate module is miscalibrated, leading to an SCC that is oversensitive to the discount rate and underestimates optimal carbon taxes, resulting in temperature responses outside expected ranges. Compensating errors exist within DICE-2016. The functional form of damage functions (including higher-order terms) significantly affects the impact of climate model uncertainty on the SCC. Varying only the ECS parameter is insufficient for capturing full climate model uncertainty, leading to SCC underestimation. Different reasonable climate model calibrations lead to vastly different predictions for CO2 concentrations, temperatures, and damages. Optimal emissions are predicted to exceed RCP26, surpassing the Paris limit. DICE-2016 overestimates carbon and initially underestimates temperature increases compared to other calibrations and leads to larger damages and higher temperatures but similar SCC due to discounting. The SCC is highly sensitive to the growth-adjusted interest rate and the elasticity of intertemporal substitution (IES).","This research emphasizes the recalibration of climate emulators within Integrated Assessment Models, focusing primarily on the DICE model, using CMIP5 data for improved accuracy. It highlights the significance of accurately aligning economic models with climate data to better understand climate change costs and scenarios. Structural flaws in DICE-2016's temperature equations and carbon cycle partially offset each other, affecting the model's outputs. Findings suggest that temperature calibration impacts outweigh those of carbon cycle calibration on predictions of damages. The speed of warming impacts the Social Cost of Carbon (SCC) more than long-term temperature forecasts, and the SCC aligns with an optimal carbon tax under specific conditions. The analysis indicates that miscalibrations can yield different projections and policy recommendations, stressing limitations of climate emulators in capturing complex feedbacks. Discounting and interest rate assumptions are key in understanding long-term climate-economic interactions. Consideration of uncertainties and climate sensitivity is essential for robust policy guidance.",1.0
10.1029/2019EF001213,Wei et al.,2019.0,Potential Influence of Climate Change on Grain Self-Sufficiency at the Country Level Considering Adaptation Measures,found,10.1029/2019EF001213,AI,Step 5,"Country-level data analyzed, specific countries not named",Grain self-sufficiency; food security; grain production changes; grain consumption changes; land productivity; grain trade costs; farm income changes,Climate change; temperature; precipitation; land productivity; grain yield; agriculture; food security; self-sufficiency; RCP scenarios,"RCP 2.6, RCP 4.5, RCP 8.5","The study employs agricultural and econometric models using CMIP5 climate data and RCP scenarios, focusing on the impact of climate change on grain yields by 2050 and 2100. The effects are modeled with and without adaptation measures, using GRACE to estimate economic impacts.",Econometric,Chronic trends,Adaptive,Regional,Sequential Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,"Adaptation through agricultural models, climate scenarios, and strategies to mitigate grain supply impacts. Explicitly modeled with and without adaptation, particularly under RCP8.5 for 2100.","Global warming reduces grain production, particularly by 2100 under RCP8.5. Adaptation can mitigate losses, but effectiveness varies. Some regions may benefit, while others face severe impacts on self-sufficiency. Rising grain prices could benefit major producers.","Focuses on impacts of climate change under RCP8.5 in 2100 on grain production, mainly in China. The analysis suggests adaptation measures can mitigate negative impacts. CO2 fertilization may increase production under lower emissions.",2.0
10.1016/j.ecolecon.2022.107662,Emediegwu & Ubabukoh,2023.0,Re-examining the impact of annual weather fluctuations on global livestock production,found,10.1016/j.ecolecon.2022.107662,AI,Step 5,187 countries.,"Beef production, cereal yields/production, livestock production, agricultural productivity, temperature and precipitation, GDP (indirectly).",Temperature; Precipitation; Fluctuations; Changes; Livestock; Agriculture; Impacts.,ACCESS SSP3.70,"The study employs panel data analysis with country fixed effects and region-specific trends to assess the impact of weather fluctuations on livestock and cereal production across 187 countries from 1961-2017. The analysis utilizes national livestock (specifically cattle stock) and cereal production data, weather data, and climate change predictions within a reduced-form framework. Methodological considerations include addressing omitted variable bias using group fixed effects, accounting for spatial (1000km) and serial (3-year) correlation in error terms, and testing robustness through various model specifications (e.g., excluding outliers or SSA). Long differences are used in addition to panel estimations to address adaptation, though without significant dampening of damage estimates.",Econometric,Acute shocks,Adaptive,Global,Spatial Interactions,Transitional (accounting for changes over time),,"The paper employs various econometric models to analyze the impact of weather fluctuations on livestock production. It considers geographic and temporal variables, using a long time series from 1961 to 2017. While the models account for immediate weather shocks, there is an indication that adaptation to gradual climate changes is not fully accounted for, as noted by the lack of adjustment in damage estimates when using long differences. The analysis tests robustness by excluding specific regions and using different specifications but does not provide extensive evaluation of adaptation measures over longer timescales.","Climate change is projected to significantly reduce animal output, particularly in hot, poor, and agriculture-dependent countries. Temperature increases have a robust negative effect on livestock and cereal yields, with a 1°C rise leading to a 9.7% reduction in beef production and a 7.6% drop in global cereal production. The impact is more pronounced in tropical regions, where adaptation is limited. Rainfall changes can positively influence production, partly offsetting temperature rises. These dynamics highlight severe risks to food security, especially in countries heavily reliant on agriculture. Despite some adaptive capacity considered, models predict significant damage to beef production due to warming.","This study presents middle-of-the-road estimates, neglecting adaptation and inter-seasonal weather changes, which often occur at smaller spatial scales than national. It identifies a nonlinear relationship between temperature and beef production, potentially mediated through the impact of temperature on crop production and, consequently, cattle feed availability. Limitations include the panel data method's inability to account for inter-annual farmer tradeoffs and its potential to capture short-run inventory changes instead of long-run climate change effects. Furthermore, the model doesn't account for heterogeneity in climate change impacts on animal productivity or the full complexity of agricultural processes. Percentage changes are presented within brackets in the original text.",1.0
10.1007/s10113-019-01477-9,Harrison P.A. et al.,2019.0,Understanding high-end climate change: from impacts to co-creating integrated and transformative solutions,https://nora.nerc.ac.uk/id/eprint/522342/1/N522342PP.pdf,10.1007/s10113-019-01477-9,AI,Step 5,"Hungary, Scotland, Iberia, Europe, Central Asia.",Productivity loss (Southern & Central/Eastern Europe); Flood damage (widespread).,"Drivers of Risk: Temperature increase, greenhouse gas emissions, indirect impacts from global changes.","IMPRESSIONS project scenarios, combining model-led climate trends with stakeholder-led socio-economic trends.","IMPRESSIONS project used multi-sectoral impact models and stakeholder engagement to develop and evaluate adaptation and mitigation pathways under integrated climate and socio-economic scenarios, focusing on five case studies.",,,Adaptive,Regional,Sequential Interactions,Transitional (accounting for changes over time),,"Adaptation pathways are generated with stakeholders in five case studies. Their effectiveness is evaluated through models and qualitative analyses. Transition pathways toward sustainability are developed using a novel methodology, combining model-led climate trends with stakeholder-led socio-economic trends to create multi-scale scenarios.","Three key issues emerge from the review of climate change impacts and adaptation strategies: While some regions like northern Europe may benefit from increased forest productivity under high-end climate change scenarios (>2°C), others, notably southern, central, and eastern Europe, will suffer from water scarcity, heat stress, productivity loss, and flood damage. Three robust pathways to address these challenges include transitioning to sustainable lifestyles, enhancing governance for sustainability, and implementing integrated and adaptive management of resources such as water, agriculture, and energy. However, the effectiveness of conventional adaptation and mitigation solutions is limited beyond the 2°C threshold, stressing the need for transformative solutions that involve new institutional arrangements, and aligning adaptation and mitigation efforts with sustainable development goals.","Stakeholder engagement drove research and solution development within the IMPRESSIONS project, emphasizing sustainable futures. Europe's interconnectedness exposes it to climate change impacts occurring globally through flows of people, capital, goods, and resources.",1.0
10.5194/hess-20-4143-2016,Hanasaki et al.,2016.0,A seawater desalination scheme for global hydrological models,https://hess.copernicus.org/articles/20/4143/2016/hess-20-4143-2016.pdf,10.5194/hess-20-4143-2016,AI,Step 5,Global domain (all countries),GDP impacts of climate change; global desalination costs; water scarcity economics; energy demand and costs of desalination; water availability,"Climate change, water demand, socioeconomic factors (SSP scenarios, population, GDP, income growth), aridity, limited water sources, desalination costs",Shared Socioeconomic Pathways (SSPs),"The study employs a global Seawater Desalination Model (SDM and SDM2) integrated with global hydrological models (GHMs) to project desalination usage and production, validated against historical data and projecting future trends under SSP scenarios.",Stylised,Chronic trends,Adaptive,Regional,Spatial Interactions,Transitional (accounting for changes over time),,Adaptation is incorporated via a seawater desalination model (SDM and SDM2) to simulate and project desalination capacity and production based on socioeconomic pathways (SSPs) and climate projections to address long-term water scarcity.,"Seawater desalination is expected to expand significantly, driven by increased water demand due to climate change and income growth, especially in arid regions, with notable economic impacts, particularly in the MENA region.","Socioeconomic scenarios (SSP1, SSP2, SSP3) significantly impact projections. Data limitations, particularly regarding AQUASTAT data, and model simplicity are acknowledged, especially in regions like MENA, with technological advancements adding further uncertainty.",2.0
10.1177/0022343311426167,Bergholt & Lujala,2012.0,"Climate-related natural disasters, economic growth, and armed civil conflict",found,10.1177/0022343311426167,AI,Step 5,171 countries,"Economic growth, GDP growth, conflict onset, disaster impact on economic growth","Climate-related natural disasters (floods, storms, cyclones, surges, blizzards); impact on population, infrastructure, economic growth, and conflict",Analysis based on historical disaster data (1980-2007) from EM-DAT; no specific socioeconomic or climate scenarios,"Econometric analysis using panel data (1980-2007 for 171 countries), OLS, fixed-effects models, and instrumental variables with climatic disasters as instruments for GDP growth; using STATA 11 for estimation",Econometric,Acute shocks,Adaptive,Global,Sequential Interactions,Transitional (accounting for changes over time),,Not directly addressed; focus on the impact of climate-related disasters on economic growth and conflict,"Climate-related disasters significantly negatively impact short-run economic growth, especially with larger affected populations; do not increase armed conflict risk through economic strain; conflict negatively impacts GDP growth",Climate disasters examined are floods and storms lasting less than one month; disasters are globally distributed; the relationship between economic conditions and conflict risk is complex,3.0
10.1016/j.envsoft.2015.03.010,Estrada et al.,2015.0,The persistence of shocks in GDP and the estimation of the potential economic costs of climate change,found,10.1016/j.envsoft.2015.03.010,AI,Step 5,Multiple world regions,"GDP impacts, persistence of shocks, economic costs","Climate change, GDP shocks, persistence, RCP4.5 and RCP8.5","DICE, PAGE2002, FUND, RCP4.5, RCP8.5",Econometric analysis of GDP data using unit root tests and autoregressive models; modification of damage functions in Integrated Assessment Models (IAMs),Stylised,Stylised changes,Adaptive,Regional,Sequential Interactions,Transitional (accounting for changes over time),Other,"Indirectly, through IAMs that model climate change impacts as direct GDP shocks",Climate change impacts may cause larger GDP losses than previously estimated because shocks can be persistent; IAMs often underestimate economic costs by failing to adequately model the persistence of climate change impacts; economic impact estimates are highly sensitive to the assumed persistence level.,"IAMs often assume overly optimistic and costless reactive adaptation and limitless resilience, effectively implying zero persistence of climate change impacts; incorporating shock persistence can significantly alter cost-benefit analyses.",2.0
