DOI,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,ExtractCount,Impacted Sector,Solution,Quantification,Expression,Type of Value,Sample
10.1029/2019EF001213,,Global,RCP 8.5,,,%,20.0,,,,,,Page 23,"Losses in grain output could be 25% of current output in the climate of RCP8.5 in 2100, but less than 5% if producers adapt well. Therefore, adaptation leads to 20% of avoided losses (25-5=20).",2.0,Agricultural,Adaptation,Avoided loss (%),AvoidedImpact,Economic,Need
10.1029/2019EF001213,,Global,RCP 2.6,,,%,0.0,,,,,,Page 12,"Adaptation mitigates losses; considering temperature only, loss close to 0% in 2050 and 2100.",2.0,Agricultural,Adaptation,Loss avoided (%),AvoidedImpact,Economic,Need
10.1029/2019EF001213,,Global,RCP 4.5,,,%,2.0,,,,,,Page 12,Adaptation mitigates losses considering temperature only in 2050.,2.0,Agricultural,Adaptation,Loss avoided (%),AvoidedImpact,Economic,Need
10.1029/2019EF001213,,Global,RCP 8.5,,,%,15.0,,,,,,Page 12,Adaptation mitigates losses considering temperature only in 2050.,2.0,Agricultural,Adaptation,Loss avoided (%),AvoidedImpact,Economic,Need
10.1029/2019EF001213,,Global,RCP 4.5,,,%,5.0,,,,,,Page 12,Adaptation mitigates losses considering temperature only in 2100.,2.0,Agricultural,Adaptation,Loss avoided (%),AvoidedImpact,Economic,Need
10.1029/2019EF001213,,Global,RCP 8.5,,,%,10.0,,,,,,Page 12,Adaptation mitigates losses considering temperature only in 2100.,2.0,Agricultural,Adaptation,Loss avoided (%),AvoidedImpact,Economic,Need
10.1029/2019EF001213,,Europe,RCP8.5 2100,,,%,7.0,,,,,,Page 21,"Increase in grain self-sufficiency rate due to adaptation, mainly due to wheat.",2.0,Agricultural,Adaptation,SSR (%),NonMonetaryBenefits,Economic,Need
10.1029/2019EF001213,,Global,RCP8.5,,,Percent,20.0,,,,,,Page 23,Losses in grain output could be 25% of current output in the climate of RCP8.5 in 2100 but less than 5% if producers adapt well.,2.0,Agricultural,Adaptation,Avoided output,AvoidedImpact,Economic,Need
10.1007/s10584-011-0042-8,,China,Unspecified,,,%,5.0,,,,,,Page 17,Runoff and total water resources increased by 5% in southern China between 1956-1979 and 1980-2000.,1.0,Agriculture,Any,Percentage change,AvoidedImpact,Various,
10.1007/s10584-011-0042-8,,China,Unspecified,,,%,10.0,,,,,,Page 17,The Hai river basin experienced a 10% decrease in precipitation between 1956-1979 and 1980-2000.,1.0,Agriculture,Any,Percentage change,BaselineImpact,Various,
