DOI,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,ExtractCount
10.1086/720393,Yield Ratios,England,Little Ice Age,1725.0,No CC,ratio,0.0,,,,,,Page 4,Qualitative result: Cooler temperatures decreased yield ratios.,1.0
10.1086/720393,Wheat Prices,England,Little Ice Age,1725.0,No CC,price,0.0,,,,,,Page 4,Qualitative result: Cooler temperatures increased wheat prices.,1.0
10.1086/720393,Mortality,England,Little Ice Age,1725.0,No CC,rate,0.0,,,,,,Page 4,Qualitative result: Cooler temperatures increased mortality.,1.0
10.1086/720393,Migration,England,Little Ice Age,1725.0,No CC,migration,0.0,,,,,,Page 4,"Qualitative result: Share of marriages with at least one migrant is higher following time periods with cooler temperatures, but the result is not significant.",1.0
10.1086/720393,Trade Volumes,Europe,Little Ice Age,1725.0,No CC,volume,0.0,,,,,,Page 4,"Qualitative result: Trade volumes increased in response to cooler temperatures, driven by growing season temperatures.",1.0
10.1086/720393,City Size,Europe,Little Ice Age,1725.0,No CC,size,0.0,,,,,,Page 4,Qualitative result: Effects of temperature change were significantly smaller for cities that participated in long-distance maritime trade compared with those that did not. Cities with more trading partners also exhibited this pattern.,1.0
10.1086/720393,City Size,England,Little Ice Age,1725.0,No CC,size,0.0,,,,,,Page 4,Cities with larger trade opportunities are less affected by temperature change.,1.0
10.1086/720393,Agricultural land,Europe,Little Ice Age,1725.0,Cooler temps,Area,0.0,,,,,,Page 5,"Warmer countries had greater increases in agricultural land area, although specific numeric increase is not provided.",1.0
10.1086/720393,City Size,"England, Europe",Little Ice Age,1725.0,No CC,%,0.0,,,,,,Fig. 3,"Positive correlation between temp and city size. Value represents a central point in the presented data (not explicitly specified, estimated to be centered around 0% based on the plot range).",1.0
10.1086/720393,City size,England & Europe,Little Ice Age,1700.0,Pre-Little Ice Age,%,70.0,,,,,,Page 15,Effect of 1°C decrease in long-term mean temperature.,1.0
10.1086/720393,City size,England & Europe,Little Ice Age,1700.0,Pre-Little Ice Age,%,5.0,,,,,,Page 15,Effect of 1 standard deviation decrease in temperature over 100 years.,1.0
10.1086/720393,Economic growth,England & Europe,Little Ice Age,1700.0,Pre-Little Ice Age,%,27.0,,,,,,Page 15,"Implied effect on economic growth from a 1°C temperature change, assuming a correlation of 0.39 between city size and income growth (Glaeser 1993).",1.0
10.1086/720393,GDP per capita,Global,RCP 8.5/SSP 5,2100.0,No CC,%,25.0,,,,,,Page 15,"Change in global GDP per capita for a temperature change between 1°C and 2°C (pooled response, long-run effect) from Burke, Hsiang, and Miguel (2015).",1.0
10.1086/720393,GDP per capita,Poorest 20% of countries,RCP 8.5/SSP 5,2100.0,No CC,%,80.0,,,,,,Page 15,"Decrease in GDP per capita for the poorest 20% of countries after 100 years if temperatures increase by 4-5°C (Burke, Hsiang, and Miguel, 2015).",1.0
10.1086/720393,City size,England & Europe,Little Ice Age,1700.0,Pre-Little Ice Age,%,19.6,,,,,,Page 15,Decrease in city size due to temperature change over a 100-year period for a city experiencing a 0.287°C decrease.,1.0
10.1086/720393,Agricultural productivity,12 European countries,Little Ice Age,1700.0,,Yield Ratio,0.0,,,,,,Page 18,"Higher temperatures are associated with higher yield ratios, implying a positive but unspecified effect. Placeholder value of 0 used as no specific value is provided.",1.0
10.1086/720393,Trade Volume,"England, European Countries",Little Ice Age,1857.0,No CC,Ship Arrivals,0.0,,,,,,Page 26,"The relationship is statistically significant at the 1% level for temperatures over the previous 25, 50, and 100 years. Exact numerical impact is not specified, but the relationship is negative.",1.0
10.1086/720393,City Size,Europe,Little Ice Age,1725.0,No CC,%,0.6,,,,,,Page 31,Average reduction in city size due to a decrease in temperature.,1.0
10.1086/720393,City Size,Europe,Little Ice Age,1725.0,Sound toll w/ few partners,%,3.5,,,,,,Page 31,1 standard deviation decrease in temperature reduces city size. Sound toll trade but with few trading partners.,1.0
10.1086/720393,City Size,Europe,Little Ice Age,1725.0,No Sound toll trade,%,9.8,,,,,,Page 31,1 standard deviation decrease in temperature reduces city size.,1.0
10.1086/720393,City Population,Europe,Little Ice Age,1725.0,Being in Sound toll trade,Inhabitants,1186000.0,,,,,,Page 31,The cost of not being part of the Sound toll trade network. Represents 3% of total population of Sound toll cities over the study period.,1.0
10.1086/720393,City Population,Europe,Little Ice Age,1725.0,Temperature Effect,Inhabitants,307000.0,,,,,,Page 31,"Calculated temperature effect for Sound toll cities equals a loss of 307,000 inhabitants, or 1.6% of the total population over the study period.",1.0
10.1086/720393,City Population,Europe,Little Ice Age,1725.0,Temperature Effect,%,1.6,,,,,,Page 31,"Calculated temperature effect for Sound toll cities equals a loss of 307,000 inhabitants, or 1.6% of the total population over the study period.",1.0
10.1016/j.ecolecon.2022.107662,Beef production,Global,No specific scenario,2000.0,Baseline,%,-9.7,,,,,,Page 2,"Specific to a 1°C increase in temperature, not tied to a specific year or scenario, relative to year 2000.",1.0
10.1016/j.ecolecon.2022.107662,Beef production,Tropical countries,No specific scenario,2000.0,Baseline,%,2.1,,,,,,Page 2,"Specific to a marginal increase in annual precipitation, without a specific year or comparison scenario, relative to year 2000.",1.0
10.1016/j.ecolecon.2022.107662,Beef production,Temperate countries,No specific scenario,2000.0,Baseline,%,-1.9,,,,,,Page 2,"Specific to a marginal increase in annual precipitation, without a specific year or comparison scenario, relative to year 2000.",1.0
10.1016/j.ecolecon.2022.107662,Animal output,Global,No specific scenario,2050.0,No adaptation,%,-20.0,,,,,,Page 2,Projection for mid-century assuming no adaptation beyond historically observed levels.,1.0
10.1016/j.ecolecon.2022.107662,Animal output,Global,No specific scenario,2100.0,No adaptation,%,-40.0,,,,,,Page 2,Projection for end of century assuming no adaptation beyond historically observed levels.,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,World,ACCESS SSP3.70,2050.0,Historical data (1961–2017),%,-1.01,,,,,,p. 6,Percentage change from historical figures; mid-point of 2041-2060,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,East Asia & Pacific,ACCESS SSP3.70,2050.0,Historical data (1961–2017),%,-0.44,,,,,,p. 6,Percentage change from historical figures; mid-point of 2041-2060,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,Europe & Central Asia,ACCESS SSP3.70,2050.0,Historical data (1961–2017),%,-0.09,,,,,,p. 6,Percentage change from historical figures; mid-point of 2041-2060,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,Latin America & Caribbean,ACCESS SSP3.70,2050.0,Historical data (1961–2017),%,-1.01,,,,,,p. 6,Percentage change from historical figures; mid-point of 2041-2060,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,Middle East & North Africa,ACCESS SSP3.70,2050.0,Historical data (1961–2017),%,-0.16,,,,,,p. 6,Percentage change from historical figures; mid-point of 2041-2060,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,North America,ACCESS SSP3.70,2050.0,Historical data (1961–2017),%,0.12,,,,,,p. 6,Percentage change from historical figures; mid-point of 2041-2060,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,South Asia,ACCESS SSP3.70,2050.0,Historical data (1961–2017),%,-0.57,,,,,,p. 6,Percentage change from historical figures; mid-point of 2041-2060,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,Sub-Saharan Africa,ACCESS SSP3.70,2050.0,Historical data (1961–2017),%,-0.27,,,,,,p. 6,Percentage change from historical figures; mid-point of 2041-2060,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,World,ACCESS SSP3.70,2080.0,Historical data (1961–2017),%,-2.26,,,,,,p. 6,Percentage change from historical figures; mid-point of 2061-2100,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,East Asia & Pacific,ACCESS SSP3.70,2080.0,Historical data (1961–2017),%,-1.09,,,,,,p. 6,Percentage change from historical figures; mid-point of 2061-2100,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,Europe & Central Asia,ACCESS SSP3.70,2080.0,Historical data (1961–2017),%,-0.35,,,,,,p. 6,Percentage change from historical figures; mid-point of 2061-2100,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,Latin America & Caribbean,ACCESS SSP3.70,2080.0,Historical data (1961–2017),%,-2.26,,,,,,p. 6,Percentage change from historical figures; mid-point of 2061-2100,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,Middle East & North Africa,ACCESS SSP3.70,2080.0,Historical data (1961–2017),%,-0.21,,,,,,p. 6,Percentage change from historical figures; mid-point of 2061-2100,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,North America,ACCESS SSP3.70,2080.0,Historical data (1961–2017),%,0.23,,,,,,p. 6,Percentage change from historical figures; mid-point of 2061-2100,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,South Asia,ACCESS SSP3.70,2080.0,Historical data (1961–2017),%,0.23,,,,,,p. 6,Percentage change from historical figures; mid-point of 2061-2100,1.0
10.1016/j.ecolecon.2022.107662,Animal Production,Sub-Saharan Africa,ACCESS SSP3.70,2080.0,Historical data (1961–2017),%,-0.56,,,,,,p. 6,Percentage change from historical figures; mid-point of 2061-2100,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Agri-dep.,ACCESS SSP3.70,2017.0,No CC,% per °C,-14.1,3.7,,,,,7,Above median GDP in agriculture.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Non-agri.,ACCESS SSP3.70,2017.0,No CC,% per °C,-4.4,1.3,,,,,7,Below median GDP in agriculture.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Tropical,ACCESS SSP3.70,2017.0,No CC,% per °C,-19.9,4.4,,,,,7,Above global median temperature.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Temperate,ACCESS SSP3.70,2017.0,No CC,% per °C,-1.6,1.4,,,,,7,Below global median temperature.,1.0
10.1016/j.ecolecon.2022.107662,Beef production,Rich,ACCESS SSP3.70,2017.0,No CC,% per °C,-3.9,1.4,,,,,7,Higher income or upper-middle.,1.0
