,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Freshwater Use,United States,Best-case scenario,2072,No CC,% change,-8,NA,NA,NA,NA,NA,Page 1,Decrease by as much as 8% under the best-case scenario. 50 years into the future from the publication year (2022).
1,Freshwater Use,United States,Worst-case scenario,2072,No CC,% change,235,NA,NA,NA,NA,NA,Page 1,Increase by as much as 235% under the worst-case scenario. 50 years into the future from the publication year (2022).
2,Freshwater withdrawals,United States,Observed,2015,2005,%,0,NA,NA,-100,NA,-1,Page 3,"Observed change, county level; this is a range observed across counties, based on the map provided. Counties with decreases between 100% and 1%."
3,Freshwater withdrawals,United States,Observed,2015,2005,%,0,NA,NA,1,NA,100,Page 3,"Observed change, county level; this is a range observed across counties, based on the map provided. Counties with increases between 1% and 100%."
4,Freshwater withdrawals,United States,Observed,2015,2005,%,0,NA,NA,101,NA,NA,Page 3,"Observed change, county level; this is a range observed across counties, based on the map provided. Counties with increases of 101% or more."
5,Domestic Water Use,CONUS,Climate Change,2015,No CC,percent change,0,NA,NA,NA,NA,NA,10,"Based on the standard deviation map of percent change in domestic water consumption across scenarios. No specific point estimate is provided, so representing it as no change."
6,Industrial Water Withdrawals,CONUS,Observed Trends,1985,NA,% per year,-1.8,NA,NA,NA,NA,NA,10,Annualized rate of decline since 1985.
7,Thermoelectric Use,East,Varies,2015,National,%,-3,NA,NA,NA,NA,NA,11,"East accounted for roughly 74% of thermoelectric consumptive water use; by 2070, that share is expected to fall to 71%"
8,Thermoelectric Use,East,Varies,2070,National,%,-3,NA,NA,NA,NA,NA,11,"East accounted for roughly 74% of thermoelectric consumptive water use in 2015; by 2070, that share is expected to fall to 71%"
9,Thermoelectric Use,National,Moderate Growth,2070,2015,%,150,NA,NA,NA,NA,NA,11,Per-capita electricity demand for thermoelectric power is projected to increase by at least 150% for moderate growth scenarios
10,Thermoelectric Use,National,Extreme Cases,2070,2015,%,400,NA,NA,NA,NA,NA,11,Per-capita electricity demand for thermoelectric power is projected to increase by over 400% for extreme cases
11,Thermoelectric Consumption,National,Varies,2015,NA,billion gallons per day,2.5,NA,NA,NA,NA,NA,11,"Thermoelectric water consumption is projected to rise from just under 2.5 billion gallons of water per day in 2015 to between 5 and 17 billion gallons per day, depending on the combination of socioeconomic and climatic outcomes."
12,Thermoelectric Consumption,National,Varies,2070,2015,billion gallons per day,5,NA,NA,NA,NA,NA,11,"Thermoelectric water consumption is projected to rise from just under 2.5 billion gallons of water per day in 2015 to between 5 and 17 billion gallons per day, depending on the combination of socioeconomic and climatic outcomes."
13,Thermoelectric Consumption,National,Varies,2070,2015,billion gallons per day,17,NA,NA,NA,NA,NA,11,"Thermoelectric water consumption is projected to rise from just under 2.5 billion gallons of water per day in 2015 to between 5 and 17 billion gallons per day, depending on the combination of socioeconomic and climatic outcomes."
14,Consumptive Water Use,National,RCP 4.5 - SSP1,2050,No CC,%,-8,NA,NA,NA,NA,NA,13,Total consumptive use is projected to decrease by as much as 8% in the RCP 4.5 - SSP1 scenario
15,Consumptive Water Use,National,RCP 8.5 - SSP 5,2050,No CC,%,235,NA,NA,NA,NA,NA,13,Total consumptive use is projected to increase by 235% in the RCP 8.5 - SSP 5 scenario
