,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Property Loss Risk,US Coastline,Unspecified,2100,Unspecified,$,1070000000000,NA,NA,NA,NA,NA,2,Estimated value of wetlands at risk of disruptive flooding.
1,Structures,Conterminous U.S. Coastline,Historical,2000,1950,%,446,NA,NA,NA,NA,NA,7,Increase in structures along the coastline.
2,Developed Land Area,Conterminous U.S. Coastline,Historical,2000,1950,%,220,NA,NA,NA,NA,NA,7,Increase in developed land area along the coastline.
3,Developed Land Area,Conterminous U.S.,NA,2015,NA,%,35,NA,NA,NA,NA,NA,7,Percentage of land in the 6-foot SLR zone that is developed.
4,Year of Construction,Conterminous U.S.,NA,1975,NA,year,1975,NA,NA,NA,NA,NA,7,Median year of construction of buildings in the 6-foot SLR zone.
5,Land Developed,"SLR Zones, United States",NA,1980,1950,qualitative,1,NA,NA,NA,NA,NA,7,Developed Land expanded greatly.
6,Structure Density,"SLR Zones, United States",NA,1980,1950,qualitative,1,NA,NA,NA,NA,NA,7,Density increased dramatically.
7,Added Structures,"SLR Zones, United States",NA,1980,Pre-1980,qualitative,1,NA,NA,NA,NA,NA,7,Rates of added structures were higher.
8,Densification,"SLR Zones, United States",NA,1980,Pre-1980,qualitative,1.01,NA,NA,NA,NA,NA,7,Greater than One after 1980.
9,Land Developed,6-feet zone,NA,2015,No CC,%,35,NA,NA,NA,NA,NA,7,land developed by coastal communities
10,Density,CONUS MSAs,Historical,2000,1900,density units,1,NA,NA,NA,NA,NA,"Page 9, Fig 3a",Density is higher in flood zones than inland or CONUS MSAs; Value represents an increase.
11,Densification,CONUS MSAs,Historical,2000,1900,densification units,1,NA,NA,NA,NA,NA,"Page 9, Fig 3b",Densification is higher in flood zones than inland or CONUS MSAs; Value represents an increase.
12,Percentage Developed,CONUS MSAs,Historical,2000,1900,percent,1,NA,NA,NA,NA,NA,"Page 9, Fig 3c",Developed area percentage is higher in flood zones than inland or CONUS MSAs; Value represents an increase.
13,Expansion,CONUS MSAs,Historical,1970,1900,expansion units,1,NA,NA,NA,NA,NA,"Page 9, Fig 3d",Expansion increased between 1950 and 1970; dramatic decreases after 1980; Value represents an increase.
14,Exposure,Southeast,Historical,2000,Earlier period,index,1,NA,NA,NA,NA,NA,11,SLR zones increasingly developed. Arbitrarily using year 2000.
15,Development Intensity,Western Gulf Coast,Historical,1950,Earlier period,index,1,NA,NA,NA,NA,NA,11,"Developed rapidly after 1950, but remains less developed than Northeast, Pacific, and Southeast. Value of 1 is just to indicate increase."
16,Exposure,US Coastlines,Historical,2020,Earlier period,index,-1,NA,NA,NA,NA,NA,11,Addition of buildings slowed over recent decades in coastlines (particularly 6-foot SLR zone). Value of -1 is just to indicate slowing.
17,Structures in SLR Zone,Florida & South Atlantic,NA,2015,No SLR,Number of Structures,1,NA,NA,NA,NA,NA,11,Regions with relatively high numbers of structures in SLR zone. Value of 1 is just to indicate it's high.
18,Structures in SLR Zone,US MSAs,NA,2015,No SLR,index,1,NA,NA,NA,NA,NA,11 & Figure 5,"Percentages of structures in SLR zones within MSAs, as visualized in figure 5. This is a positive value because there are structures in the zone."
19,Structures in SLR Zone,US Census Divisions,NA,2020,1900,index,1,NA,NA,NA,NA,NA,11 & Figure 5,"Trends from 1900-2020, as visualized in figure 5. This is a positive value because there are structures in the zone."
20,Structures in SLR Zone,US MSAs,NA,2015,No SLR,index,1,NA,NA,NA,NA,NA,11 & Figure 5,"Numbers of structures in SLR zones within MSAs, as visualized in figure 5. This is a positive value because there are structures in the zone."
21,Structures in SLR Zone,US Census Divisions,NA,2020,1900,index,1,NA,NA,NA,NA,NA,11 & Figure 5,"Trends from 1900-2020, as visualized in figure 5. This is a positive value because there are structures in the zone."
22,Structures,South Atlantic,Historical,1970,Structures Inland,% Total Structures,-1,NA,NA,NA,NA,NA,12,Percentage of total MSA structures in the SLR has dropped in the South Atlantic due to more structures in inland areas.
23,Built-up land,Coastal MSAs,Historical,2015,No CC,Percentage points/storm,2.3,0.006,NA,NA,NA,NA,"Page 14, Col. 2",Each storm increases built-up land in coastal SLR zones by 2.3 percentage points.
24,Built-up land,Coastal MSAs,Historical,2015,No CC,Percentage points,8,0.012,NA,NA,NA,NA,"Page 14, Col. 1",SLR zones in MSAs are approximately 8 percentage points more built up compared to their interior areas.
25,Structure density,Coastal MSAs,Historical,2015,No CC,Density units/storm,0.0341,0.010,NA,NA,NA,NA,"Page 14, Col. 4",Cumulative storms are associated with an increase in structure density per storm in SLR zones.
26,Built-up proportion,Southeastern coastline,Historical development,2015,Other urban areas,%,50,NA,NA,NA,NA,NA,15,Almost 50% built-up in SLR zone in 2015 (end of study period).
27,Coastal density,Pacific,Historical development,2015,New England,unitless,1.01,NA,NA,NA,NA,NA,15,Pacific exceeds coastal density in New England in 2015 (end of study period); implied value >1.0
