,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP per capita,Italy,RCP 4.5,2100,No CC,%,0,NA,NA,NA,NA,NA,Page 2,"Aggregated level, effect considered small and insignificant"
1,GDP per capita,Italy,RCP 8.5,2100,No CC,%,0,NA,NA,NA,NA,NA,Page 2,"Aggregated level, effect considered small and insignificant"
2,Agricultural GVA per-worker,Italy,RCP 4.5,2100,No CC,%,-20,NA,10%,-30,30%,-10,Page 2,Significant losses projected within the range of 10%–30%
3,Agricultural GVA per-worker,Italy,RCP 8.5,2100,No CC,%,-20,NA,10%,-30,30%,-10,Page 2,Significant losses projected within the range of 10%–30%
4,GDP per capita,Italy,Historical,2014,Temperature variations,Degrees Celsius,12,NA,NA,NA,NA,NA,Page 5,Optimal temperature for GDP per capita
5,Agricultural productivity,Italy,Historical,2014,Temperature variations,Degrees Celsius,14,NA,NA,NA,NA,NA,Page 5,Optimal temperature for agricultural GVA per worker
6,GDP growth expl,Italy,NA,2014,Temperature & Precipitation,%,0.89,NA,NA,NA,NA,NA,More Notes,Percentage of GDP growth explained by Temperature & Precipitation
7,GDP growth expl,Italy,NA,2014,Temperature & Precipitation,%,1.02,NA,NA,NA,NA,NA,More Notes,Percentage of GDP growth explained by Temperature & Precipitation
8,GVA per worker growth,Italy,NA,2014,Temperature & Precipitation,%,2.96,NA,NA,NA,NA,NA,More Notes,Percentage of GVA per worker growth in agriculture explained by Temperature & Precipitation
9,GVA per worker growth,Italy,NA,2014,Temperature & Precipitation,%,4.19,NA,NA,NA,NA,NA,More Notes,Percentage of GVA per worker growth in agriculture explained by Temperature & Precipitation
10,GDP per capita,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0147,NA,NA,NA,NA,NA,Table 2,"DJO1 specification (lowest RMSE), Midpoint of 1991-1995"
11,GDP per capita,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0147,NA,NA,NA,NA,NA,Table 2,"NPS specification (lowest RMSE), Midpoint of 1991-1995"
12,GDP per capita,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0148,NA,NA,NA,NA,NA,Table 2,"DJO2 specification, Midpoint of 1991-1995"
13,GDP per capita,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0148,NA,NA,NA,NA,NA,Table 2,"BHM specification, Midpoint of 1991-1995"
14,GDP per capita,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0155,NA,NA,NA,NA,NA,Table 2,"KHAN1 specification, Midpoint of 1991-1995"
15,GDP per capita,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0157,NA,NA,NA,NA,NA,Table 2,"KHAN2 specification, Midpoint of 1991-1995"
16,Agricultural GVA per-worker,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0831,NA,NA,NA,NA,NA,Table 2,"DJO1 specification (lowest RMSE), Midpoint of 1991-1995"
17,Agricultural GVA per-worker,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0831,NA,NA,NA,NA,NA,Table 2,"NPS specification (lowest RMSE), Midpoint of 1991-1995"
18,Agricultural GVA per-worker,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0832,NA,NA,NA,NA,NA,Table 2,"DJO2 specification, Midpoint of 1991-1995"
19,Agricultural GVA per-worker,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0833,NA,NA,NA,NA,NA,Table 2,"BHM specification, Midpoint of 1991-1995"
20,Agricultural GVA per-worker,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0846,NA,NA,NA,NA,NA,Table 2,"KHAN1 specification, Midpoint of 1991-1995"
21,Agricultural GVA per-worker,Italy,NA,1993,Various training windows,Root Mean Square Error,0.0857,NA,NA,NA,NA,NA,Table 2,"KHAN2 specification, Midpoint of 1991-1995"
22,GDP Growth,Italy,NA,2050,No CC,% points per °C,0.00742,0.0026,NA,NA,NA,NA,"Table 4, column 1","Coefficient β1, Temp effect"
23,GDP Growth,Italy,NA,2050,No CC,% points per °C,0.00823,0.0026,NA,NA,NA,NA,"Table 4, column 2","Coefficient β1, Temp effect"
24,GDP Growth,Italy,NA,2050,No CC,% points per °C,0.01484,0.0054,NA,NA,NA,NA,"Table 4, column 3","Coefficient β1, Temp effect"
25,GDP Growth,Italy,NA,2050,No CC,% points per °C,0.00818,0.0115,NA,NA,NA,NA,"Table 4, column 4","Coefficient β1, Temp effect"
26,GDP per capita,Italy,NA,2050,No CC,°C,17.54,NA,95%,14.2,95%,20.9,"Table 4, column 6",Maximizing GDP temperature with confidence interval
27,GDP Growth,Italy,NA,2050,No CC,% points per °C,0.03189,0.0066,NA,NA,NA,NA,"Table 4, column 5","Coefficient β1, Temp effect"
28,GDP Growth,Italy,NA,2050,No CC,% points per °C,0.04125,0.0119,NA,NA,NA,NA,"Table 4, column 6","Coefficient β1, Temp effect"
29,GDP Growth,Italy,NA,2050,No CC,% points per °C,-0.00026,0.0002,NA,NA,NA,NA,Table 4,"Coefficient β2, Temp2 effect"
30,GDP Growth,Italy,NA,2050,No CC,% points per °C,-0.00091,0.0002,NA,NA,NA,NA,Table 4,"Coefficient β2, Temp2 effect"
31,GDP Growth,Italy,NA,2050,No CC,% points per °C,-0.00120,0.0004,NA,NA,NA,NA,Table 4,"Coefficient β2, Temp2 effect"
