,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Food,Any,188 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.57,NA,NA,NA,NA,NA,Fig 3A,Mean vulnerability score
1,Food,Any,188 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.20,NA,NA,NA,NA,NA,Fig 3A,Min vulnerability score
2,Food,Any,188 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.84,NA,NA,NA,NA,NA,Fig 3A,Max vulnerability score
3,Ecosystem Services,Any,181 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.47,NA,NA,NA,NA,NA,Fig 3B,Mean vulnerability score
4,Ecosystem Services,Any,181 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.22,NA,NA,NA,NA,NA,Fig 3B,Min vulnerability score
5,Ecosystem Services,Any,181 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.74,NA,NA,NA,NA,NA,Fig 3B,Max vulnerability score
6,Human Habitat,Any,178 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.50,NA,NA,NA,NA,NA,Fig 3C,Mean vulnerability score
7,Human Habitat,Any,178 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.26,NA,NA,NA,NA,NA,Fig 3C,Min vulnerability score
8,Human Habitat,Any,178 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.75,NA,NA,NA,NA,NA,Fig 3C,Max vulnerability score
9,Health,Any,188 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.46,NA,NA,NA,NA,NA,Fig 3D,Mean vulnerability score
10,Health,Any,188 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.18,NA,NA,NA,NA,NA,Fig 3D,Min vulnerability score
11,Health,Any,188 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.84,NA,NA,NA,NA,NA,Fig 3D,Max vulnerability score
12,Water,Any,177 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.33,NA,NA,NA,NA,NA,Fig 3E,Mean vulnerability score
13,Water,Any,177 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.05,NA,NA,NA,NA,NA,Fig 3E,Min vulnerability score
14,Water,Any,177 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.69,NA,NA,NA,NA,NA,Fig 3E,Max vulnerability score
15,Infrastructure,Any,152 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.37,NA,NA,NA,NA,NA,Fig 3F,Mean vulnerability score
16,Infrastructure,Any,152 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.08,NA,NA,NA,NA,NA,Fig 3F,Min vulnerability score
17,Infrastructure,Any,152 countries,NA,Climate vulnerability scores,BaselineImpact,N/A,Need,scores,0.79,NA,NA,NA,NA,NA,Fig 3F,Max vulnerability score
18,Ecosystem Services,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,0.28,0.0152,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
19,Food,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,0.28,0.0166,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
20,Habitat,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,0.28,0.0169,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
21,Health,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,0.28,0.0211,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
22,Infrastructure,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,0.28,0.0195,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
23,Water,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,0.28,0.0158,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
24,Ecosystem Services,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,1.48,0.0152,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
25,Food,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,1.48,0.0166,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
26,Habitat,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,1.48,0.0169,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
27,Health,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,1.48,0.0211,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
28,Infrastructure,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,1.48,0.0195,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
29,Water,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,1.48,0.0158,NA,NA,NA,NA,Table 1,Mitigation effect of economic readiness
30,All,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,0.02,0.0002,NA,NA,NA,NA,Table 1,Mitigation effect of rising income level
31,All,Adaptation,192 countries and territories,NA,Parameter Estimates,AvoidedImpact,Economic,Need,%,0.15,0.0002,NA,NA,NA,NA,Table 1,Mitigation effect of rising income level
