,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Potato mini-tuber output,Uganda,Current observed impacts,2024,Conventional cultivation,times increase,8.5,NA,NA,NA,NA,NA,Page 14,Aeroponics increased potato mini-tuber output by 8.5 times compared to conventional cultivation.
1,Potato yield,Unspecified,Unspecified,2010,Unspecified,mass (g),39.5,NA,NA,NA,NA,NA,34,"Agata & Monalisa cultivars, Nutrient Film Technique, ~120 days, multiple harvests involved"
2,Potato yield,Unspecified,Unspecified,2010,Unspecified,mass (g),46.9,NA,NA,NA,NA,NA,34,"Agata cultivar, Aeroponic system, 95 days"
3,Potato yield,Unspecified,Unspecified,2010,Unspecified,mass (g),34.8,NA,NA,NA,NA,NA,34,"Agata cultivar, Nutrient Film Technique, 95 days"
4,Potato yield,Unspecified,Unspecified,2010,Unspecified,mass (g),33,NA,NA,NA,NA,NA,34,"Agata cultivar, Aeroponic system, 2.2 dS∙m−1 electrical conductivity, 95 days, Planting density and electrical conductivity of the solution showed significant effects on seed potato production"
5,Potato yield,Unspecified,Unspecified,2010,Unspecified,mass (g),20.4,NA,NA,NA,NA,NA,34,"Asterix cultivar, Aeroponic system, 2.1 dS∙m−1 electrical conductivity, 95 days"
6,Potato yield,Unspecified,Unspecified,2010,Unspecified,mass (g),15.55,NA,NA,NA,NA,NA,34,"Desiree cultivar, Aeroponic system, 49 days"
7,Potato diameter,Unspecified,Unspecified,2010,Unspecified,mm,6.2,NA,NA,NA,NA,NA,34,"Agata & Monalisa cultivars, Nutrient Film Technique, ~120 days, multiple harvests involved"
8,Potato diameter,Unspecified,Unspecified,2010,Unspecified,mm,5.32,NA,NA,NA,NA,NA,34,"Desiree cultivar, Aeroponic system, 49 days"
9,Potato Yield,Unspecified,Unspecified,2024,Substrate combination system,mini-tubers,4.08,NA,NA,NA,NA,NA,35,"Aeroponic system yield compared to substrate combination system for Kenebbec, Agria, Cleopatra, and Sinora varieties, grown for 49 days. The 4.08 value refers to Agria varieties. Assuming 2024 publication year."
10,Potato Yield,Unspecified,Unspecified,2024,Substrate combination system,mini-tubers,1.29,NA,NA,NA,NA,NA,35,"Aeroponic system yield compared to substrate combination system for Kenebbec, Agria, Cleopatra, and Sinora varieties, grown for 49 days. The 1.29 value refers to Sinora varieties. Assuming 2024 publication year."
11,Potato Yield,Unspecified,Unspecified,2024,Conventional system,mini-tubers,8.5,NA,NA,NA,NA,NA,35,"Aeroponic production for Victoria and Uganda11 varieties, at a density of 24 plantlets/m2, grown for approximately 150 days, compared to conventional system. The 8.5 value refers to Victoria varieties. Assuming 2024 publication year."
