,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Freshwater Use,United States,Worst-case,2070,No CC,%,235,NA,NA,NA,NA,NA,Page 1,The value reflects the maximum projected increase in freshwater use under the worst-case scenario.
1,Freshwater Use,United States,Best-case,2070,No CC,%,-8,NA,NA,NA,NA,NA,Page 1,The value reflects the maximum projected decrease in freshwater use under the best-case scenario.
2,Freshwater withdrawals,United States,2005,2015,NA,%,-100,NA,NA,NA,NA,NA,3,Minimum change displayed on map
3,Freshwater withdrawals,United States,2005,2015,NA,%,101,NA,NA,NA,NA,NA,3,Maximum change displayed on map
4,Domestic Water Use,Nationwide,Various Climate Scenarios,2050,2015,% change,0,NA,NA,NA,NA,NA,Page 10,78% of counties are projected to see decreases in domestic water use but no specific numeric change is provided; setting to zero as a placeholder.
5,Industrial Water Use,Great Lakes/SE/Gulf,No specific scenario,2018,1985,% per year,-1.8,NA,NA,NA,NA,NA,Page 10,Declines are due to water efficiency improvements and structural economic changes
6,Ind Water Use,Great Plains,High Growth,2070,2015,percent change,0,NA,NA,NA,NA,NA,Page 11,Significant increases projected due to high growth scenario alongside decreased precipitation.
7,Thermoelectric Use,United States,Various,2070,2015,billion gal/day,11,NA,NA,5,NA,17,Page 11,Projected increase from under 2.5 billion gallons to between 5 and 17 billion gallons per day depending on socioeconomic and climatic outcomes.
8,Thermo Use,US Per-Capita,Moderate Growth,2070,2015,percent,150,NA,NA,NA,NA,NA,Page 11,Projected increase of per-capita electricity demand for thermoelectric power by at least 150%. Variability across scenarios.
9,Thermo Water Use,East US,Various,2070,2015,percent,-4,NA,NA,NA,NA,NA,Page 11,Projected decline in share of national thermoelectric consumptive water use from 74% to 71% due to efficient cooling technology adoption.
10,Consumptive Use,National,RCP 4.5 - SSP1,2070,2015,%,-8,NA,NA,NA,NA,NA,13,decrease
11,Consumptive Use,National,RCP 8.5 - SSP5,2070,2015,%,235,NA,NA,NA,NA,NA,13,increase
12,Water Use,United States,Best-case,2070,Status Quo,%,-8,NA,NA,NA,NA,NA,14,Aggregate national average
13,Water Use,United States,Worst-case,2070,Status Quo,%,235,NA,NA,NA,NA,NA,14,Aggregate national average
14,Domestic Water Use,South-Central US,"Dry Model, SSP5, RCP 8.5",2070,Unknown,%,100,NA,NA,NA,NA,NA,14,Projected increase
