,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Water,CapacityExpansion,Great Britain,Low&Wet,DiscountedSum,AdaptationCost,Monetary,Need,£bn,11.9,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
1,Water,CapacityExpansion,Great Britain,Central,DiscountedSum,AdaptationCost,Monetary,Need,£bn,12.5,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
2,Water,CapacityExpansion,Great Britain,High & Dry,DiscountedSum,AdaptationCost,Monetary,Need,£bn,12.9,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
3,Water,National Planning,Great Britain,Low&Wet,DiscountedSum,AdaptationCost,Monetary,Need,£bn,26.0,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
4,Water,National Planning,Great Britain,Central,DiscountedSum,AdaptationCost,Monetary,Need,£bn,48.1,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
5,Water,National Planning,Great Britain,High & Dry,DiscountedSum,AdaptationCost,Monetary,Need,£bn,77.3,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
6,Water,System Efficiency,Great Britain,Low&Wet,DiscountedSum,AdaptationCost,Monetary,Need,£bn,21.9,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
7,Water,System Efficiency,Great Britain,Central,DiscountedSum,AdaptationCost,Monetary,Need,£bn,22.2,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
8,Water,System Efficiency,Great Britain,High & Dry,DiscountedSum,AdaptationCost,Monetary,Need,£bn,24.4,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
9,Water,System Restructure,Great Britain,Low&Wet,DiscountedSum,AdaptationCost,Monetary,Need,£bn,20.0,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
10,Water,System Restructure,Great Britain,Central,DiscountedSum,AdaptationCost,Monetary,Need,£bn,26.2,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
11,Water,System Restructure,Great Britain,High & Dry,DiscountedSum,AdaptationCost,Monetary,Need,£bn,47.2,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
12,Water,NoBuild,Great Britain,Low&Wet,DiscountedSum,AdaptationCost,Monetary,Need,£bn,8.5,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040. Reflects existing expenditure plans not adaptation."
13,Water,NoBuild,Great Britain,Central,DiscountedSum,AdaptationCost,Monetary,Need,£bn,8.5,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040. Reflects existing expenditure plans not adaptation."
14,Water,NoBuild,Great Britain,High & Dry,DiscountedSum,AdaptationCost,Monetary,Need,£bn,8.5,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040. Reflects existing expenditure plans not adaptation."
15,Water,Minimum Intervention,Great Britain,Low&Wet,DiscountedSum,AdaptationCost,Monetary,Need,£bn,9.0,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
16,Water,Minimum Intervention,Great Britain,Central,DiscountedSum,AdaptationCost,Monetary,Need,£bn,10.1,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
17,Water,Minimum Intervention,Great Britain,High & Dry,DiscountedSum,AdaptationCost,Monetary,Need,£bn,10.8,NA,NA,NA,NA,NA,Table 2,"Cumulative discounted adaptation costs, 2015-2040"
18,Water,Any,Great Britain,Low&Wet,CapExCost,CapExCost,Monetary,Need,£bn,0.1,NA,NA,NA,NA,NA,Page 10,Minimum Intervention Strategy
19,Water,Any,Great Britain,Central,CapExCost,CapExCost,Monetary,Need,£bn,1.0,NA,NA,NA,NA,NA,Page 10,Minimum Intervention Strategy
20,Water,Any,Great Britain,High & Dry,CapExCost,CapExCost,Monetary,Need,£bn,1.2,NA,NA,NA,NA,NA,Page 10,Minimum Intervention Strategy
21,Water,Any,Great Britain,Low&Wet,CapExCost,CapExCost,Monetary,Need,£bn,0.3,NA,NA,NA,NA,NA,Page 10,Capacity Expansion Strategy
22,Water,Any,Great Britain,Central,CapExCost,CapExCost,Monetary,Need,£bn,1.1,NA,NA,NA,NA,NA,Page 10,Capacity Expansion Strategy
23,Water,Any,Great Britain,High & Dry,CapExCost,CapExCost,Monetary,Need,£bn,1.2,NA,NA,NA,NA,NA,Page 10,Capacity Expansion Strategy
24,Water,Any,Great Britain,Low&Wet,CapExCost,CapExCost,Monetary,Need,£bn,6.7,NA,NA,NA,NA,NA,Page 10,National Planning Strategy
25,Water,Any,Great Britain,Central,CapExCost,CapExCost,Monetary,Need,£bn,23.1,NA,NA,NA,NA,NA,Page 10,National Planning Strategy
26,Water,Any,Great Britain,High & Dry,CapExCost,CapExCost,Monetary,Need,£bn,25.5,NA,NA,NA,NA,NA,Page 10,National Planning Strategy
27,Water,Any,Great Britain,Low&Wet,CapExCost,CapExCost,Monetary,Need,£bn,0.1,NA,NA,NA,NA,NA,Page 10,System Efficiency Strategy
28,Water,Any,Great Britain,Central,CapExCost,CapExCost,Monetary,Need,£bn,0.1,NA,NA,NA,NA,NA,Page 10,System Efficiency Strategy
29,Water,Any,Great Britain,High & Dry,CapExCost,CapExCost,Monetary,Need,£bn,0.3,NA,NA,NA,NA,NA,Page 10,System Efficiency Strategy
