,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Flooding,Hard Infrastructure,Japan,d4PDF future experiment,Exceedance probability,AvoidedImpact,Economic,Need,Probability,0.01,NA,NA,NA,NA,NA,Page 12,"Exceedance probability of annual flood damage of 800 billion Japanese yen, histogram has a long tail"
1,Flooding,Any,Japan,d4PDF historical experiment,Flood risk curves,BaselineImpact,Economic,Need,Japanese yen,800000000000,NA,NA,NA,NA,NA,Page 12,Flood damages with the same quantile vary more largely with larger return periods.
2,Flooding,Any,Japan,d4PDF future experiment,Increase in rainfall,AvoidedImpact,Economic,Need,Ratio,1.35,NA,NA,NA,NA,NA,Page 12,"200-year annual maximum 24-h rainfall larger than historical experiment, adapted from Tachikawa et al., 2017, taking the average of 1.3 and 1.4"
3,Flooding,Any,Japan,d4PDF future experiment,Increase in river discharge,AvoidedImpact,Economic,Need,Ratio,1.6,NA,NA,NA,NA,NA,Page 12,"200-year annual maximum river discharge larger than the historic experiment, adapted from Tachikawa et al., 2017, taking the average of 1.5 and 1.7"
4,Coastal,Coastal Dikes,East Asia,d4PDF,Storm Surge Increase,AvoidedImpact,Economic,Need,%,20,NA,NA,NA,NA,NA,Page 13,Future 100-year return values of storm surge increase 20% along the East Asia–eastern and US–western coasts due to climate change.
5,Coastal,Coastal Dikes,East Asia,d4PDF,Wind Speed Increase,AvoidedImpact,Economic,Need,%,10,NA,NA,NA,NA,NA,Page 13,Future 100-year return values of wind speed increase 10% along the East Asia–eastern and US–western coasts due to TCs.
6,Coastal,Coastal Dikes,Tokyo and Osaka Bays,Regional Model,Storm Surge Height Increase,AdaptationCost,Economic,Need,m,0.3,NA,NA,NA,NA,0.45,Page 13,Storm surge height increase with a 100-year return period when using a different regional model.
7,Coastal,Dike rise,Japan,Future,Expected Loss Reduction,MonetaryBenefits,Economic,Need,yen,0,NA,NA,NA,NA,NA,Fig. 15,"Fig. 15 shows expected loss reductions, risk premiums, and uncertainty premiums for a 1 m dike rise mitigation policy for current and future conditions in Osaka Bay, Japan. Values vary spatially. The color scale goes up to >10 million yen. Future conditions show increased expected loss reductions compared to current. No specific number given, so assigned 0."
8,Coastal,Dike rise,Japan,Future,Risk Premium,MonetaryBenefits,Economic,Need,yen,0,NA,NA,NA,NA,NA,Fig. 15,"Fig. 15 shows expected loss reductions, risk premiums, and uncertainty premiums for a 1 m dike rise mitigation policy for current and future conditions in Osaka Bay, Japan. Values vary spatially. Future conditions show increased risk premium compared to current. No specific number given, so assigned 0."
9,Coastal,Dike rise,Japan,Future,Uncertainty Premium,MonetaryBenefits,Economic,Need,yen,0,NA,NA,NA,NA,NA,Fig. 15,"Fig. 15 shows expected loss reductions, risk premiums, and uncertainty premiums for a 1 m dike rise mitigation policy for current and future conditions in Osaka Bay, Japan. Values vary spatially. Future conditions show increased uncertainty premium compared to current. No specific number given, so assigned 0."
