,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,All,Any,The United States,PREIND,Hurricane Damage Costs,BaselineImpact,Economic,Need,million U.S.$ per landfall,1578,NA,NA,NA,NA,NA,p. 377,"Mean direct losses due to synthetic hurricanes, present climate, per landfall"
1,All,Any,The United States,PREIND,Hurricane Damage Costs,BaselineImpact,Economic,Need,million U.S.$ per track,980,NA,NA,NA,NA,NA,p. 377,"Mean direct losses due to synthetic hurricanes, present climate, per track"
2,All,Any,The United States,PREIND,BaselineImpact,BaselineImpact,Monetary,Need,million U.S.$ per landfall,1833,NA,NA,NA,NA,NA,page 371,Historical value of hurricane direct losses per landfall in the present climate.
3,All,Any,The United States,PREIND,BaselineImpact,BaselineImpact,Monetary,Need,million U.S.$ per track,1005,NA,NA,NA,NA,NA,page 371,Historical value of hurricane direct losses per hurricane track in the present climate.
4,All,Any,The United States,Modified Climate,BaselineImpact,BaselineImpact,Monetary,Need,billion U.S.$ per year,12,NA,NA,NA,NA,NA,page 371,Annual direct hurricane losses with a 10-percent increase in potential intensity.
5,All,Any,The United States,PREIND,BaselineImpact,BaselineImpact,Monetary,Need,billion U.S.$ per year,8,NA,NA,NA,NA,NA,page 371,Annual direct hurricane losses in the present climate.
6,All,Any,United States,Katrina Landfall,Economic production reduction,BaselineImpact,Economic,Need,percent,8,NA,NA,NA,NA,NA,page 383,"Instantaneous reduction after the shock due to Hurricane Katrina in Louisiana, using the Adaptive Regional Input-Output (ARIO) model."
7,All,Any,United States,Katrina Landfall,Reconstruction period,NonMonetaryBenefits,Economic,Need,years,10,NA,NA,NA,NA,NA,page 383,"Model predicts the Louisiana economy will require about 10 years to fully recover from the economic shock due to Hurricane Katrina, using the Adaptive Regional Input-Output (ARIO) model."
8,All,Any,The United States,NA,Production Loss,BaselineImpact,Economic,Need,% of GSP,4.5,NA,NA,NA,NA,NA,page 384,Observed growth loss due to Hurricane Katrina
9,All,Any,Louisiana,NA,Production Loss,BaselineImpact,Economic,Need,% of GSP,2.8,NA,NA,NA,NA,NA,page 384,Model estimation of production loss over the four last months of 2005 following Hurricane Katrina
10,Housing,Any,Louisiana,NA,Time to Reconstruction,NonMonetaryBenefits,Economic,Need,months,144,NA,NA,NA,NA,NA,"Fig. 6, page 384",Time to reconstruction needs to reach 100 billion US$ post-Katrina
11,Housing,Reconstruction,The United States,Katrina,Indirect Loss Estimation,AdaptationCost,Economic,N/A,billion USD,19,NA,NA,NA,NA,NA,Page 385,Model estimates loss in housing service production due to damaged houses.
12,Construction,Reconstruction,The United States,Katrina,Indirect Loss Estimation,MonetaryBenefits,Economic,N/A,billion USD,28,NA,NA,NA,NA,NA,Page 385,Sum of production losses (positive and negative) over reconstruction period.
13,All,Reconstruction,The United States,Katrina,Indirect Loss Estimation,AdaptationCost,Economic,N/A,billion USD,47,NA,NA,NA,NA,NA,Page 385,Total production loss (sector production plus housing services).
14,All,Reconstruction,The United States,Katrina,Indirect Loss Estimation,AdaptationCost,Economic,N/A,billion USD,154,NA,NA,NA,NA,NA,Page 385,"Total losses, production loss plus production dedicated to reconstruction instead of normal consumption."
15,All,Any,The United States,Any,BaselineImpact,BaselineImpact [million USD / yr],Economic,Need,million USD / yr,0,NA,NA,NA,NA,NA,Page 390,"Magnitude of costs associated with extreme-event changes are likely to be large. Indirect costs are a significant portion of total costs and therefore need to be included in cost estimates. No specific value provided, so 0 is given."
16,Infrastructure,Flood Protection,The United States,Any,AdaptationCost,AdaptationCost [million USD],Economic,Need,million USD,0,NA,NA,NA,NA,NA,Page 390,"To avoid extensive retrofitting in the next decades, all infrastructures must be designed much more resilient than it was the case in absence of climate change; hence, the high adaptation costs for infrastructure. No specific value provided, so 0 is given."
17,All,No-Regret Strategies,The United States,Any,MonetaryBenefits,MonetaryBenefits [million USD / yr],Economic,Lead,million USD / yr,0,NA,NA,NA,NA,NA,Page 390,"Many strategies to limit hurricane damages are obviously ‘‘no-regret’’ strategies, meaning that they would yield significant benefit even if hurricane frequency and intensity remain unchanged. No specific value provided, so 0 is given."
