,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Agricultural Productivity,Italy,RCP 8.5,2100,No CC,%,-35,NA,NA,NA,NA,NA,Highlights,Southern Italy
1,GDP per capita,Italy,RCP 4.5,2100,No CC,%,0,NA,NA,NA,NA,NA,Abstract,Slight average effects
2,GDP per capita,Italy,NA,2010,RMSE, ,0.0147,NA,NA,NA,NA,NA,6,"DJO1 Specification, Forecast Cross-Validation"
3,GDP per capita,Italy,NA,2010,RMSE, ,0.0148,NA,NA,NA,NA,NA,6,"DJO2 Specification, Forecast Cross-Validation"
4,GDP per capita,Italy,NA,2010,RMSE, ,0.0148,NA,NA,NA,NA,NA,6,"BHM Specification, Forecast Cross-Validation"
5,GDP per capita,Italy,NA,2010,RMSE, ,0.0147,NA,NA,NA,NA,NA,6,"NPS Specification, Forecast Cross-Validation"
6,GDP per capita,Italy,NA,2010,RMSE, ,0.0155,NA,NA,NA,NA,NA,6,"KHAN1 Specification, Forecast Cross-Validation"
7,GDP per capita,Italy,NA,2010,RMSE, ,0.0157,NA,NA,NA,NA,NA,6,"KHAN2 Specification, Forecast Cross-Validation"
8,Agricultural GVA per-worker,Italy,NA,2010,RMSE, ,0.0831,NA,NA,NA,NA,NA,6,"DJO1 Specification, Forecast Cross-Validation"
9,Agricultural GVA per-worker,Italy,NA,2010,RMSE, ,0.0832,NA,NA,NA,NA,NA,6,"DJO2 Specification, Forecast Cross-Validation"
10,Agricultural GVA per-worker,Italy,NA,2010,RMSE, ,0.0833,NA,NA,NA,NA,NA,6,"BHM Specification, Forecast Cross-Validation"
11,Agricultural GVA per-worker,Italy,NA,2010,RMSE, ,0.0831,NA,NA,NA,NA,NA,6,"NPS Specification, Forecast Cross-Validation"
12,Agricultural GVA per-worker,Italy,NA,2010,RMSE, ,0.0846,NA,NA,NA,NA,NA,6,"KHAN1 Specification, Forecast Cross-Validation"
13,Agricultural GVA per-worker,Italy,NA,2010,RMSE, ,0.0857,NA,NA,NA,NA,NA,6,"KHAN2 Specification, Forecast Cross-Validation"
14,GVA per-worker,Italy,RCP 8.5,2100,No CC,percent,-35,NA,NA,NA,NA,NA,Page 9,The negative value suggests a decline in agricultural productivity due to climate change under the RCP 8.5 scenario by the century's end in Italy.
15,GDP per capita,Italy,No Scenario,2014,Historical norm,Percentage points per year,-0.019,NA,NA,NA,NA,NA,Page 10,Persistent annual rise of 0.01°C above historical norm decreases real GDP per-capita growth by 0.019 percentage points per year.
16,GDP per capita,Italy,No Scenario,2014,Historical norm,Percentage points per year,-0.214,NA,NA,NA,NA,NA,Page 10,0.01°C annual decrease below historical norm reduces GDP per-capita growth by 0.214 percentage points per year.
17,Agricultural GVA per worker,Italy,No Scenario,2014,Historical norm,Percentage points per year,-0.117,NA,NA,NA,NA,NA,Page 10,Persistent 0.01°C annual increase above historical norm reduces agricultural GVA per-worker growth by 0.117 percentage points per year.
18,Agricultural GVA per worker,Italy,No Scenario,2014,Historical norm,Percentage points per year,-0.223,NA,NA,NA,NA,NA,Page 10,0.01°C annual decrease below historical norm reduces agricultural GVA per-worker by 0.223 percentage points per year.
19,GDP per capita,Italy,RCP 4.5,2090,No CC,percent change,0,NA,NA,NA,NA,NA,14,"Provincial-level impacts vary; overall effect uncertain, but generally small changes are indicated."
20,GDP per capita,Italy,RCP 8.5,2090,No CC,percent change,0,NA,NA,NA,NA,NA,14,Provincial-level impacts vary; decreases are more pronounced in some regions under this scenario.
21,Agricultural GVA per worker,Italy,RCP 4.5,2090,No CC,percent change,0,NA,NA,NA,NA,NA,14,"Provincial-level impacts vary; overall effect uncertain, but generally small changes are indicated."
22,Agricultural GVA per worker,Italy,RCP 8.5,2090,No CC,percent change,0,NA,NA,NA,NA,NA,14,Provincial-level impacts vary; decreases are more pronounced in some regions under this scenario.
23,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0102,0.0039,NA,NA,NA,NA,16,"Specification 1, xtreg, Sum_delta_temp_+"
24,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0113,0.0062,NA,NA,NA,NA,16,"Specification 1, xtspj, Sum_delta_temp_+"
25,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0142,0.0040,NA,NA,NA,NA,16,"Specification 2, xtreg, Sum_delta_temp_+"
26,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0190,0.0057,NA,NA,NA,NA,16,"Specification 2, xtspj, Sum_delta_temp_+"
27,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0204,0.0052,NA,NA,NA,NA,16,"Specification 3, xtreg, Sum_delta_temp_+"
28,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0258,0.0142,NA,NA,NA,NA,16,"Specification 3, xtspj, Sum_delta_temp_+"
29,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0299,0.0290,NA,NA,NA,NA,16,"Specification 1, xtreg, Sum_delta_temp_-"
30,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0665,0.0313,NA,NA,NA,NA,16,"Specification 1, xtspj, Sum_delta_temp_-"
31,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0142,0.0293,NA,NA,NA,NA,16,"Specification 2, xtreg, Sum_delta_temp_-"
32,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0444,0.0361,NA,NA,NA,NA,16,"Specification 2, xtspj, Sum_delta_temp_-"
33,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0542,0.0306,NA,NA,NA,NA,16,"Specification 3, xtreg, Sum_delta_temp_-"
34,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0322,0.0425,NA,NA,NA,NA,16,"Specification 3, xtspj, Sum_delta_temp_-"
35,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0015,0.0015,NA,NA,NA,NA,16,"Specification 1, xtreg, Sum_delta_prec_+ (x 100)"
36,GDP Growth Rate,Italy,NA,2000,Historical Norms,,0.0012,0.0020,NA,NA,NA,NA,16,"Specification 1, xtspj, Sum_delta_prec_+ (x 100)"
