,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Sea Surface Temperature,Global,SSP5-8.5,2090,No CC,°C,3,NA,NA,2,NA,4,9,"Average of 2081-2100, GWLs between 3.6 and 6.9°C"
1,Sea Surface Temperature,Global,SSP1-2.6,2090,No CC,°C,1,NA,NA,0.4,NA,1.5,9,"Average of 2081-2100, GWLs between 1.3 and 2.8°C"
2,10-yr event freq,Global,N/A,2023,Pre-industrial,times,3,NA,NA,NA,NA,NA,Page 10,10-year events are currently 3 times more frequent than during pre-industrial conditions.
3,10-yr event freq,Global,GWL1.5C,2100,Pre-industrial,times,4,NA,NA,NA,NA,NA,Page 10,10-year events are projected to become 4 times more frequent at 1.5°C GWL.
4,10-yr event freq,Global,GWL2C,2100,Pre-industrial,times,6,NA,NA,NA,NA,NA,Page 10,10-year events are projected to become 6 times more frequent at 2°C GWL.
5,10-yr event freq,Global,GWL4C,2100,Pre-industrial,times,9,NA,NA,NA,NA,NA,Page 10,10-year events are projected to become 9 times more frequent at 4°C GWL.
6,50-yr event freq,Global,N/A,2023,Pre-industrial,times,5,NA,NA,NA,NA,NA,Page 10,50-year events are currently 5 times more frequent than during pre-industrial conditions.
7,50-yr event freq,Global,GWL1.5C,2100,Pre-industrial,times,9,NA,NA,NA,NA,NA,Page 10,50-year events are projected to become 9 times more frequent at 1.5°C GWL.
8,50-yr event freq,Global,GWL2C,2100,Pre-industrial,times,14,NA,NA,NA,NA,NA,Page 10,50-year events are projected to become 14 times more frequent at 2°C GWL.
9,50-yr event freq,Global,GWL4C,2100,Pre-industrial,times,40,NA,NA,NA,NA,NA,Page 10,50-year events are projected to become 40 times more frequent at 4°C GWL.
10,Temperature increase,Global,N/A,2023,Pre-industrial,degrees C,1.2,NA,NA,NA,NA,NA,Page 10,Mean temperature of 10- and 50-year events is currently 1.2°C hotter than during pre-industrial conditions.
11,Temperature increase,Global,GWL1.5C,2100,Pre-industrial,degrees C,2,NA,NA,NA,NA,NA,Page 10,Mean temperature of 10- and 50-year events projected to become 2°C hotter at 1.5°C GWL.
12,Temperature increase,Global,GWL2C,2100,Pre-industrial,degrees C,2.6,NA,NA,NA,NA,NA,Page 10,Mean temperature of 10- and 50-year events projected to become 2.6°C hotter at 2°C GWL.
13,Temperature increase,Global,GWL4C,2100,Pre-industrial,degrees C,5,NA,NA,NA,NA,NA,Page 10,Mean temperature of 10- and 50-year events projected to become 5°C hotter at 4°C GWL.
14,Precip freq increase,Global,N/A,2023,Pre-industrial,percent,30,NA,NA,NA,NA,NA,Page 10,The frequency of heavy precipitation events is now already 30% higher than during pre-industrial conditions.
15,Precip freq increase,Global,GWL1.5C,2100,Pre-industrial,times,1.5,NA,NA,NA,NA,NA,Page 10,Heavy precipitation events projected to become 1.5 times more frequent at 1.5°C GWL.
16,Precip freq increase,Global,GWL2C,2100,Pre-industrial,times,2,NA,NA,NA,NA,NA,Page 10,Heavy precipitation events projected to become 2 times more frequent at 2°C GWL.
17,Precip freq increase,Global,GWL4C,2100,Pre-industrial,times,3,NA,NA,NA,NA,NA,Page 10,Heavy precipitation events projected to become 3 times more frequent at 4°C GWL.
18,Precip intensity inc,Global,N/A,2023,Pre-industrial,percent,7,NA,NA,NA,NA,NA,Page 10,The intensity of heavy precipitation events has increased by about 7% since pre-industrial conditions.
19,Precip intensity inc,Global,GWL1.5C,2100,Pre-industrial,percent,10.5,NA,NA,NA,NA,NA,Page 10,The intensity of heavy precipitation events projected to increase by 10.5% at 1.5°C GWL.
20,Precip intensity inc,Global,GWL2C,2100,Pre-industrial,percent,14,NA,NA,NA,NA,NA,Page 10,The intensity of heavy precipitation events projected to increase by 14% at 2°C GWL.
21,Precip intensity inc,Global,GWL4C,2100,Pre-industrial,percent,30,NA,NA,NA,NA,NA,Page 10,The intensity of heavy precipitation events projected to increase by 30% at 4°C GWL.
22,Snow cover,Northern Hemisphere,GWLs,2070,1995–2014,% / °C,-8,NA,NA,NA,NA,NA,Page 12,Projected decrease of spring snow cover of about 8% per degree of warming up to 4°C. Assuming average year of climate models at GWL for simplicity.
23,Permafrost volume,Global,GWLs,2070,1995–2014,% / °C,-25,5,NA,NA,NA,NA,Page 12,"Projected permafrost volume decrease within top 3 m by around 25% per degree of warming below 4°C, with medium confidence. Assuming average year of climate models at GWL for simplicity."
24,Permafrost volume,Global,GWLs 1.5-2°C,2040,1995–2014,%,-40,NA,NA,NA,NA,NA,Page 12,Expected decrease less than 40% relative to 1995-2014 levels for GWLs between 1.5°C and 2°C. Assuming average year of climate models at GWL for simplicity.
25,Permafrost volume,Global,GWLs 2-3°C,2050,1995–2014,%,-75,NA,NA,NA,NA,NA,Page 12,Expected decrease less than 75% relative to 1995-2014 levels for GWLs between 2°C and 3°C. Assuming average year of climate models at GWL for simplicity.
26,Arctic Sea Ice Extent,Arctic,GSAT warming,2050,No CC,years,-1,NA,NA,NA,NA,NA,13,Ice-free before 2050 at higher warming levels
27,Glacier Mass,Global,Warming of 1.5-2°C,2021,No CC,%,-40,NA,NA,NA,NA,NA,13,Only 50-60% of glacier mass to remain
28,Glacier Mass,Global,Warming of 2-3°C,2021,No CC,%,-50,NA,NA,NA,NA,NA,13,Only 40-50% of glacier mass to remain
29,Glacier Mass,Global,Higher Warming,2021,No CC,%,-65,NA,NA,NA,NA,NA,13,Only 25-40% of glacier mass to remain
30,Sea Level Rise,Global,GWL of 1.5°C,2100,No CC,m,0.44,NA,66%,0.34,69%,0.59,13,
31,Sea Level Rise,Global,GWL of 2°C,2100,No CC,m,0.51,NA,66%,0.40,69%,0.69,13,
32,Sea Level Rise,Global,GWL of 3°C,2100,No CC,m,0.61,NA,66%,0.50,81%,0.81,13,
33,Sea Level Rise,Global,GWL of 4°C,2100,No CC,m,0.70,NA,58%,0.58,92%,0.92,13,
34,Sea Level Rise,Global,GWL of 5°C,2100,No CC,m,0.81,NA,69%,0.69,105%,1.05,13,
35,Sea Level Rise,Global,GWL of 5°C,2100,No CC,m,2,NA,NA,NA,NA,NA,13,Ice sheet processes could drive global mean sea level rise approaching 2 m
36,Storm Surge Frequency,Global Coastlines,Warming of 1.5°C,2100,100-yr event,ratio,1,NA,NA,NA,NA,NA,13,100-yr event becomes an annual event
37,Marine Heatwave Frequency,Global,SSP1-2.6,2100,Pre-industrial,ratio,2,NA,NA,NA,NA,9,13," ""Central GWL close to 2°C"""
38,Marine Heatwave Frequency,Global,SSP1-2.6,2100,Pre-industrial,ratio,9,NA,NA,NA,NA,NA,13," ""Central GWL close to 2°C"""
