,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Expenditures,Russia,Mild Warming,2025,No CC,USD Billion,-3.5,NA,NA,NA,NA,NA,Page 1,Midpoint of estimated savings.
1,Expenditure,Russia,Mild warming,2025,No CC,USD billion,-2,NA,NA,NA,NA,NA,3,Lower end of savings estimate
2,Expenditure,Russia,Mild warming,2025,No CC,USD billion,-4,NA,NA,NA,NA,NA,3,Upper end of savings estimate
3,Regional expenditures,Russia,NA,2009,No CC,% decline per 1°C increase,-3,NA,NA,NA,NA,NA,15,Based on basic linear model (1)
4,Total expenditures,Russia,NA,2009,No CC,% decline per 1°C increase,-2.6,NA,NA,NA,NA,NA,15,Population-weighted average effect with full data from non-linear analysis
5,Total expenditures,Russia,NA,2009,No CC,% decline per 1°C increase,-1.5,NA,NA,NA,NA,NA,15,Population-weighted average effect with cut data from non-linear analysis
6,Expenditures,Russia,NA,2009,No CC,%,-0.33,NA,NA,NA,NA,NA,17,"Based on the LD model, for a +1 degree C increase in regional average temperature; interpreted as cumulative effect on total expenditures. Authors warn that this value is implausibly high; using 2009 as the final year of the data"
7,Expenditure change,Russia,B1,2030,2000,USD billion,2.0,NA,NA,NA,NA,NA,Page 19,Non-discounted change due to warming. Includes both cut and full data estimates. 2020s is interpreted as average of 2011-2040.
8,Expenditure change,Russia,B1,2030,2000,USD billion,4.0,NA,NA,NA,NA,NA,Page 19,Non-discounted change due to warming. Includes both cut and full data estimates. 2020s is interpreted as average of 2011-2040.
9,Expenditure change,Russia,A2,2030,2000,USD billion,2.0,NA,NA,NA,NA,NA,Page 19,Non-discounted change due to warming. Includes both cut and full data estimates. 2020s is interpreted as average of 2011-2040.
10,Expenditure change,Russia,A2,2030,2000,USD billion,3.5,NA,NA,NA,NA,NA,Page 19,Non-discounted change due to warming. Includes both cut and full data estimates. 2020s is interpreted as average of 2011-2040.
11,Regional Budget Expenditures,Russia,A2/B1,2025,No CC,USD Billion,2,NA,NA,NA,NA,NA,20,Lower bound of the estimated savings. The 2020s is interpreted as 2025
12,Regional Budget Expenditures,Russia,A2/B1,2025,No CC,USD Billion,4,NA,NA,NA,NA,NA,20,Upper bound of the estimated savings. The 2020s is interpreted as 2025
13,Regional Budget Expenditures,Russia,A2/B1,2009,No CC,USD Billion,1,NA,NA,NA,NA,NA,20,Roughly half of savings from 2000-2020s had accrued by end of 2000s. This is calculated as half of the lower bound. The end of 2000s is interpreted as 2009
14,Regional Budget Expenditures,Russia,A2/B1,2009,No CC,USD Billion,2,NA,NA,NA,NA,NA,20,Roughly half of savings from 2000-2020s had accrued by end of 2000s. This is calculated as half of the upper bound. The end of 2000s is interpreted as 2009
15,Regional Budget Expenditures,Russia,Moderate Warming,2010,No CC,%,-2.6,NA,NA,NA,NA,NA,20,Non-linear and population-weighted estimate for the Russia-wide impact of a 1°C increase in annual temperature is a decrease of 2.6 % in regional budget expenditures in real terms. This is assigned to 2010.
16,Total Expenditures,Russia,NA,2002,No CC,NA,-0.342,0.119,NA,NA,NA,NA,23,From Fixed Effects estimation using mid-term climate with full data; Effect of Temperature on Total Expenditures. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)
17,Total Expenditures,Russia,NA,2002,No CC,NA,-0.321,0.137,NA,NA,NA,NA,23,From Fixed Effects estimation using mid-term climate with data excluding 5% of both tails from temperature and precipitation; Effect of Temperature on Total Expenditures. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)
18,Housing Expenditures,Russia,NA,2002,No CC,NA,-0.228,0.178,NA,NA,NA,NA,23,From Fixed Effects estimation using mid-term climate with full data; Effect of Temperature on Housing Expenditures. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)
19,Housing Expenditures,Russia,NA,2002,No CC,NA,-0.216,0.193,NA,NA,NA,NA,23,From Fixed Effects estimation using mid-term climate with data excluding 5% of both tails from temperature and precipitation; Effect of Temperature on Housing Expenditures. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)
20,Housing Expenditures,Russia,NA,2002,No CC,NA,-0.002,0.001,NA,NA,NA,NA,23,From Fixed Effects estimation using mid-term climate with full data; Effect of Precipitation on Housing Expenditures. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)
21,Housing Expenditures,Russia,NA,2002,No CC,NA,-0.003,0.001,NA,NA,NA,NA,23,From Fixed Effects estimation using mid-term climate with data excluding 5% of both tails from temperature and precipitation; Effect of Precipitation on Housing Expenditures. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)
22,Total Expenditures,Russia,NA,2002,No CC,NA,-0.0004,0.0007,NA,NA,NA,NA,23,"From Long-difference (LD) estimations with additional temperature variables, full data and data excluding 5 % of both tails from temperature and precipitation variables; Effect of Precipitation on Total Expenditures. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)"
23,Total Expenditures,Russia,NA,2002,No CC,NA,-0.0005,0.0008,NA,NA,NA,NA,23,"From Long-difference (LD) estimations with additional temperature variables, full data and data excluding 5 % of both tails from temperature and precipitation variables; Effect of Precipitation on Total Expenditures - cut tails. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)"
24,Housing Expenditures,Russia,NA,2002,No CC,NA,-0.0020,0.0012,NA,NA,NA,NA,23,"From Long-difference (LD) estimations with additional temperature variables, full data and data excluding 5 % of both tails from temperature and precipitation variables; Effect of Precipitation on Housing Expenditures. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)"
25,Housing Expenditures,Russia,NA,2002,No CC,NA,-0.0017,0.0014,NA,NA,NA,NA,23,"From Long-difference (LD) estimations with additional temperature variables, full data and data excluding 5 % of both tails from temperature and precipitation variables; Effect of Precipitation on Housing Expenditures - cut tails. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)"
26,Total Expenditures,Russia,NA,2002,No CC,NA,-0.0006,0.0008,NA,NA,NA,NA,23,"From Long-difference (LD) estimations with additional temperature variables, full data and data excluding 5 % of both tails from temperature and precipitation variables; Effect of Precipitation on Total Expenditures with Cooling Degree Days. The analysis employs econometric techniques on a sub-national panel dataset for Russia (1995-2009)"
