,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Temperature,Mexico,NA,2015,Climatological normal,°C,1.5,NA,NA,NA,NA,NA,6,Average annual temperature increase expected
1,Temperature,Mexico,NA,2015,Climatological normal,°C,2.0,NA,NA,NA,NA,NA,6,Average annual temperature increase expected in the north of Mexico
2,GDP per capita,Mexico,NA,2039,No CC,%,-7,NA,NA,NA,NA,NA,6,Economic costs of climate change
3,GDP per capita,Mexico,NA,2039,No CC,%,-12,NA,NA,NA,NA,NA,6,Economic costs of climate change
4,Corn Yields,Jalisco et al.,NA,2100,No CC,%,-30,NA,NA,NA,NA,NA,6,Seasonal corn production yields
5,Corn Yields,Jalisco et al.,NA,2100,No CC,%,-40,NA,NA,NA,NA,NA,6,Seasonal corn production yields
6,Sea level,North America,NA,2100,No CC,cm,20,NA,NA,NA,NA,NA,6,Depending on projections and models
7,Sea level,North America,NA,2100,No CC,cm,40,NA,NA,NA,NA,NA,6,Depending on projections and models
8,Sea level,North America,NA,2100,No CC,cm,60,NA,NA,NA,NA,NA,6,Depending on projections and models
9,Ocean pH,Pacific Coast,NA,2100,Pre-industrial,pH,-0.5,NA,NA,NA,NA,NA,6,Decrease in pH due to ocean acidification
10,Weather Losses,North America,Observed,1980,No CC,US dollars,805000000000,NA,NA,NA,NA,NA,7,Total since 1980
11,Insured Losses,North America,Observed,1980,No CC,US dollars,454000000000,NA,NA,NA,NA,NA,7,Total since 1980
12,Windstorm Damages,US,Observed,1980,No CC,US dollars,180000000000,NA,NA,NA,NA,NA,7,"Due to severe thunderstorms, between 1980 and 2011"
13,Temperature,US,Observed,2012,20th century norm,°F,3.8,NA,NA,NA,NA,NA,7,Mean temperature above the norm
14,Temperature,US,Observed,2012,20th century norm,°C,2.1,NA,NA,NA,NA,NA,7,Mean temperature above the norm
15,Economic Impact,U.S.,Unspecified,2050,No CC,$,50000000000,NA,NA,NA,NA,NA,8,Impact of climate change risks on power systems.
16,Suicide Rates,US Counties,Unspecified,2018,Baseline,% / degree C,0.7,NA,NA,NA,NA,NA,10,"Effect of 1 degree C increase in monthly average temperature (Obradovich et al., 2018)"
17,Suicide Rates,Mexican Municipalities,Unspecified,2018,Baseline,% / degree C,2.1,NA,NA,NA,NA,NA,10,"Effect of 1 degree C increase in monthly average temperature (Obradovich et al., 2018)"
18,Suicides,United States and Mexico,RCP8.5,2050,No CC,count,9000,NA,NA,NA,NA,NA,11,Lower bound
19,Suicides,United States and Mexico,RCP8.5,2050,No CC,count,40000,NA,NA,NA,NA,NA,11,Upper bound
20,Road Damage Costs,U.S.,RCP8.5,2090,No CC,USD/year,20000000000,NA,NA,NA,NA,NA,11,Upper bound
21,Bridge Damage Costs,U.S.,RCP8.5,2050,No CC,USD/year,1200000000,NA,NA,NA,NA,NA,11,Lower bound
22,Bridge Damage Costs,U.S.,RCP8.5,2050,No CC,USD/year,1400000000,NA,NA,NA,NA,NA,11,Upper bound
23,Road Maintenance Costs,Mexico,Unspecified,2050,No CC,USD,1500000000,NA,NA,NA,NA,NA,11,Lower bound
24,Road Maintenance Costs,Mexico,Unspecified,2050,No CC,USD,5000000000,NA,NA,NA,NA,NA,11,Upper bound
