,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Obese Adults,Worldwide,Global Warming,2016,No CC,millions / degree C,79.7,NA,NA,NA,NA,NA,1,"Estimates suggest that a 1°C increase in the annual mean temperature would result in a worldwide increase in obese adults of 79.7 million, or 12.3%."
1,Obesity Rate,Worldwide,Global Warming,2016,No CC,%,12.3,NA,NA,NA,NA,NA,1,"Estimates suggest that a 1°C increase in the annual mean temperature would result in a worldwide increase in obese adults of 79.7 million, or 12.3%."
2,Obesity rate,152 countries,NA,2050,2016,millions of adults,89.9,NA,NA,NA,NA,NA,3,worldwide
3,Obesity rate,152 countries,NA,2050,2016,US$ billion,276.6,NA,NA,NA,NA,NA,3,economic loss
4,Obesity rate,Temperate zones,NA,2050,No CC,% / degree C,1.06,NA,NA,NA,NA,NA,3,"population-weighted average, projected based on global warming projections"
5,Obesity rate,Tropical countries,NA,2050,No CC,% / degree C,-0.56,NA,NA,NA,NA,NA,3,"21 tropical countries, projected based on global warming projections"
6,Obesity rate,152 countries,NA,2050,No CC,% / degree C,1.87,NA,NA,NA,NA,NA,3,projected based on global warming projections
7,Obesity,Global,Unspecified,2050,Unspecified,Marginal effect,0,NA,NA,NA,NA,NA,Page 10,"The analysis estimates marginal effect of temperature on obesity, but the value is not provided on this page.  The marginal effect is dependent on whether short-run or long-run models are used."
8,Obesity Rate,Most countries,1975-2016 Climate,2016,No CC,% / degree C,0,NA,NA,NA,NA,NA,11,Marginal effect of warming is significantly positive for most countries (except 21 tropical countries with mean temperature > 27°C). 0 is a placeholder as no numeric value is provided
9,Obesity Rate,Tropical countries,1975-2016 Climate,2016,No CC,% / degree C,0,NA,NA,NA,NA,NA,11,Marginal effect of warming is a reducing effect. 0 is a placeholder as no numeric value is provided
10,Obesity Rate,Global,Baseline,2016,No CC,percentage points / °C,1.06,NA,NA,NA,NA,NA,Page 12,Population-weighted average across countries.
11,Obese Adults,Global,Baseline,2016,No CC,millions / °C,79.7,NA,NA,NA,NA,NA,Page 12,Based on a global population of 7.49 billion in 2016.
12,Obesity Rate,Global,Baseline,2016,No CC,percentage points / °C,-0.56,NA,NA,NA,NA,NA,Page 12,"Minimum marginal effect of a 1°C increase, applied to 2016 population."
13,Obesity Rate,Global,Baseline,2016,No CC,percentage points / °C,1.87,NA,NA,NA,NA,NA,Page 12,"Maximum marginal effect of a 1°C increase, applied to 2016 population."
14,Obesity,Global,Historical,1975,No CC,percentage points,1.13,NA,NA,NA,NA,NA,15,Marginal effect of warming on obesity
15,Obesity,Global,Historical,1975,Richest countries,percentage points,1.62,NA,NA,NA,NA,NA,15,Marginal effect of warming on obesity higher in poorest countries vs richest countries
16,Obesity,Global,Historical,1975,Youngest population,percentage points,0.85,NA,NA,NA,NA,NA,15,Marginal effect of warming on obesity higher in countries with oldest population structure vs youngest
17,Obesity,Global,Historical,1975,No CC,% points / log GDP,-0.202,NA,NA,NA,NA,NA,15,Impact of warming on obesity reduced by one-unit increase in log GDP per capita
18,Obesity,Global,Historical,1975,No CC,% points / year age,0.026,NA,NA,NA,NA,NA,15,Impact of warming on obesity increased by one-year increase in the adult average age
19,Obesity,Global,Historical,1975,No CC,% points / year school,0.019,NA,NA,NA,NA,NA,15,Impact of warming on obesity increased by one-year increase in the average schooling of adults
20,Obesity (male),Global,Unspecified,2016,No CC,percentage points / degree C,1.28,NA,NA,NA,NA,NA,Page 16,"Effect of 1°C increase in annual mean temperature on male obesity rate, based on data up to 2016."
21,Obesity (female),Global,Unspecified,2016,No CC,percentage points / degree C,0.96,NA,NA,NA,NA,NA,Page 16,"Effect of 1°C increase in annual mean temperature on female obesity rate, estimated as one-third smaller than male obesity rate, based on data up to 2016."
22,Obesity Rate,Global,Historical,2016,No CC,percentage points,0.81,NA,NA,NA,NA,NA,17,"Increase in female obesity rate due to global warming. Data goes up to 2016, so reporting effect by that year."
23,Obesity,Global,Historical,1975,12-15 ◦C," ""units unspecified""",0.00000000001,NA,NA,NA,NA,NA,Page18,"Estimate suggests that more days with temperatures under 9 ◦C would reduce obesity (compared to the 12–15 ◦C bin). However, more days with temperatures above 15 ◦C would increase obesity."
24,Obesity,Global,Historical,1975,Low-temperature seasons,units unspecified,0.0,NA,NA,NA,NA,NA,Page18,"Warming of low-temperature seasons (i.e., seasons 1 and 2) has a negligible effect on obesity."
25,Obesity,Global,Historical,1975,High-temperature seasons,units unspecified,0.00000000001,NA,NA,NA,NA,NA,Page18,"Warming of high-temperature seasons (i.e., seasons 3 and 4) significantly increases obesity."
26,Obesity Rate,Global,Positive Temperature Shocks,2016,Baseline temperature,%/month,0.35,NA,2.5%,0.05,97.5%,0.65,Page 22,"Estimated visually from Figure 10, represents the increase in obesity rate (percentage) corresponding to an increase from 0 to 10 months with positive temperature shocks"
27,Obesity Rate,Global,Long-run Model (6),2016,No CC,percent,0,NA,NA,NA,NA,NA,Page 25,"Long-run model estimates a threshold temperature of 18.5°C, above which obesity rate decreases. The response function has been normalized to start from zero. This '0' reflects normalization, actual impact varies."
28,Obesity Rate,Global,Short-run Model,2016,No CC,percent,0,NA,NA,NA,NA,NA,Page 25,"Short-run model estimates a threshold temperature of 27.3°C, above which obesity rate decreases. The response function has been normalized to start from zero. This '0' reflects normalization, actual impact varies. See also Fig 3 and 4 for details."
29,Obesity,152 Sample Countries,SSP2-4.5,2050,2016,percentage points,1.2,NA,NA,NA,NA,NA,26,Population-weighted average impact of warming on obesity
30,Obese Individuals,Global,SSP2-4.5,2050,2016,millions,89.9,NA,NA,NA,NA,NA,26,Increase in obese individuals worldwide due to global warming
31,Economic Loss,Global,SSP2-4.5,2050,2016,billion USD,276.6,NA,NA,NA,NA,NA,26,Economic loss due to increase in obese individuals worldwide
32,Obese Individuals,Temperate Zones,SSP2-4.5,2050,2016,millions of people,76.8,NA,NA,NA,NA,NA,27,Based on 7.49 billion global population in 2016
33,Obese Individuals,Subtropical and Tropical Zones,SSP2-4.5,2050,2016,millions of people,-106.9,NA,NA,NA,NA,NA,27,Based on 7.49 billion global population in 2016
34,Obesity,Worldwide,Global warming,2016,Pre-warming,%,12.3,NA,NA,NA,NA,NA,29,Estimated increase in obese adults worldwide per 1°C rise in annual mean temperature; 2016 is the end year of the study period.
