,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Mortality Risk,Global,Historical,2020,10th vs 100th %ile,%,-13.03,NA,NA,NA,NA,NA,2,Decline associated with higher temperature frequency
1,Mortality Risk,Australia and New Zealand,Historical,2020,10th vs 100th %ile,%,-4.56,NA,NA,NA,NA,NA,2,Decline associated with higher temperature frequency
2,Mortality Risk,South Europe,Historical,2020,10th vs 100th %ile,%,-33.06,NA,NA,NA,NA,NA,2,Decline associated with higher temperature frequency
3,Mortality Risk,High-income countries,Historical,2020,10th vs 100th %ile,%,-13.58,NA,2.5%,12.56,97.5%,14.61,2,Decline associated with higher temperature frequency
4,Mortality Risk,Lower-middle-income countries,Historical,2020,10th vs 100th %ile,%,-12.34,NA,2.5%,9.27,97.5%,15.51,2,Decline associated with higher temperature frequency
5,Mortality,Global,Historical,2020,10th percentile,%,0,NA,10%,NA,NA,NA,Page 3,"Compares 10th to 100th percentile of normalized temperature frequency. Value represents no change in mortality risk between the two percentiles, for placeholder purposes only since value is not specified on page 3."
6,Mortality risk,South Europe,None,2020,10th percentile freq,%,33.06,NA,2.5%,29.44,97.5%,36.79,Page 4,South Europe exhibited the highest increase in mortality risk with increased temperature frequency.
7,Mortality risk,Central Europe,None,2020,10th percentile freq,%,21.61,NA,2.5%,18.42,97.5%,24.89,Page 4,Central Europe demonstrated a significant increase in mortality risk with increased temperature frequency.
8,Mortality risk,North Europe,None,2020,10th percentile freq,%,16.47,NA,2.5%,14.30,97.5%,18.68,Page 4,North Europe showed an increase in mortality risk with increased temperature frequency.
9,Mortality risk,Australia and New Zealand,None,2020,10th percentile freq,%,4.56,NA,2.5%,-3.76,97.5%,13.60,Page 4,Australia and New Zealand had the lowest increase in mortality risk with increased temperature frequency.
10,Mortality Risk,Temperate Climates,NA,2020,NA,% change,14.79,NA,5%,13.61,95%,15.99,5,The highest increase in mortality risk was observed in Temperate climates.
11,Mortality Risk,Polar Climates,NA,2020,NA,% change,-0.45,NA,5%,-11.91,95%,12.50,5,The lowest increase in mortality risk was observed in Polar climates. The value is reported as negative since it represents a decrease in risk.
12,Mortality Risk,High-Income Countries,NA,2020,NA,% change,13.58,NA,5%,12.56,95%,14.61,5,The highest increase in mortality risk was observed for high-income countries.
