,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Alaska Harvests,US,Historical,2020,No CC,%,60.26,NA,NA,NA,NA,NA,2/23,% total US commercial harvests
1,US Ex-vessel Value,US,Historical,2020,No CC,%,32.09,NA,NA,NA,NA,NA,2/23,% total US ex-vessel value
2,Fisheries Value,Global,Historical,2020,No CC,Billion USD,141,NA,NA,NA,NA,NA,2/23,
3,Fisheries Livelihoods,Global,Historical,2020,No CC,Millions,390,NA,NA,NA,NA,NA,2/23,At least partially
4,Primary Production,Eastern Bering Sea,SSP585,2050,Present,Percent Change,-1,NA,NA,NA,NA,NA,Page 8,"Primary production is projected to decline in the future, especially with increasing severity of the SSP scenarios. Value set to -1, reflecting a decline."
5,Maximum Catch Potential,Bering and Chukchi Seas,SSP585,2081,2000-2019,%,-4.22,NA,NA,NA,NA,NA,Page 12,Basin-wide decrease
6,Maximum Catch Potential,Study Area,SSP126,2040,2000–2019,Percentage Change,-4.55,NA,NA,NA,NA,NA,Page 14,Projected change in Maximum Catch Potential for SSP126 for the period 2041–2060.
7,Maximum Catch Potential,Study Area,SSP245,2060,2000–2019,Percentage Change,-3.65,NA,NA,NA,NA,NA,Page 14,Projected change in Maximum Catch Potential for SSP245 for the period 2061–2080.
8,Maximum Catch Potential,Study Area,SSP370,2080,2000–2019,Percentage Change,-3.22,NA,NA,NA,NA,NA,Page 14,Projected change in Maximum Catch Potential for SSP370 for the period 2081–2100.
9,Maximum Catch Potential,Study Area,SSP585,2040,2000–2019,Percentage Change,-2.04,NA,NA,NA,NA,NA,Page 14,Projected change in Maximum Catch Potential for SSP585 for the period 2041–2060.
