,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Population at Risk,North America,Historical,2022,1979,qualitative,1,NA,NA,NA,NA,NA,1,Climate suitability for dengue transmission has expanded in North America
1,Population at Risk,East Asia,Historical,2022,1979,qualitative,1,NA,NA,NA,NA,NA,1,Climate suitability for dengue transmission has expanded in East Asia
2,Population at Risk,Mediterranean basin,Historical,2022,1979,qualitative,1,NA,NA,NA,NA,NA,1,Climate suitability for dengue transmission has expanded in the Mediterranean basin
3,Population at Risk,Global South,Historical,2022,1979,qualitative,1,NA,NA,NA,NA,NA,1,Increase largely driven by population growth in areas with historically favorable climate suitability
4,Population at Risk,Global North,Historical,2022,1979,qualitative,1,NA,NA,NA,NA,NA,1,Increase predominantly occurred in previously unfavorable areas with limited population growth
5,Population at Risk,Global,Historical,2022,1979,people,2500000000,NA,NA,NA,NA,NA,1,Population in areas with high climate suitability has grown by approximately 2.5 billion.
6,Infection Risk,Africa and Asia,NA,2022,Four decades earlier,%,15,NA,NA,NA,NA,NA,7,Approximately 70% of the populations live in areas with high risk of infection.
7,Climate suitability,Global,Historical,2022,1980,Index P,0,NA,50%,0,90%,0,Page 9,"The long-term climate suitability trends for dengue virus transmission from 1979 to 2022 were analyzed using the seasonal Mann–Kendall (MK) test. This analysis included estimates of change by calculating the average Index P for 1979–1983 and 2018–2022, demonstrating climate impacts over time. Value is arbitrarily set to zero since the actual value is not specified."
8,Population exposure,Global South,Historical,2020,1980,Population change,0,NA,NA,NA,NA,NA,Page 9,"The independent effect of global population growth in areas with high dengue climate suitability was estimated by holding climate suitability constant between 1979-1983 and allowing population changes from 1980 to 2020, showcasing impacts due to population dynamics. Value is arbitrarily set to zero since the actual value is not specified."
9,Population exposure,Global,Historical,2022,1980,Population change,0,NA,NA,NA,NA,NA,Page 9,"The independent effect of changes in climate suitability on the population living in high suitability areas was estimated by maintaining a constant world population from 1980 and allowing climate suitability to change from 1979 to 2022, indicating climate impacts on population exposure. Value is arbitrarily set to zero since the actual value is not specified."
