,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Chronic Heat Exposure,Global,All warming scenarios,2050,2020,ratio,2,NA,NA,NA,NA,NA,1,Chronic heat exposure more than doubles.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Chronic Heat Exposure"",""Global"",""All warming scenarios"",""2050"",""2020"",""ratio"",""2"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Chronic heat exposure more than doubles. `Page 1: ...chronic exposure to heat doubles across all warming scenarios.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2050"",""Today"",""%"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2023"",""No CC"",""%"",""14"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Older Adults at Risk"",""Global"",""Unspecified"",""2050"",""Today"",""millions"",""177"",""NA"",""NA"",""NA"",""NA"",""246"",""1"",""Additional older adults (aged 69+) at risk. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""60+ Population"",""Global"",""Unspecified"",""2050"",""2021"",""billions"",""2.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Projected 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""60+ Population"",""Global"",""Unspecified"",""2021"",""No CC"",""billions"",""1.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Observed 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""Population Aged 60+"",""Global"",""Unspecified"",""2050"",""No CC"",""%"",""21"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"","" `Page 1: By 2050, a projected 21% of the global population will be age 60+, with more than two-thirds of older adults residing in low- and middle-income countries where climate change-driven extreme events are especially likely12.`""
"
1,Population Exposed to >37.5°C,Global,Unspecified,2050,Today,%,23,NA,NA,NA,NA,NA,1,Population aged 69+.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Chronic Heat Exposure"",""Global"",""All warming scenarios"",""2050"",""2020"",""ratio"",""2"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Chronic heat exposure more than doubles. `Page 1: ...chronic exposure to heat doubles across all warming scenarios.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2050"",""Today"",""%"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2023"",""No CC"",""%"",""14"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Older Adults at Risk"",""Global"",""Unspecified"",""2050"",""Today"",""millions"",""177"",""NA"",""NA"",""NA"",""NA"",""246"",""1"",""Additional older adults (aged 69+) at risk. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""60+ Population"",""Global"",""Unspecified"",""2050"",""2021"",""billions"",""2.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Projected 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""60+ Population"",""Global"",""Unspecified"",""2021"",""No CC"",""billions"",""1.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Observed 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""Population Aged 60+"",""Global"",""Unspecified"",""2050"",""No CC"",""%"",""21"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"","" `Page 1: By 2050, a projected 21% of the global population will be age 60+, with more than two-thirds of older adults residing in low- and middle-income countries where climate change-driven extreme events are especially likely12.`""
"
2,Population Exposed to >37.5°C,Global,Unspecified,2023,No CC,%,14,NA,NA,NA,NA,NA,1,Population aged 69+.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Chronic Heat Exposure"",""Global"",""All warming scenarios"",""2050"",""2020"",""ratio"",""2"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Chronic heat exposure more than doubles. `Page 1: ...chronic exposure to heat doubles across all warming scenarios.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2050"",""Today"",""%"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2023"",""No CC"",""%"",""14"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Older Adults at Risk"",""Global"",""Unspecified"",""2050"",""Today"",""millions"",""177"",""NA"",""NA"",""NA"",""NA"",""246"",""1"",""Additional older adults (aged 69+) at risk. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""60+ Population"",""Global"",""Unspecified"",""2050"",""2021"",""billions"",""2.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Projected 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""60+ Population"",""Global"",""Unspecified"",""2021"",""No CC"",""billions"",""1.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Observed 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""Population Aged 60+"",""Global"",""Unspecified"",""2050"",""No CC"",""%"",""21"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"","" `Page 1: By 2050, a projected 21% of the global population will be age 60+, with more than two-thirds of older adults residing in low- and middle-income countries where climate change-driven extreme events are especially likely12.`""
"
3,Older Adults at Risk,Global,Unspecified,2050,Today,millions,177,NA,NA,NA,NA,246,1,Additional older adults (aged 69+) at risk.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Chronic Heat Exposure"",""Global"",""All warming scenarios"",""2050"",""2020"",""ratio"",""2"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Chronic heat exposure more than doubles. `Page 1: ...chronic exposure to heat doubles across all warming scenarios.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2050"",""Today"",""%"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2023"",""No CC"",""%"",""14"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Older Adults at Risk"",""Global"",""Unspecified"",""2050"",""Today"",""millions"",""177"",""NA"",""NA"",""NA"",""NA"",""246"",""1"",""Additional older adults (aged 69+) at risk. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""60+ Population"",""Global"",""Unspecified"",""2050"",""2021"",""billions"",""2.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Projected 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""60+ Population"",""Global"",""Unspecified"",""2021"",""No CC"",""billions"",""1.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Observed 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""Population Aged 60+"",""Global"",""Unspecified"",""2050"",""No CC"",""%"",""21"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"","" `Page 1: By 2050, a projected 21% of the global population will be age 60+, with more than two-thirds of older adults residing in low- and middle-income countries where climate change-driven extreme events are especially likely12.`""
"
4,60+ Population,Global,Unspecified,2050,2021,billions,2.1,NA,NA,NA,NA,NA,1,Projected 60+ population.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Chronic Heat Exposure"",""Global"",""All warming scenarios"",""2050"",""2020"",""ratio"",""2"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Chronic heat exposure more than doubles. `Page 1: ...chronic exposure to heat doubles across all warming scenarios.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2050"",""Today"",""%"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2023"",""No CC"",""%"",""14"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Older Adults at Risk"",""Global"",""Unspecified"",""2050"",""Today"",""millions"",""177"",""NA"",""NA"",""NA"",""NA"",""246"",""1"",""Additional older adults (aged 69+) at risk. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""60+ Population"",""Global"",""Unspecified"",""2050"",""2021"",""billions"",""2.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Projected 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""60+ Population"",""Global"",""Unspecified"",""2021"",""No CC"",""billions"",""1.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Observed 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""Population Aged 60+"",""Global"",""Unspecified"",""2050"",""No CC"",""%"",""21"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"","" `Page 1: By 2050, a projected 21% of the global population will be age 60+, with more than two-thirds of older adults residing in low- and middle-income countries where climate change-driven extreme events are especially likely12.`""
"
5,60+ Population,Global,Unspecified,2021,No CC,billions,1.1,NA,NA,NA,NA,NA,1,Observed 60+ population.,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Chronic Heat Exposure"",""Global"",""All warming scenarios"",""2050"",""2020"",""ratio"",""2"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Chronic heat exposure more than doubles. `Page 1: ...chronic exposure to heat doubles across all warming scenarios.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2050"",""Today"",""%"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2023"",""No CC"",""%"",""14"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Older Adults at Risk"",""Global"",""Unspecified"",""2050"",""Today"",""millions"",""177"",""NA"",""NA"",""NA"",""NA"",""246"",""1"",""Additional older adults (aged 69+) at risk. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""60+ Population"",""Global"",""Unspecified"",""2050"",""2021"",""billions"",""2.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Projected 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""60+ Population"",""Global"",""Unspecified"",""2021"",""No CC"",""billions"",""1.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Observed 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""Population Aged 60+"",""Global"",""Unspecified"",""2050"",""No CC"",""%"",""21"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"","" `Page 1: By 2050, a projected 21% of the global population will be age 60+, with more than two-thirds of older adults residing in low- and middle-income countries where climate change-driven extreme events are especially likely12.`""
"
6,Population Aged 60+,Global,Unspecified,2050,No CC,%,21,NA,NA,NA,NA,NA,1,,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
""Chronic Heat Exposure"",""Global"",""All warming scenarios"",""2050"",""2020"",""ratio"",""2"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Chronic heat exposure more than doubles. `Page 1: ...chronic exposure to heat doubles across all warming scenarios.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2050"",""Today"",""%"",""23"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Population Exposed to >37.5°C"",""Global"",""Unspecified"",""2023"",""No CC"",""%"",""14"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Population aged 69+. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""Older Adults at Risk"",""Global"",""Unspecified"",""2050"",""Today"",""millions"",""177"",""NA"",""NA"",""NA"",""NA"",""246"",""1"",""Additional older adults (aged 69+) at risk. `Page 1: ...Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat.`""
""60+ Population"",""Global"",""Unspecified"",""2050"",""2021"",""billions"",""2.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Projected 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""60+ Population"",""Global"",""Unspecified"",""2021"",""No CC"",""billions"",""1.1"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"",""Observed 60+ population. `Page 1: ...is projected to more than double by mid-21st-century - from 1.1 billion in 2021 to nearly 2.1 billion by 2050.`""
""Population Aged 60+"",""Global"",""Unspecified"",""2050"",""No CC"",""%"",""21"",""NA"",""NA"",""NA"",""NA"",""NA"",""1"","" `Page 1: By 2050, a projected 21% of the global population will be age 60+, with more than two-thirds of older adults residing in low- and middle-income countries where climate change-driven extreme events are especially likely12.`""
"
7,Chronic Heat Exposure,Global,SSP2(45),2050,2020,%,23,NA,NA,NA,NA,NA,"1, 2",">23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today","The global population is aging at the same time as heat exposures are increasing due to climate change. Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat....maximum temperatures are already approaching the critical thresholds of 35° C with high humidity and of 40° C with low humidity3,51,52 in different regions of the world under current warming levels1."
8,Acute Heat Exposure,Global,SSP2(45),2050,2020,millions,177,NA,NA,NA,NA,NA,1,Additional older adults exposed to dangerous acute heat,"The global population is aging at the same time as heat exposures are increasing due to climate change. Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat....maximum temperatures are already approaching the critical thresholds of 35° C with high humidity and of 40° C with low humidity3,51,52 in different regions of the world under current warming levels1."
9,Acute Heat Exposure,Global,SSP2(45),2050,2020,millions,246,NA,NA,NA,NA,NA,1,Additional older adults exposed to dangerous acute heat,"The global population is aging at the same time as heat exposures are increasing due to climate change. Moreover, >23% of the global population aged 69+ will inhabit climates whose 95th percentile of daily maximum temperature exceeds the critical threshold of 37.5°C, compared with 14% today, exposing an additional 177–246 million older adults to dangerous acute heat....maximum temperatures are already approaching the critical thresholds of 35° C with high humidity and of 40° C with low humidity3,51,52 in different regions of the world under current warming levels1."
