,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Heat-related mortality,Switzerland,Current,2022,No CC,deaths,658,NA,NA,NA,NA,NA,1,approximate
1,Labour productivity,Switzerland,Current,2022,No CC,CHF million,-665,NA,NA,NA,NA,NA,1,approximate; also reported as equivalent to USD 700 million per year
2,Heat-related mortality,Switzerland,RCP8.5,2100,No CC,deaths,-1316,NA,NA,NA,NA,NA,1,doubles current
3,Labour productivity,Switzerland,RCP8.5,2100,No CC,CHF million,-1995,NA,NA,NA,NA,NA,1,triples current
4,Heat-related mortality,Switzerland,RCP2.6,2050,No CC,deaths,0,NA,NA,NA,NA,NA,1,"Slight increase, peaks around mid-century then stops warming; 0 used as a placeholder"
5,Labour productivity,Switzerland,RCP2.6,2050,No CC,CHF million,0,NA,NA,NA,NA,NA,1,"Slight increase, peaks around mid-century then stops warming; 0 used as a placeholder"
6,Labor Productivity,Switzerland,Current,2022,No CC,CHF million,-665,NA,NA,NA,NA,NA,Highlights,Annual loss. Potentially tripling by end of century.
7,Labor Productivity,Switzerland,RCP8.5,2050,No CC,%,-65,NA,NA,NA,NA,NA,Highlights,Maximum losses in labor productivity; particularly affecting high physical activity jobs.
8,Labour Productivity,Switzerland,RCP8.5,2060,No CC,CHF,-665000000,NA,NA,NA,NA,NA,Page 2534,The projected cost of labor productivity loss due to heat exposure is anticipated to triple by the end of the century.
9,Labour Productivity,Switzerland,RCP2.6,2060,No CC,CHF,-665000000,NA,NA,NA,NA,NA,Page 2534,"The projections hold socioeconomic factors constant, emphasizing the impact of temperature increases."
10,Heat-related death,Switzerland,RCP2.6,2050,2020,Deaths/year,37,NA,NA,NA,NA,NA,Page 5,Refers to an increase from 658 to 695 deaths by 2050 relative to 2020.
11,Heat-related death,Switzerland,RCP4.5,2050,2020,Deaths/year,156,NA,NA,NA,NA,NA,Page 5,Refers to an increase from 658 to 814 deaths by 2050 relative to 2020.
12,Heat-related death,Switzerland,RCP8.5,2050,2020,Deaths/year,276,NA,5%,241,95%,1883,Page 5,Refers to an increase from 658 to 934 deaths by 2050 relative to 2020. Error bars and quantiles provided.
13,Heat-related deaths,Switzerland,Current,2022,No CC,deaths,-658,NA,NA,NA,NA,NA,Page 7,Heat is associated with the death of about 658 people in Switzerland in an average year in today's climate.
14,Labour productivity,Switzerland,Current,2022,No CC,CHF million,-665,NA,NA,NA,NA,NA,Page 7,Losses in labour productivity amount to CHF 665 million in an average year in today's climate.
15,Heat-related deaths,Switzerland,RCP8.5,2080,RCP2.6,deaths,823,NA,NA,NA,NA,NA,Page 7,"In 2080, an RCP8.5 scenario projects 823 additional deaths per year relative to an RCP2.6 scenario."
16,Labour productivity,Switzerland,RCP8.5,2080,RCP2.6,CHF million,-1381,NA,NA,NA,NA,NA,Page 7,"In 2080, an RCP8.5 scenario projects an increase of CHF 1,381 million in productivity losses relative to an RCP2.6 scenario."
