,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,SST,Global,SSP5-8.5,2090,No CC,degrees Celsius,3,NA,NA,NA,NA,NA,Page 9,Average SST increase projected under high warming.,
1,SST,Global,SSP1-2.6,2090,No CC,degrees Celsius,1,NA,NA,NA,NA,NA,Page 9,Average SST increase projected under low warming.,
2,Heat Extremes,Global,Observed,2023,Pre-industrial,Frequency increase,3,NA,NA,NA,NA,NA,Page 10,10-yr events are already 3 times more frequent than during pre-industrial conditions,"Both the number of days and nights exceeding their climatological 90th percentile have increased, and so has the duration of heat waves. 10-yr events are already 3 times more frequent than during pre-industrial conditions, becoming about 4, 6 and 9 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. 50-yr events are already 5 times more frequent, and would become about 9, 14 and 40 times more frequent at those GWLs. The magnitude of both these events has changed and will change similarly: they are already 1.2 ◦C hotter on average, and will become about 2 ◦C, 2.6 ◦C and 5 ◦C hotter at those GWLs. Increases in frequency and intensity of heavy precipitation episodes have been detected. The frequency of these types of events is now 30 % higher than during pre-Industrial conditions, and is projected to become 1.5, 2 and 3 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. The intensity of these events has increased by about 7 % and will increase further to become 10.5 %, 14 % and 30 % wetter at those GWLs."
3,Heat Extremes,Global,GWL,2050,Pre-industrial,Frequency increase,4,NA,NA,NA,NA,NA,Page 10,10-yr events become about 4 times more frequent at 1.5 ◦C GWL,"Both the number of days and nights exceeding their climatological 90th percentile have increased, and so has the duration of heat waves. 10-yr events are already 3 times more frequent than during pre-industrial conditions, becoming about 4, 6 and 9 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. 50-yr events are already 5 times more frequent, and would become about 9, 14 and 40 times more frequent at those GWLs. The magnitude of both these events has changed and will change similarly: they are already 1.2 ◦C hotter on average, and will become about 2 ◦C, 2.6 ◦C and 5 ◦C hotter at those GWLs. Increases in frequency and intensity of heavy precipitation episodes have been detected. The frequency of these types of events is now 30 % higher than during pre-Industrial conditions, and is projected to become 1.5, 2 and 3 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. The intensity of these events has increased by about 7 % and will increase further to become 10.5 %, 14 % and 30 % wetter at those GWLs."
4,Heat Extremes,Global,GWL,2050,Pre-industrial,Frequency increase,6,NA,NA,NA,NA,NA,Page 10,10-yr events become about 6 times more frequent at 2 ◦C GWL,"Both the number of days and nights exceeding their climatological 90th percentile have increased, and so has the duration of heat waves. 10-yr events are already 3 times more frequent than during pre-industrial conditions, becoming about 4, 6 and 9 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. 50-yr events are already 5 times more frequent, and would become about 9, 14 and 40 times more frequent at those GWLs. The magnitude of both these events has changed and will change similarly: they are already 1.2 ◦C hotter on average, and will become about 2 ◦C, 2.6 ◦C and 5 ◦C hotter at those GWLs. Increases in frequency and intensity of heavy precipitation episodes have been detected. The frequency of these types of events is now 30 % higher than during pre-Industrial conditions, and is projected to become 1.5, 2 and 3 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. The intensity of these events has increased by about 7 % and will increase further to become 10.5 %, 14 % and 30 % wetter at those GWLs."
5,Heat Extremes,Global,GWL,2050,Pre-industrial,Frequency increase,9,NA,NA,NA,NA,NA,Page 10,10-yr events become about 9 times more frequent at 4 ◦C GWL,"Both the number of days and nights exceeding their climatological 90th percentile have increased, and so has the duration of heat waves. 10-yr events are already 3 times more frequent than during pre-industrial conditions, becoming about 4, 6 and 9 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. 50-yr events are already 5 times more frequent, and would become about 9, 14 and 40 times more frequent at those GWLs. The magnitude of both these events has changed and will change similarly: they are already 1.2 ◦C hotter on average, and will become about 2 ◦C, 2.6 ◦C and 5 ◦C hotter at those GWLs. Increases in frequency and intensity of heavy precipitation episodes have been detected. The frequency of these types of events is now 30 % higher than during pre-Industrial conditions, and is projected to become 1.5, 2 and 3 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. The intensity of these events has increased by about 7 % and will increase further to become 10.5 %, 14 % and 30 % wetter at those GWLs."
6,Heat Extremes,Global,Observed,2023,Pre-industrial,Frequency increase,5,NA,NA,NA,NA,NA,Page 10,50-yr events are already 5 times more frequent than during pre-industrial conditions,"Both the number of days and nights exceeding their climatological 90th percentile have increased, and so has the duration of heat waves. 10-yr events are already 3 times more frequent than during pre-industrial conditions, becoming about 4, 6 and 9 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. 50-yr events are already 5 times more frequent, and would become about 9, 14 and 40 times more frequent at those GWLs. The magnitude of both these events has changed and will change similarly: they are already 1.2 ◦C hotter on average, and will become about 2 ◦C, 2.6 ◦C and 5 ◦C hotter at those GWLs. Increases in frequency and intensity of heavy precipitation episodes have been detected. The frequency of these types of events is now 30 % higher than during pre-Industrial conditions, and is projected to become 1.5, 2 and 3 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. The intensity of these events has increased by about 7 % and will increase further to become 10.5 %, 14 % and 30 % wetter at those GWLs."
7,Heat Extremes,Global,GWL,2050,Pre-industrial,Frequency increase,9,NA,NA,NA,NA,NA,Page 10,50-yr events become about 9 times more frequent at 1.5 ◦C GWL,"Both the number of days and nights exceeding their climatological 90th percentile have increased, and so has the duration of heat waves. 10-yr events are already 3 times more frequent than during pre-industrial conditions, becoming about 4, 6 and 9 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. 50-yr events are already 5 times more frequent, and would become about 9, 14 and 40 times more frequent at those GWLs. The magnitude of both these events has changed and will change similarly: they are already 1.2 ◦C hotter on average, and will become about 2 ◦C, 2.6 ◦C and 5 ◦C hotter at those GWLs. Increases in frequency and intensity of heavy precipitation episodes have been detected. The frequency of these types of events is now 30 % higher than during pre-Industrial conditions, and is projected to become 1.5, 2 and 3 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. The intensity of these events has increased by about 7 % and will increase further to become 10.5 %, 14 % and 30 % wetter at those GWLs."
8,Heat Extremes,Global,GWL,2050,Pre-industrial,Frequency increase,14,NA,NA,NA,NA,NA,Page 10,50-yr events become about 14 times more frequent at 2 ◦C GWL,"Both the number of days and nights exceeding their climatological 90th percentile have increased, and so has the duration of heat waves. 10-yr events are already 3 times more frequent than during pre-industrial conditions, becoming about 4, 6 and 9 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. 50-yr events are already 5 times more frequent, and would become about 9, 14 and 40 times more frequent at those GWLs. The magnitude of both these events has changed and will change similarly: they are already 1.2 ◦C hotter on average, and will become about 2 ◦C, 2.6 ◦C and 5 ◦C hotter at those GWLs. Increases in frequency and intensity of heavy precipitation episodes have been detected. The frequency of these types of events is now 30 % higher than during pre-Industrial conditions, and is projected to become 1.5, 2 and 3 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. The intensity of these events has increased by about 7 % and will increase further to become 10.5 %, 14 % and 30 % wetter at those GWLs."
9,Heat Extremes,Global,GWL,2050,Pre-industrial,Frequency increase,40,NA,NA,NA,NA,NA,Page 10,50-yr events become about 40 times more frequent at 4 ◦C GWL,"Both the number of days and nights exceeding their climatological 90th percentile have increased, and so has the duration of heat waves. 10-yr events are already 3 times more frequent than during pre-industrial conditions, becoming about 4, 6 and 9 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. 50-yr events are already 5 times more frequent, and would become about 9, 14 and 40 times more frequent at those GWLs. The magnitude of both these events has changed and will change similarly: they are already 1.2 ◦C hotter on average, and will become about 2 ◦C, 2.6 ◦C and 5 ◦C hotter at those GWLs. Increases in frequency and intensity of heavy precipitation episodes have been detected. The frequency of these types of events is now 30 % higher than during pre-Industrial conditions, and is projected to become 1.5, 2 and 3 times more frequent for 1.5 ◦C, 2 ◦C and 4 ◦C respectively. The intensity of these events has increased by about 7 % and will increase further to become 10.5 %, 14 % and 30 % wetter at those GWLs."
