,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Banking crises,No specific country,SSP5,2100,No CC,%,26,NA,NA,NA,NA,NA,829,Lower bound estimate
1,Banking crises,No specific country,SSP5,2100,No CC,%,248,NA,NA,NA,NA,NA,829,Upper bound estimate
2,Fiscal burden,No specific country,SSP5,2100,No CC,% of GDP per year,5,NA,NA,NA,NA,NA,829,Lower bound estimate due to rescuing insolvent banks
3,Fiscal burden,No specific country,SSP5,2100,No CC,% of GDP per year,15,NA,NA,NA,NA,NA,829,Upper bound estimate due to rescuing insolvent banks
4,Public debt,No specific country,SSP5,2100,No CC,Factor,2,NA,NA,NA,NA,NA,829,Increase in ratio of public debt to GDP
5,Number of Bailouts,No specific country,Capital stock damages,2040,No CC,Number,5,NA,NA,NA,NA,NA,4,"Average number from 500 simulations, 10yr average"
6,Number of Bailouts,No specific country,Labour productivity damages,2040,No CC,Number,7,NA,NA,NA,NA,NA,4,"Average number from 500 simulations, 10yr average"
7,Number of Bailouts,No specific country,Labour and capital damages,2040,No CC,Number,12,NA,NA,NA,NA,NA,4,"Average number from 500 simulations, 10yr average"
8,Bailout Costs,No specific country,SSP5-RCP8.5,2040,No CC,% of GDP,20,NA,NA,NA,NA,NA,4,Each line in Figure 1b represents a model run.
9,Debt-to-GDP Ratio,No specific country,Labour and capital damages,2040,No CC,%,8,NA,5%,NA,95%,NA,4,Yearly averages from 500 simulations; dashed lines are 90% CIs.
10,Bailout Costs,No specific country,SSP5-RCP8.5,2050,No CC,% of GDP,30,NA,NA,NA,NA,NA,4,Yearly average in SSP5 future
11,Number of Financial Crises,No specific country,Historical,2000,No CC,Crises per year,3.5,NA,NA,NA,NA,NA,4,"Global level, historical average"
12,Fiscal Costs,No specific country,Historical,2000,No CC,% of GDP,12,NA,NA,NA,NA,NA,4,"Average of affected country GDP, historical average"
