,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Fire carbon emissions,Global,RCP2.6,2099,BaU warming in RCP8.5,Pg C,4,NA,NA,NA,NA,NA,Page 10,Global warming limited to < 2 degrees C
1,Fire carbon emissions,Global,RCP2.6,2099,BaU warming in RCP8.5,Pg C,20,NA,NA,NA,NA,NA,Page 10,Global warming limited to < 2 degrees C
2,Fire carbon emissions,Global,SSP1,2099,SSP2,Pg C,9,NA,NA,NA,NA,NA,Page 10,80 year study period
3,Fire carbon emissions,Global,SSP1,2099,SSP2,Pg C,15,NA,NA,NA,NA,NA,Page 10,80 year study period
4,Fire carbon emissions,Global,SSP2,2099,SSP3,Pg C,7,NA,NA,NA,NA,NA,Page 10,80 year study period
5,Fire carbon emissions,Global,SSP2,2099,SSP3,Pg C,23,NA,NA,NA,NA,NA,Page 10,80 year study period
6,Emissions Difference,Global,SSPs,2099,Historical,GtCO2,33,NA,NA,NA,NA,NA,11,"Cumulative emissions differences between SSPs, total socioeconomic factor"
7,Emissions Difference,Global,SSPs,2099,Historical,GtCO2,117,NA,NA,NA,NA,NA,11,"Cumulative emissions differences between SSPs, total socioeconomic factor"
8,Emissions Difference,Global,SSPs,2099,Historical,Pg C,9,NA,NA,NA,NA,NA,11,"Cumulative emissions differences between SSPs, total socioeconomic factor"
9,Emissions Difference,Global,SSPs,2099,Historical,Pg C,32,NA,NA,NA,NA,NA,11,"Cumulative emissions differences between SSPs, total socioeconomic factor"
10,Emissions Reduction,Global,Post-fire C sinks,2099,Pre-fire C sinks,%,42,NA,NA,NA,NA,NA,11,Indirect impact of fire reduces net C emissions
11,Emissions Difference,Global,SSPs,2099,Historical,GtCO2,19,NA,NA,NA,NA,NA,11,"Even with a 42% decrease of net carbon emissions after post-fire C sinks (Li et al., 2014), the difference is still significant"
12,Emissions Difference,Global,SSPs,2099,Historical,GtCO2,68,NA,NA,NA,NA,NA,11,"Even with a 42% decrease of net carbon emissions after post-fire C sinks (Li et al., 2014), the difference is still significant"
13,Fire Emissions,Global,NA,2006,NA,Pg C yr-1,2.4,NA,NA,NA,NA,NA,11,Simulated fire emissions
