,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Equity Valuation,U.S.,Investor shift,2019,Foreign Investors,Change in prices (%),-3,NA,NA,NA,NA,NA,Page 29,"If foreign investors exit US market, a 1 standard deviation increase in the environmental score would move prices only by 14% instead of 17%."
1,Portfolio Weight,US,Env. Score +0.1,2019,Baseline,%,0.5,NA,NA,NA,NA,NA,35,Increase from 5% to 5.5% for long-term investors due to 1 SD change in env. score.
2,Firm Valuation,US,Stakeholder risk,2019,No CC,Coefficient,0.57,NA,NA,NA,NA,NA,Page 36,The outcome reflects the change in valuation coefficient associated with a 0.1 increase in environmental score for all institutional investors in the stakeholder risk scenario.
3,Firm Valuation,US,Regulatory risk,2019,No CC,Coefficient,0.03,NA,NA,NA,NA,NA,Page 36,The regulatory risk scenario involves only insurance companies and pension funds increasing their demand for green firms.
4,Valuation,US,Historical,2010,No CC,Coefficient,0.17,NA,NA,NA,NA,NA,47,"Coefficient on Environmental scores in a regression of log market-to-book ratio (mb) on firm characteristics, 2010-2019. Environmental scores are from Sustainalytics."
5,Earnings Growth,US,Historical,2010,No CC,Coefficient,0.04,NA,NA,NA,NA,NA,47,"Coefficient on Environmental scores in a regression of cumulative earnings growth (e5) on firm characteristics, 2010-2019. Environmental scores are from Sustainalytics."
6,Valuation,US,Historical,2000,No CC,Coefficient,0.04,NA,NA,NA,NA,NA,47,"Coefficient on Environmental scores in a regression of log market-to-book ratio (mb) on firm characteristics, 2000-2019. Environmental scores are from Sustainalytics."
7,Earnings Growth,US,Historical,2000,No CC,Coefficient,0.04,NA,NA,NA,NA,NA,47,"Coefficient on Environmental scores in a regression of cumulative earnings growth (e5) on firm characteristics, 2000-2019. Environmental scores are from Sustainalytics."
8,Repricing,US,Stylized changes,2019,Flows to other investors,%,17.7,NA,NA,NA,NA,NA,49,Large Passive Investor Share of Repricing
9,Repricing,US,Stylized changes,2019,Flows to other investors,%,16.4,NA,NA,NA,NA,NA,49,Small Passive Investor Share of Repricing
