,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Borrowing Costs,68 countries,No scenario,2025,No CC,%,27,NA,10%,7,90%,27,page 10,"The percentage change is assessed as a proportion of a one-unit standard deviation of the climate vulnerability index on 2-year and 1-year sovereign yield spreads, in the 90th quantile."
1,Borrowing Costs,68 countries,No scenario,2025,No CC,%,0,NA,10%,13.5,50%,0,page 10,"The percentage change is assessed as a proportion of a one-unit standard deviation of the climate vulnerability index on longer maturity spreads (5-year and 10-year), at the 10th and 50th quantile."
2,Sovereign Spreads,68 countries,NA,2024,No CC,standard deviation,0.00,NA,10%,0.08,90%,0.21,30,Inflation impact on 2-year spreads.
3,Sovereign Spreads,68 countries,NA,2024,No CC,standard deviation,0.00,NA,10%,0.09,90%,0.2,30,Inflation impact on 10-year spreads.
4,Sovereign Spreads,68 countries,NA,2024,No CC,standard deviation,0.00,NA,10%,0.17,90%,0.27,30,Inflation impact on 1-year spreads.
5,Debt-to-GDP Ratio,68 countries,NA,2024,No CC,standard deviation,0.00,NA,NA,NA,90%,0.11,30,Impact on 2-year spread
6,Debt-to-GDP Ratio,68 countries,NA,2024,No CC,standard deviation,0.00,NA,NA,NA,50%,0.11,30,Impact on 2-year spread
7,Sovereign Risk,68 countries,N/A,2024,No CC,Scaled slope,1,NA,0%,NA,NA,NA,31,Vulnerability comparable to inflation effect
8,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,0.14,0.05,NA,NA,90%,0.14,Page 32,Impact of vulnerability on 1-year spread at 90th quantile.
9,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,0.07,0.05,10%,0.07,NA,NA,Page 32,Impact of vulnerability on 1-year spread at 10th quantile.
10,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,0.14,0.05,50%,0.14,NA,NA,Page 32,Impact of vulnerability on 1-year spread at 50th quantile.
11,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,-0.15,0.05,NA,NA,90%,-0.15,Page 32,Impact of readiness on 1-year spread at 90th quantile.
12,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,-0.07,0.05,10%,-0.07,NA,NA,Page 32,Impact of readiness on 1-year spread at 10th quantile.
13,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,-0.12,0.06,50%,-0.12,NA,NA,Page 32,Impact of readiness on 1-year spread at 50th quantile.
14,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,0.27,0.07,NA,NA,90%,0.27,Page 32,Impact of vulnerability on 2-year spread at 90th quantile.
15,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,0.07,0.03,10%,0.07,NA,NA,Page 32,Impact of vulnerability on 2-year spread at 10th quantile.
16,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,0.13,0.04,50%,0.13,NA,NA,Page 32,Impact of vulnerability on 2-year spread at 50th quantile.
17,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,-0.12,0.06,NA,NA,90%,-0.12,Page 32,Impact of readiness on 2-year spread at 90th quantile.
18,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,-0.07,0.04,10%,-0.07,NA,NA,Page 32,Impact of readiness on 2-year spread at 10th quantile.
19,Sovereign Yield Spreads,68 countries,NA,2025,No CC,Scaled units,-0.1,0.04,50%,-0.1,NA,NA,Page 32,Impact of readiness on 2-year spread at 50th quantile.
20,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,0.11,0.03,10%,0.11,NA,NA,34,Impact of Vulnerability on 5 year spreads at the 0.1 quantile
21,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,0.06,0.06,50%,0.06,NA,NA,34,Impact of Vulnerability on 5 year spreads at the 0.5 quantile
22,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,0.05,0.05,90%,0.05,NA,NA,34,Impact of Vulnerability on 5 year spreads at the 0.9 quantile
23,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,0.12,0.04,10%,0.12,NA,NA,34,Impact of Vulnerability on 10 year spreads at the 0.1 quantile
24,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,0.08,0.04,50%,0.08,NA,NA,34,Impact of Vulnerability on 10 year spreads at the 0.5 quantile
25,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,0.15,0.10,90%,0.15,NA,NA,34,Impact of Vulnerability on 10 year spreads at the 0.9 quantile
26,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,-0.12,0.05,10%,-0.12,NA,NA,34,Impact of Readiness on 5 year spreads at the 0.1 quantile
27,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,-0.21,0.05,50%,-0.21,NA,NA,34,Impact of Readiness on 5 year spreads at the 0.5 quantile
28,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,-0.09,0.04,90%,-0.09,NA,NA,34,Impact of Readiness on 5 year spreads at the 0.9 quantile
29,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,-0.13,0.04,10%,-0.13,NA,NA,34,Impact of Readiness on 10 year spreads at the 0.1 quantile
30,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,-0.15,0.05,50%,-0.15,NA,NA,34,Impact of Readiness on 10 year spreads at the 0.5 quantile
31,Sovereign Spreads,68 countries,"ND, Fiscal, Instit.",2025,No CC,Scaled units,-0.16,0.05,90%,-0.16,NA,NA,34,Impact of Readiness on 10 year spreads at the 0.9 quantile
32,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,0.11,0.05,10%,0.13,90%,0.11,40,Vulnerability increases spreads.
33,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,0.11,0.04,10%,0.15,90%,0.16,40,Vulnerability increases spreads.
34,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.16,0.04,10%,-0.09,90%,-0.16,40,Readiness decreases spreads.
35,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.13,0.05,10%,-0.03,90%,-0.04,40,Readiness decreases spreads.
36,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,0.28,0.04,10%,0.15,90%,0.28,40,Inflation increases spreads.
37,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,0.14,0.04,10%,0.10,90%,0.14,40,Inflation increases spreads.
38,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.22,0.04,10%,-0.04,90%,-0.22,40,Economic complexity decreases spreads.
39,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.15,0.05,10%,-0.11,90%,-0.15,40,Economic complexity decreases spreads.
40,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.08,0.02,10%,-0.09,90%,-0.08,40,Real GDP growth decreases spreads.
41,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.07,0.02,10%,-0.06,90%,-0.07,40,Real GDP growth decreases spreads.
42,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.05,0.03,10%,-0.08,90%,-0.05,40,Terms of trade decreases spreads.
43,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.06,0.02,10%,-0.03,90%,-0.06,40,Terms of trade decreases spreads.
44,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.04,0.05,10%,-0.11,90%,-0.04,40,Rule of law decreases spreads.
45,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.11,0.04,10%,-0.06,90%,-0.11,40,Rule of law decreases spreads.
46,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,0.00,0.04,10%,0.01,90%,0.00,40,Debt to GDP increases spreads.
47,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,0.09,0.06,10%,0.04,90%,0.09,40,Debt to GDP increases spreads.
48,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.06,0.01,10%,-0.04,90%,-0.06,40,Common Factor decreases spreads.
49,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.06,0.01,10%,-0.04,90%,-0.06,40,Common Factor decreases spreads.
50,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,-0.02,0.03,10%,0.07,90%,-0.02,40,Rents (% GDP) impact spreads.
51,Sovereign Spreads,68 countries,Natural Disasters,2025,No Natural Disasters,Scaled units,0.00,0.05,10%,0.02,90%,0.00,40,Rents (% GDP) impact spreads.
52,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,0.15,0.02,10%,0.15,90%,0.11,41,"Vulnerability, 5-year, Q=0.1 & 0.9"
53,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,0.10,0.04,10%,0.15,90%,0.11,41,"Vulnerability, 5-year, Q=0.5 & 0.9"
54,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,0.19,0.03,10%,0.15,90%,0.13,41,"Vulnerability, 10-year, Q=0.1 & 0.9"
55,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,0.12,0.06,10%,0.15,90%,0.13,41,"Vulnerability, 10-year, Q=0.5 & 0.9"
56,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,-0.09,0.04,10%,-0.09,90%,-0.13,41,"Readiness, 5-year, Q=0.1 & 0.5"
57,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,-0.13,0.03,10%,-0.09,90%,-0.13,41,"Readiness, 5-year, Q=0.5 & 0.9"
58,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,-0.09,0.03,10%,-0.09,90%, -0.19,41,"Readiness, 10-year, Q=0.1 & 0.5"
59,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,-0.09,0.03,10%,-0.09,90%, -0.19,41,"Readiness, 10-year, Q=0.5 & 0.9"
60,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,0.13,0.03,10%,0.13,90%,0.21,41,"Inflation, 5-year, Q=0.1 & 0.5"
61,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,0.21,0.04,10%,0.13,90%,0.21,41,"Inflation, 5-year, Q=0.5 & 0.9"
62,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,0.11,0.02,10%,0.12,90%,0.28,41,"Inflation, 10-year, Q=0.1 & 0.5"
63,Sovereign Spread,68 Countries,NA,2025,No CC,standardized units,0.12,0.03,10%,0.12,90%,0.28,41,"Inflation, 10-year, Q=0.5 & 0.9"
64,Sovereign Spreads,Emerging Economies,NA,2025,No CC,Basis Points,0,NA,NA,NA,NA,NA,45,Readiness less effective than vulnerability.
65,Sovereign Risk,Developed Countries,NA,2025,No CC,NA,-0,NA,NA,NA,NA,NA,45,"Readiness offsets vulnerability, lower quantiles."
