,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Arctic Warming,Arctic,Unspecified,2100,GSAT,ratio,2,NA,NA,NA,NA,NA,6,"Lower bound of the range of Arctic warming relative to GSAT, as projected by IPCC WGI."
1,Arctic Warming,Arctic,Unspecified,2100,GSAT,ratio,2.4,NA,NA,NA,NA,NA,6,"Upper bound of the range of Arctic warming relative to GSAT, as projected by IPCC WGI."
2,Arctic Warming,Arctic,Unspecified,2022,GSAT,ratio,4,NA,NA,NA,NA,NA,6,"Recent work (Rantanen et al., 2022) has found the Arctic region warming at a rate close to 4 times faster than GSAT over the last 40 years; using 2022 as the year of the study."
3,SST,Global,SSP5-8.5,2090,1850-1900,°C,3,NA,NA,2,NA,4,9,Average of 2081-2100; GWLs between 3.6°C and 6.9°C
4,SST,Global,SSP1-2.6,2090,1850-1900,°C,0.95,NA,NA,0.4,NA,1.5,9,Average of 2081-2100; GWLs between 1.3°C and 2.8°C
5,Flooded Area Extent,Global,1.5 ◦C GWL,2081,No CC,N/A,0,NA,NA,NA,NA,NA,11,"Flooded area is expected to increase, detectable even when comparing 1.5 ◦C and 2 ◦C GWLs. Indicating increase not quantifiable."
6,Flooded Area Extent,Global,2 ◦C GWL,2081,No CC,N/A,0,NA,NA,NA,NA,NA,11,"Flooded area is expected to increase, detectable even when comparing 1.5 ◦C and 2 ◦C GWLs. Indicating increase not quantifiable."
7,Drought Frequency,Semi-arid Regions,1 ◦C GWL,2023,Pre-industrial,times more frequent,1.7,NA,NA,NA,NA,NA,11,Observed frequency compared to pre-industrial times.
8,Drought Frequency,Global,1.5 ◦C GWL,2081,Pre-industrial,times more frequent,2,NA,NA,NA,NA,NA,11,Frequency of 10-yr drought events.
9,Drought Frequency,Global,2 ◦C GWL,2081,Pre-industrial,times more frequent,2.4,NA,NA,NA,NA,NA,11,Frequency of 10-yr drought events.
10,Drought Frequency,Global,4 ◦C GWL,2081,Pre-industrial,times more frequent,4,NA,NA,NA,NA,NA,11,Frequency of 10-yr drought events.
11,Drought Intensity,Global,1 ◦C GWL,2023,Pre-industrial,sd drier,0.3,NA,NA,NA,NA,NA,11,Intensity of drought events.
12,Drought Intensity,Global,1.5 ◦C GWL,2081,Pre-industrial,sd drier,0.5,NA,NA,NA,NA,NA,11,Intensity of drought events.
13,Drought Intensity,Global,2 ◦C GWL,2081,Pre-industrial,sd drier,0.6,NA,NA,NA,NA,NA,11,Intensity of drought events.
14,Drought Intensity,Global,4 ◦C GWL,2081,Pre-industrial,sd drier,1,NA,NA,NA,NA,NA,11,Intensity of drought events.
15,Drought Probability,Global (over land),1 ◦C GWL,2023,Pre-industrial,%,9.4,NA,NA,NA,NA,NA,11,Probability of three months’ drought conditions.
16,Drought Probability,Global (over land),1.5 ◦C GWL,2081,Pre-industrial,%,20,NA,NA,15,NA,30,11,Probability of three months’ drought conditions.
17,Drought Probability,Global (over land),2 ◦C GWL,2081,Pre-industrial,%,35,NA,NA,20,NA,45,11,Probability of three months’ drought conditions.
18,Drought Probability,Global (over land),4 ◦C GWL,2081,Pre-industrial,%,60,NA,NA,45,NA,75,11,Probability of three months’ drought conditions.
19,TC Rain Intensity,Global,Global Warming,2023,No CC,N/A,0,NA,NA,NA,NA,NA,11,Rain intensity that accompanies these storms has already increased because of global warming. Indicating increase not quantifiable.
20,Intense TCs Proportion,Global,Global Warming,2023,No CC,N/A,0,NA,NA,NA,NA,NA,11,Proportion of the more intense Tropical Cyclones (TCs) has also likely increased. Indicating increase not quantifiable.
21,Wind/Precip Intensity,Mid/High Latitudes,Global Warming,2081,No CC,N/A,0,NA,NA,NA,NA,NA,11,Wind and precipitation intensity is projected to increase with warming. Indicating increase not quantifiable.
22,Storm Track Shift,Mid/High Latitudes,Global Warming,2081,No CC,N/A,0,NA,NA,NA,NA,NA,11,Storm track tends to move polewards. Indicating poleward shift not quantifiable.
