,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Water Management,Adaptation,The Netherlands,Transient scenarios,Non-navigable duration,BaselineImpact,Economic,Need,days,29,NA,NA,NA,NA,NA,Page 90,Historical average annual non-navigable duration over the past 25 years (based on Dutch data).
1,River Navigation,Use of smaller ships,The Netherlands,NA,CapExCost,CapExCost,Monetary,Need,Me,40,NA,NA,NA,NA,NA,Table 4.1,Cost for the next 100 years
2,River Navigation,Use of medium ships,The Netherlands,NA,CapExCost,CapExCost,Monetary,Need,Me,40,NA,NA,NA,NA,NA,Table 4.1,Cost for the next 100 years
3,River Navigation,Small-scale dredging,The Netherlands,NA,OpExCost,OpExCost,Monetary,Need,Me / annually,0.015,NA,NA,NA,NA,0.02,Table 4.1,Permit larger ships to navigate at lower discharges; Cost for the next 100 years
4,River Navigation,Large-scale dredging,The Netherlands,NA,OpExCost,OpExCost,Monetary,Need,Me / annually,0.18,NA,NA,NA,NA,0.22,Table 4.1,Permit larger ships to navigate at lower discharges; Cost for the next 100 years
5,Water Management,Adaptive Management,USA,Declining Supply,AdaptationCost,AdaptationCost [billion USD / yr],Economic,Need,billion USD / yr,0,NA,NA,NA,NA,7.5,Page 152,"Costs for Portfolio A (Inclusive), upper bound. A valid lower bound wasn't defined, so zero was used."
6,Water Management,Adaptive Management,USA,Declining Supply,AdaptationCost,AdaptationCost [billion USD / yr],Economic,Need,billion USD / yr,0,NA,NA,NA,NA,NA,Page 152,"Costs for Portfolio D (Common Options) are implied to be lower than Portfolio A, but are not directly specified. Zero was used since a valid value was not defined."
7,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,AdaptationCost,Economic,Need,Annual Cost [$B],0,NA,NA,NA,NA,NA,Fig 7.6,Cost of aggressive adaptation strategy in one future
8,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,AdaptationCost,Economic,Need,Annual Cost [$B],1,NA,NA,NA,NA,NA,Fig 7.6,Cost of very aggressive adaptation strategy in one future
9,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,AdaptationCost,Economic,Need,Annual Cost [$B],2,NA,NA,NA,NA,NA,Fig 7.6,Cost of implement all actions adaptation strategy in one future
10,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,AdaptationCost,Economic,Need,Annual Cost [$B],3,NA,NA,NA,NA,NA,Fig 7.6,Cost of moderate adaptation strategy in one future
11,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,AdaptationCost,Economic,Need,Annual Cost [$B],4,NA,NA,NA,NA,NA,Fig 7.6,Cost of aggressive adaptation strategy in one future
12,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,AdaptationCost,Economic,Need,Annual Cost [$B],5,NA,NA,NA,NA,NA,Fig 7.6,Cost of very aggressive adaptation strategy in one future
13,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Level of Regret,NonMonetaryBenefits,Economic,Need,%,0,NA,NA,NA,NA,NA,Fig 7.7,Regret of implement-all-actions strategy
14,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Level of Regret,NonMonetaryBenefits,Economic,Need,%,20,NA,NA,NA,NA,NA,Fig 7.7,Regret of current management strategy
15,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Level of Regret,NonMonetaryBenefits,Economic,Need,%,40,NA,NA,NA,NA,NA,Fig 7.7,Regret of baseline strategy
16,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Level of Regret,NonMonetaryBenefits,Economic,Need,%,80,NA,NA,NA,NA,NA,Fig 7.7,Regret of aggressive strategy
17,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,FailureProbability,Economic,Need,%,0,NA,NA,NA,NA,NA,Fig 7.6,Implement-All-Actions
18,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,FailureProbability,Economic,Need,%,11,NA,NA,NA,NA,NA,Fig 7.6,Static
19,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,FailureProbability,Economic,Need,%,16,NA,NA,NA,NA,NA,Fig 7.6,Very Aggressive
20,Water Management,Adaptive Strategies,Colorado River Basin,Climate Ensemble,Vulnerability/Cost Trade-off,FailureProbability,Economic,Need,%,19,NA,NA,NA,NA,NA,Fig 7.6,Aggressive
