,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Desalination Costs,Global,SSP1,2011,2005,USD10^9,4.0,NA,NA,1.1,NA,10.6,Page 1,Costs represent global costs for desalination production.
1,Desalination Costs,Global,SSP2,2011,2005,USD10^9,6.0,NA,NA,1.6,NA,22.8,Page 1,Costs represent global costs for desalination production.
2,Desalination Costs,Global,SSP3,2011,2005,USD10^9,6.0,NA,NA,7.5,NA,183.9,Page 1,Costs represent global costs for desalination production.
3,Desalination Costs,Global,SSP1,2041,2005,USD10^9,18.7,NA,NA,1.1,NA,10.6,Page 1,Costs represent global costs for desalination production.
4,Desalination Costs,Global,SSP2,2041,2005,USD10^9,18.7,NA,NA,1.6,NA,22.8,Page 1,Costs represent global costs for desalination production.
5,Desalination Costs,Global,SSP3,2041,2005,USD10^9,48.6,NA,NA,7.5,NA,183.9,Page 1,Costs represent global costs for desalination production.
6,GDP Percentage,Global,SSP1,2011,2005,%,0.002,NA,NA,0.002,NA,0.019,Page 1,Costs represent global costs for desalination production expressed as a percentage of total global GDP.
7,GDP Percentage,Global,SSP2,2011,2005,%,0.002,NA,NA,0.001,NA,0.020,Page 1,Costs represent global costs for desalination production expressed as a percentage of total global GDP.
8,GDP Percentage,Global,SSP3,2011,2005,%,0.002,NA,NA,0.002,NA,0.100,Page 1,Costs represent global costs for desalination production expressed as a percentage of total global GDP.
9,GDP Percentage,Global,SSP1,2041,2005,%,0.002,NA,NA,0.002,NA,0.019,Page 1,Costs represent global costs for desalination production expressed as a percentage of total global GDP.
10,GDP Percentage,Global,SSP2,2041,2005,%,0.002,NA,NA,0.001,NA,0.020,Page 1,Costs represent global costs for desalination production expressed as a percentage of total global GDP.
11,GDP Percentage,Global,SSP3,2041,2005,%,0.002,NA,NA,0.002,NA,0.100,Page 1,Costs represent global costs for desalination production expressed as a percentage of total global GDP.
12,Production cost,Globe,Historical,2005,No CC,% of total global GDP,0.002,NA,NA,NA,NA,0.019,4153,"Calculated from desalination costs and global GDP. Lower bound uses cost of USD 1.1x10^6, higher bound uses USD 10.6x10^6."
13,Production cost,MENA,Historical,2005,No CC,% of total global GDP,0.032,NA,NA,NA,NA,0.306,4153,"Implies that MENA region's costs are a significant component of total global GDP impacts, relative to its share of global GDP. Lower bound uses cost of USD 1.1x10^6, higher bound uses USD 10.6x10^6."
14,Production cost,Globe,SSP1,2025,No CC,% of total global GDP,0.001,NA,NA,NA,NA,0.012,4153,
15,Production cost,Globe,SSP2,2025,No CC,% of total global GDP,0.002,NA,NA,NA,NA,0.017,4153,
16,Production cost,Globe,SSP3,2025,No CC,% of total global GDP,0.002,NA,NA,NA,NA,0.020,4153,
17,Production cost,Globe,SSP1,2055,No CC,% of total global GDP,0.002,NA,NA,NA,NA,0.022,4153,
18,Production cost,Globe,SSP2,2055,No CC,% of total global GDP,0.006,NA,NA,NA,NA,0.060,4153,
19,Production cost,Globe,SSP3,2055,No CC,% of total global GDP,0.011,NA,NA,NA,NA,0.100,4153,
20,Production cost,MENA,SSP3,2055,No CC,% of total global GDP,0.121,NA,NA,NA,NA,1.147,4153,This was mainly attributable to large water use and low GDP growth in SSP3.
