,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Carbon emissions,Global,Observed,2006,Pre-industrial,Pg per year,2.2,NA,NA,NA,NA,NA,2,"Global mean carbon emissions due to fire were approximately 2.2 Pg per year from 1997 to 2016, about 22% of contemporary global annual carbon emissions from fossil fuel combustion."
1,Economic losses,Australia,Observed,2020,Pre-fire,AUD $,100,NA,NA,NA,NA,NA,2,"Australian Black Summer is likely the nation’s most costly natural disaster, costing over AUD $100 billion"
2,Economic losses,USA,Observed,2018,Pre-fire,USD $,40,NA,NA,NA,NA,NA,2,California in the USA saw an estimated USD $40 billion(NatCatSERVICE) in structure losses alone in a dozen major wildfires in 2017–2018.
3,Area burned,Global,Observed,2010,NA,Mha per year,450,NA,NA,NA,NA,NA,2," ""Vegetation fires burn an annual global average of 400–500 million hectares (Mha)"""
4,Fire Weather Index,Global,ERA5,2019,1979,days,25,NA,NA,NA,NA,NA,5,"Linear trend end of FWI, exceeded 95th percentile"
5,Fire Weather Index,Global,ERA5,2019,1979,days,-25,NA,NA,NA,NA,NA,5,"Linear trend end of FWI, exceeded 95th percentile"
6,Emissions,Africa,NA,2020,NA,TgC year-1,1600,NA,NA,NA,NA,NA,5,Estimated from figure
7,Burned Area,Western USA,NA,2018,NA,1000 km2,3.5,NA,NA,NA,NA,NA,5,Estimated from figure
8,Suppression costs,Western USA,NA,2018,NA,billion US $,2.7,NA,NA,NA,NA,NA,5,Estimated from figure
9,Burned Area,Canada,NA,2018,NA,1000 km2,80,NA,NA,NA,NA,NA,5,Estimated from figure
10,Burned Area,New South Wales,NA,2020,NA,1000 km2,45,NA,NA,NA,NA,NA,5,Estimated from figure
11,Pyrocumulonimbus,Australia,NA,2020,NA,Count,6,NA,NA,NA,NA,NA,5,Estimated from figure
12,Burned Area,Tasmania,NA,2019,NA,1000 km2,35,NA,NA,NA,NA,NA,5,Estimated from figure
13,Burned Area,Tasmania,NA,2019,NA,1000 km2,2,NA,NA,NA,NA,NA,5,Lightning
14,Burned Area,Central Chile,NA,2017,NA,1000 km2,2.5,NA,NA,NA,NA,NA,5,Estimated from figure
15,Burned Area,Portugal,NA,2018,NA,1000 km2,1,NA,NA,NA,NA,NA,5,Estimated from figure
16,Emissions,Indonesia,NA,2019,NA,TgC year-1,450,NA,NA,NA,NA,NA,5,Estimated from figure
17,Emissions,Brazilian Amazonia,NA,2019,NA,TgC year-1,450,NA,NA,NA,NA,NA,5,Estimated from figure
18,Area Burned,Western Tasmania,Unspecified,2019,1980-1985,ha,199900,NA,NA,NA,NA,NA,6,"Area burned increased from an average of ~100 ha annually to over 200,000 ha in 2019."
19,Fire Weather Index,Mediterranean,2C Warming,2099,contemporary conditions,%,130,NA,NA,NA,NA,NA,6,Days exceeding 95th percentile of the Fire Weather Index are projected to increase
20,Fire Weather Index,Alaska,2C Warming,2099,contemporary conditions,%,40,NA,NA,NA,NA,NA,6,Days exceeding 95th percentile of the Fire Weather Index are projected to increase
21,Area Burned,Global,Stronger Warming,2100,No CC,%,58,NA,NA,NA,NA,NA,6,Some models showed a 58% increase by the end of the twenty-first century
22,Burned Area,Mediterranean Europe,1.5°C to 3°C warming,2100,No CC,%,40,NA,NA,NA,NA,NA,p. 8,"Increase in burned area by end of century, implicitly assuming it."
23,Burned Area,Mediterranean Europe,1.5°C to 3°C warming,2100,No CC,%,100,NA,NA,NA,NA,NA,p. 8,"Increase in burned area by end of century, implicitly assuming it."
24,Mortality,Australia,Unspecified,2019,No CC,deaths,417,NA,NA,NA,NA,NA,11,Due to smoke from bushfires; much greater than the 33 recorded direct fatalities
25,Hospitalizations,Australia,Unspecified,2019,No CC,hospitalizations,3000,NA,NA,NA,NA,NA,11,"Estimated minimum value, based on 'several thousand', caused by cardiovascular and respiratory problems from smoke from bushfires"
26,Greenhouse Gas Emissions,Arnhem Land,,2020,Decade prior to intervention,%,-37.7,NA,NA,NA,NA,NA,12,Reduction in non-CO2 emissions due to fire management in Eucalyptus savannah. Using the paper's year as a proxy.
27,Carbon Emissions,Boreal zone,,2020,,Pg of carbon/year,0.2,NA,NA,NA,NA,NA,12,Annual carbon emissions from boreal forest fires. Likely to escalate with global warming. Using the paper's year as a proxy.
