,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Agriculture,Irrigation,Brazil,A1B,Land Value,MonetaryBenefits,Economic,Lead,Ratio,2,NA,NA,NA,NA,NA,Abstract,Value of irrigated land is approximately double that of rainfed land under simulated climate change scenarios. Ratio is dimensionless.
1,Agriculture,Irrigation,Brazil,"A1B, A2",Land Value,MonetaryBenefits,Economic,Need,ratio,2,NA,NA,NA,NA,NA,Abstract,"Land values of irrigators are, on average, approximately twice the value of rainfed smallholders under all simulation scenarios. Ratio of land value (irrigated / rainfed)."
2,Agriculture,Irrigation,Brazil,Current Period,PSM,MonetaryBenefits,Economic,Need,"1,000 R$",3459.60,NA,NA,NA,NA,NA,Table 5,Difference in land value between irrigators and rainfed producers.  *** indicates significance at 1%.
3,Agriculture,Irrigation,Brazil,A1B (2020),PSM,MonetaryBenefits,Economic,Need,"1,000 R$",5625.28,NA,NA,NA,NA,NA,Table 5,Difference in land value between irrigators and rainfed producers.  *** indicates significance at 1%.
4,Agriculture,Irrigation,Brazil,A1B (2050),PSM,MonetaryBenefits,Economic,Need,"1,000 R$",5684.01,NA,NA,NA,NA,NA,Table 5,Difference in land value between irrigators and rainfed producers.  *** indicates significance at 1%.
5,Agriculture,Irrigation,Brazil,A1B (2080),PSM,MonetaryBenefits,Economic,Need,"1,000 R$",5729.57,NA,NA,NA,NA,NA,Table 5,Difference in land value between irrigators and rainfed producers.  *** indicates significance at 1%.
6,Agriculture,Irrigation,Brazil,A2 (2020),PSM,MonetaryBenefits,Economic,Need,"1,000 R$",5604.72,NA,NA,NA,NA,NA,Table 5,Difference in land value between irrigators and rainfed producers.  *** indicates significance at 1%.
7,Agriculture,Irrigation,Brazil,A2 (2050),PSM,MonetaryBenefits,Economic,Need,"1,000 R$",5588.28,NA,NA,NA,NA,NA,Table 5,Difference in land value between irrigators and rainfed producers.  *** indicates significance at 1%.
8,Agriculture,Irrigation,Brazil,A2 (2080),PSM,MonetaryBenefits,Economic,Need,"1,000 R$",5715.62,NA,NA,NA,NA,NA,Table 5,Difference in land value between irrigators and rainfed producers.  *** indicates significance at 1%.
9,Agriculture,Irrigation,Brazil,Current,Land Value,EconomicBenefits,Economic,Need,R$ million,7.2,NA,NA,NA,NA,NA,Page 380,Estimated losses for non-irrigated production in the next 30 years.
10,Agriculture,Irrigation,Brazil,A1B,Land Value,MonetaryBenefits,Economic,Lead,%,21.6,NA,NA,NA,NA,NA,Page 380,Increase in land value for irrigating producers in 2020 and 2050 compared to current.
11,Agriculture,Irrigation,Brazil,A1B,Land Value,AvoidedImpact,Economic,Need,%,-59.2,NA,NA,NA,NA,NA,Page 380,Reduction of land value for non-irrigated production in 2020 compared to current.
12,Agriculture,Irrigation,Brazil,A1B,Land Value,AvoidedImpact,Economic,Need,%,-59.7,NA,NA,NA,NA,NA,Page 380,Reduction of land value for non-irrigated production in 2050 compared to current.
13,Agriculture,Irrigation,Brazil,A1B,Land Value,AvoidedImpact,Economic,Need,%,-60,NA,NA,NA,NA,NA,Page 380,Reduction of land value for non-irrigated production in 2080 compared to current.
14,Agriculture,Irrigation,Brazil,A1B,Land Value,NonMonetaryBenefits,Economic,Need,units,5.8,NA,NA,NA,NA,NA,Page 380,"Standard deviation of land values for irrigating producers (A1B scenario, 2020-2080)."
15,Agriculture,Irrigation,Brazil,A1B,Land Value,AvoidedImpact,Economic,Need,units,57.8,NA,NA,NA,NA,NA,Page 380,"Standard deviation of land values for rainfed producers (A1B scenario, 2020-2080)."
16,Agriculture,Irrigation,Brazil,A2,Land Value,NonMonetaryBenefits,Economic,Need,units,5.8,NA,NA,NA,NA,NA,Page 380,"Standard deviation of land values for irrigating producers (A2 scenario, 2020-2080)."
17,Agriculture,Irrigation,Brazil,A2,Land Value,AvoidedImpact,Economic,Need,units,57.8,NA,NA,NA,NA,NA,Page 380,"Standard deviation of land values for rainfed producers (A2 scenario, 2020-2080)."
