,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Economic Loss,Latin America,Weather-related extreme events,2022,No CC,US$ Billion,15.6,NA,NA,NA,NA,NA,Page 3,"Economic loss attributed to extreme weather events predominantly due to floods and landslides in Brazil, representing 0.28% of Latin America's GDP."
1,Premature Mortality,Latin America,PM2.5 emissions,2020,No CC,Deaths per million people,123.5,NA,NA,NA,NA,NA,Page 3,"Attributable to fossil-fuel-derived PM2.5, with the highest rates in Chile, Peru, Brazil, Colombia, Mexico, and Paraguay."
2,Mortality Cost,Latin America,NA,2022,Average income,People,451000,NA,NA,NA,NA,NA,Page 4,"Losses equivalent to average income of 451,000 people annually among individuals aged 65 and older."
3,Income Loss,Latin America,NA,2022,Regional GDP,%,1.34,NA,NA,NA,NA,NA,Page 4,Potential income loss due to heat-related labour capacity reduction; disproportionately affecting the agriculture and construction sectors.
4,Mortality Cost,Latin America,NA,2022,Regional GDP,%,0.61,NA,NA,NA,NA,NA,Page 4,"Equivalent to a significant portion of regional GDP, from air pollution."
5,Fossil Fuel Subsidy,Latin America,NA,2020,NA,US$ billion,23,NA,NA,NA,NA,NA,Page 4,Net-negative carbon prices due to fossil fuel subsidies.
6,Subsidy/Health Exp,Venezuela,NA,2020,Health Expenditure,%,123,NA,NA,NA,NA,NA,Page 4,Highest net subsidies relative to current health expenditure.
7,Subsidy/Health Exp,Argentina,NA,2020,Health Expenditure,%,10.5,NA,NA,NA,NA,NA,Page 4,
8,Subsidy/Health Exp,Bolivia,NA,2020,Health Expenditure,%,10.3,NA,NA,NA,NA,NA,Page 4,
9,Subsidy/Health Exp,Ecuador,NA,2020,Health Expenditure,%,8.3,NA,NA,NA,NA,NA,Page 4,
10,Subsidy/Health Exp,Chile,NA,2020,Health Expenditure,%,5.6,NA,NA,NA,NA,NA,Page 4,
11,Heatwave Exposure,Latin America,NA,2022,1986-2005,person-days,2200000,NA,NA,NA,NA,NA,Page 7,"Infants (children younger than 1 year), additional annual person-days of heatwaves (averaged over 2013-2022)"
12,Heatwave Exposure,Latin America,NA,2022,1986-2005,person-days,13300000,NA,NA,NA,NA,NA,Page 7,"Adults older than 65 years, additional annual person-days of heatwaves (averaged over 2013-2022)"
13,Heatwave Exposure,Latin America,NA,2022,1986-2005,%,248,NA,NA,NA,NA,NA,Page 7,"Infants, more days of heatwave per year (averaged over 2013-2022)"
14,Heatwave Exposure,Latin America,NA,2022,1986-2005,%,271,NA,NA,NA,NA,NA,Page 7,"People older than 65 years, more days of heatwave per year (averaged over 2013-2022)"
15,Physical Activity Risk,Latin America,NA,2022,1991-2000,hours per person,256,NA,NA,NA,NA,NA,Page 7,Additional annual hours per person during which ambient heat posed at least moderate risk of heat stress during light outdoor physical activity (averaged over 2013-2022)
16,Physical Activity Risk,Latin America,NA,2022,1991-2000,hours per person,189,NA,NA,NA,NA,NA,Page 7,Additional annual hours per person during which ambient heat posed at least high risk of heat stress during light outdoor physical activity (averaged over 2013-2022)
17,Heat-related mortality,Latin America,Lancet Countdown,2022,2000-2009,%,140,NA,NA,NA,NA,NA,Page 8,Average increase across all Latin American countries. The 2023 Global Lancet Countdown report is the source of the data. Period covers 2013-2022.
18,Heat stress risk,Latin America,Warming,2022,1991-2000,hours per person per year,246,NA,NA,NA,NA,NA,Page 8,"Light and moderate outdoor physical activity. The rise occurred primarily in El Salvador, Venezuela, Ecuador, and Panama. Period covers 2013-2022."
19,Heat stress risk,Argentina,Warming,2022,1991-2000,hours per person per year,59,NA,NA,NA,NA,NA,Page 8,"Moderate, high, and extreme risk of heat stress for light and moderate outdoor physical activity increased in Argentina, Bolivia, Mexico, Paraguay, and Uruguay (Figure A4 in the Appendix). Period covers 2013-2022."
20,Heat stress risk,Mexico,Warming,2022,1991-2000,hours per person per year,67,NA,NA,NA,NA,NA,Page 8,"Moderate, high, and extreme risk of heat stress for light and moderate outdoor physical activity increased in Argentina, Bolivia, Mexico, Paraguay, and Uruguay (Figure A4 in the Appendix). Period covers 2013-2022."
21,Heat stress risk,Uruguay,Warming,2022,1991-2000,hours per person per year,27,NA,NA,NA,NA,NA,Page 8,"Moderate, high, and extreme risk of heat stress for light and moderate outdoor physical activity increased in Argentina, Bolivia, Mexico, Paraguay, and Uruguay (Figure A4 in the Appendix). Period covers 2013-2022."
22,Heat-related mortality,Ecuador,Lancet Countdown,2022,2000-2009,%,339,NA,NA,NA,NA,NA,Page 8,The 2023 Global Lancet Countdown report is the source of the data. Period covers 2013-2022.
23,Heat-related mortality,El Salvador,Lancet Countdown,2022,2000-2009,%,230,NA,NA,NA,NA,NA,Page 8,The 2023 Global Lancet Countdown report is the source of the data. Period covers 2013-2022.
24,Heat-related mortality,Honduras,Lancet Countdown,2022,2000-2009,%,204,NA,NA,NA,NA,NA,Page 8,The 2023 Global Lancet Countdown report is the source of the data. Period covers 2013-2022.
25,Heat-related mortality,Guatemala,Lancet Countdown,2022,2000-2009,%,202,NA,NA,NA,NA,NA,Page 8,The 2023 Global Lancet Countdown report is the source of the data. Period covers 2013-2022.
26,Food Insecurity,Latin America,SPEI-12 (drought months),2021,1981-2010 average,million people,9.9,NA,NA,NA,NA,NA,Page 10,Additional people experiencing moderate or severe food insecurity.
27,Food Insecurity,Latin America,Heatwave Days,2021,Unspecified,%,4.29,NA,NA,NA,NA,NA,Page 10,"Higher, moderate, or severe food insecurity associated with a higher number of heatwave days."
28,Food Insecurity,Latin America,Drought Months,2021,Unspecified,%,1.93,NA,NA,NA,NA,NA,Page 10,Food insecurity being higher due to increasing frequency of droughts.
29,Economic Losses,Latin America,Weather-related extreme events,2022,No CC,US$ billions,15.6,NA,NA,NA,NA,NA,Page 23,Represents 0.28% of Latin America's GDP
30,Uninsured Losses,Latin America,Weather-related extreme events,2022,No CC,US$ billions,14.5,NA,NA,NA,NA,NA,Page 23,Represents 93% of total economic losses
31,Economic Losses,Latin America,Weather-related extreme events,2012,2018-2022,US$ billions,7.3,NA,NA,NA,NA,NA,Page 23,Average annual losses
