,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Coral cover,BIRNM,"Fixed mortality, 100k",2030,Baseline,%,8.5,NA,NA,NA,NA,NA,3,Increase in A. palmata cover
1,Coral cover,BIRNM,"Fixed mortality, 250k",2030,Baseline,%,21.2,NA,NA,NA,NA,NA,3,Increase in A. palmata cover
2,Coral cover,BIRNM,"Fixed mortality, 500k",2030,Baseline,%,42.4,NA,NA,NA,NA,NA,3,Increase in A. palmata cover
3,Reef accretion,BIRNM,"Reduced mortality, 500k",2100,Baseline,mm/y,7.38,0.60,NA,NA,NA,NA,3,Average reef accretion potential
4,Reef accretion,BIRNM North,"Reduced mortality, 500k",2100,Baseline,mm/y,6.59,0.70,NA,NA,NA,NA,3,Reef accretion potential
5,Reef accretion,BIRNM South,"Reduced mortality, 500k",2100,Baseline,mm/y,8.16,0.94,NA,NA,NA,NA,3,Reef accretion potential
6,Vertical accretion,BIRNM,"Reduced mortality, 500k",2050,Baseline,m,0.25,0.02,NA,NA,NA,NA,3,Average vertical accretion
7,Vertical accretion,BIRNM,"Reduced mortality, 500k",2100,Baseline,m,0.62,0.05,NA,NA,NA,NA,3,Average vertical accretion
8,Vertical accretion,BIRNM North,"Reduced mortality, 500k",2100,Baseline,m,0.55,0.06,NA,NA,NA,NA,3,Vertical accretion
9,Vertical accretion,BIRNM South,"Reduced mortality, 500k",2100,Baseline,m,0.68,0.08,NA,NA,NA,NA,3,Vertical accretion
10,Reef Accretion,Buck Island Reef,Low-Intermed,2100,No CC,meters,0.5,NA,NA,NA,NA,NA,Page 4,30% A. palmata allows reef to keep pace with SLR.
11,Water Levels,Buck Island Reef,10-year Storm,2023,No CC,meters,4.17,0.03,NA,NA,NA,NA,Page 4,Average water levels under minor storm.
12,Water Levels,Buck Island Reef,50-year Storm,2023,No CC,meters,4.94,0.02,NA,NA,NA,NA,Page 4,Average water levels under major storm.
13,Reef Elevation,Buck Island Reef,Intermed-High,2100,No CC,meters,-0.2,NA,NA,NA,NA,NA,Page 4,Northern reef erosion by 2100.
14,Water Levels,Buck Island Reef,Intermed-High,2100,Low SLR,meters,-0.81,0.03,NA,NA,NA,NA,Page 4,Restoration reduces water levels.
15,Reef accretion potential,Buck Island,Present day,2016,Holocene baseline,mm/y,-1.22,NA,NA,NA,NA,NA,Page 5,Holocene accretion rate of 3.09 mm/y.
16,Reef accretion potential,Buck Island,Present day,2016,Western Atlantic,mm/y,-3.13,NA,NA,NA,NA,NA,Page 5,Western Atlantic rate is 1.87 mm/y.
17,Carbonate production,Buck Island,Present day,2016,Late 1970s,kg/m2/y,-13.91,0.27,NA,NA,NA,NA,Page 5,1970s production by A. palmata was 15.18 kg/m2/y.
18,Reef erosion,Buck Island,Present day,2016,1981-2014,mm/y,-1.56,NA,NA,NA,NA,NA,Page 5,Erosion rate slightly lower than 2.7 mm/y in 1981-2014.
19,Coral reef elevation,Buck Island Reef,Not specified,2100,Present day,meters,0,NA,NA,NA,NA,NA,Page 6,"Southern reef crest predicted to maintain present-day elevation by 2100, while other zones lose 0.12–0.23 m on average."
20,Total water levels,Buck Island Reef,Not specified,2100,No coral restoration,meters,-0.81,NA,NA,NA,NA,NA,Page 6,Coral restoration helps mitigate water level increases by reducing wave-driven water levels by up to 0.81 m.
21,Coral growth rate,Buck Island Reef,Not specified,2100,No CC,mm/year,13.4,NA,NA,NA,NA,NA,Page 6,A. palmata growth could match sea-level rise rates of up to 13.4 mm/year under worst-case scenarios.
22,Reef-accretion,Buck Island,Restoration,2100,Present,mm/y,5,NA,NA,NA,NA,NA,Page 7,Reef-accretion potential of 5 mm/y with restoration.
23,Water levels,Buck Island,High SLR,2100,No mitigation,m,-0.81,NA,NA,NA,NA,NA,Page 7,Reduction by >10% (0.81 m) in water levels.
24,A. palmata cover,W. Atlantic,Restoration,2100,No restoration,%,30,NA,NA,NA,NA,NA,Page 7,Return A. palmata cover to historical levels.
25,Coral cover,Buck Island,Restoration,2100,Current,%,36,NA,NA,NA,NA,NA,Page 7,30% increase in coral cover.
26,Reef accretion,Buck Island,Disturbances,2100,Current,NA,0,NA,NA,NA,NA,NA,Page 7,Potential 40% reduction in reef accretion.
27,Sea-level rise,Global,SSP1-2.6,2100,No CC,m,0.5,NA,NA,NA,NA,NA,Page 7,Model indicates significant restoration impact.
28,Holocene accretion,St. Croix,NA,1970,Historic,mm/y,3.08,NA,NA,NA,NA,NA,Page 7,Estimated offset from historical rates.
29,Sediment Composition,Buck Island Reef,NA,2016,NA,%,33,NA,NA,NA,NA,NA,9,Mean percentage of linear depth within the cores that was composed of sediment.
30,Void Space,Buck Island Reef,NA,2016,NA,%,18,NA,NA,NA,NA,NA,9,Mean percentage of linear depth within the cores composed of void space.
31,Coral Framework and Rubble,Buck Island Reef,NA,2016,NA,%,49,NA,NA,NA,NA,NA,9,Mean percentage of linear depth within the cores composed of in-place coral framework and rubble.
32,A. palmata calcification rate,Buck Island Reef,NA,2021,NA,kg m−2 y−1,42.91,NA,NA,NA,NA,NA,9,Highest calcification rate measured at BIRNM.
33,Reef-accretion,Buck Island Reef,+30% A. palmata,2100,No Restoration,kg CaCO3 m−2 y−1,29.07,NA,NA,NA,NA,NA,Page 10,Conservative estimate.
34,Survival rate,Buck Island Reef,Increased resilience,2100,Current,Percentage,80,NA,NA,NA,NA,NA,Page 10,Decreased mortality.
35,Survival rate,Buck Island Reef,Increased impacts,2100,Current,Percentage,44,NA,NA,NA,NA,NA,Page 10,Increased mortality.
36,Survival rate,Buck Island Reef,Fixed,2100,Current,Percentage,60,NA,NA,NA,NA,NA,Page 10,Based on current.
