,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Water Productivity,Eastern Nebraska,Observed,2020,Rainfed maize,%,18.4,NA,NA,NA,NA,NA,3,Water productivity in irrigated maize in rotation is relative to the rainfed site.
1,Yield,Western US Corn Belt,Observed,2010,Irrigated continuous maize,kg m-2,1.17,0.08,NA,NA,NA,NA,Page 8,Irrigated maize soybean rotation vs. Irrigated continuous maize
2,Evapotranspiration,Western US Corn Belt,Observed,2010,Irrigated continuous maize,mm,527,26,NA,NA,NA,NA,Page 8,Irrigated maize soybean rotation vs. Irrigated continuous maize
3,Water Productivity,Western US Corn Belt,Observed,2010,Irrigated continuous maize,kg m-3,2.23,0.21,NA,NA,NA,NA,Page 8,Irrigated maize soybean rotation vs. Irrigated continuous maize
4,Yield,Western US Corn Belt,Observed,2010,Irrigated continuous maize,kg m-2,0.85,0.12,NA,NA,NA,NA,Page 8,Rainfed maize soybean rotation vs. Irrigated continuous maize
5,Yield,Western US Corn Belt,Observed,2010,Irrigated maize rotation,kg m-2,0.85,0.12,NA,NA,NA,NA,Page 8,Rainfed maize soybean rotation vs. Irrigated maize soybean rotation
6,Evapotranspiration,Western US Corn Belt,Observed,2010,Irrigated continuous maize,mm,465,20,NA,NA,NA,NA,Page 8,Rainfed maize soybean rotation vs. Irrigated continuous maize
7,Evapotranspiration,Western US Corn Belt,Observed,2010,Irrigated maize rotation,mm,465,20,NA,NA,NA,NA,Page 8,Rainfed maize soybean rotation vs. Irrigated maize soybean rotation
8,Water Productivity,Western US Corn Belt,Observed,2010,Irrigated continuous maize,kg m-3,1.82,0.24,NA,NA,NA,NA,Page 8,Rainfed maize soybean rotation vs. Irrigated continuous maize
9,Water Productivity,Western US Corn Belt,Observed,2010,Irrigated maize rotation,kg m-3,1.82,0.24,NA,NA,NA,NA,Page 8,Rainfed maize soybean rotation vs. Irrigated maize soybean rotation
10,Yield,Western US Corn Belt,Observed,2010,Irrigated soybean,kg m-2,0.33,0.04,NA,NA,NA,NA,Page 8,Rainfed soybean vs. Irrigated soybean
11,Evapotranspiration,Western US Corn Belt,Observed,2010,Irrigated soybean,mm,446,34,NA,NA,NA,NA,Page 8,Rainfed soybean vs. Irrigated soybean
12,Water Productivity,Western US Corn Belt,Observed,2010,Irrigated soybean,kg m-3,0.75,0.09,NA,NA,NA,NA,Page 8,Rainfed soybean vs. Irrigated soybean
13,Yield,Western US Corn Belt,Observed,2010,No CC,kg m-2,1.11,0.09,NA,NA,NA,NA,Page 8,Irrigated continuous maize
14,Evapotranspiration,Western US Corn Belt,Observed,2010,No CC,mm,534,29,NA,NA,NA,NA,Page 8,Irrigated continuous maize
15,Water Productivity,Western US Corn Belt,Observed,2010,No CC,kg m-3,2.08,0.20,NA,NA,NA,NA,Page 8,Irrigated continuous maize
16,Yield,Western US Corn Belt,Observed,2010,No CC,kg m-2,1.17,0.08,NA,NA,NA,NA,Page 8,Irrigated maize soybean rotation
17,Evapotranspiration,Western US Corn Belt,Observed,2010,No CC,mm,527,26,NA,NA,NA,NA,Page 8,Irrigated maize soybean rotation
18,Water Productivity,Western US Corn Belt,Observed,2010,No CC,kg m-3,2.23,0.21,NA,NA,NA,NA,Page 8,Irrigated maize soybean rotation
19,Yield,Western US Corn Belt,Observed,2010,No CC,kg m-2,0.85,0.12,NA,NA,NA,NA,Page 8,Rainfed maize soybean rotation
20,Evapotranspiration,Western US Corn Belt,Observed,2010,No CC,mm,465,20,NA,NA,NA,NA,Page 8,Rainfed maize soybean rotation
21,Water Productivity,Western US Corn Belt,Observed,2010,No CC,kg m-3,1.82,0.24,NA,NA,NA,NA,Page 8,Rainfed maize soybean rotation
22,Yield,Western US Corn Belt,Observed,2010,No CC,kg m-2,0.38,0.04,NA,NA,NA,NA,Page 8,Irrigated soybean
23,Evapotranspiration,Western US Corn Belt,Observed,2010,No CC,mm,470,28,NA,NA,NA,NA,Page 8,Irrigated soybean
24,Water Productivity,Western US Corn Belt,Observed,2010,No CC,kg m-3,0.81,0.07,NA,NA,NA,NA,Page 8,Irrigated soybean
25,Yield,Western US Corn Belt,Observed,2010,No CC,kg m-2,0.33,0.04,NA,NA,NA,NA,Page 8,Rainfed soybean
26,Evapotranspiration,Western US Corn Belt,Observed,2010,No CC,mm,446,34,NA,NA,NA,NA,Page 8,Rainfed soybean
27,Water Productivity,Western US Corn Belt,Observed,2010,No CC,kg m-3,0.75,0.09,NA,NA,NA,NA,Page 8,Rainfed soybean
28,Water Productivity,Midwestern US,Current trends,2063,Current,%,150,NA,NA,NA,NA,NA,12,Projected decline in maize WP for irrigated systems.
29,Water Productivity,Midwestern US,Current trends,2063,Current,%,54,NA,NA,NA,NA,NA,12,Projected decline in maize WP for rainfed systems.
