,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Property at Risk,U.S.,Current Estimates,2022,No CC,Trillion U.S. Dollars,1.0,NA,NA,NA,NA,NA,1,Current estimates of property at risk from SLR and coastal hazards in the U.S. are given as over a trillion dollars; conservatively using 1.0 as the value.
1,Structures,U.S. Coastlines,Historical,2000,1950,%,446,NA,NA,NA,NA,NA,7,Increase in structures
2,Developed Land Area,U.S. Coastlines,Historical,2000,1950,%,220,NA,NA,NA,NA,NA,7,Increase in developed land area
3,Developed Land Area,U.S. 6-foot SLR Zone,Historical,2015,Undeveloped,%,35,NA,NA,NA,NA,NA,7,Percent of land developed in SLR zone
4,Construction Year,U.S. 6-foot SLR Zone,Historical,1975,Earlier/Later Years,Year,1975,NA,NA,NA,NA,NA,7,Median year of construction in SLR zone
5,Density,Flood Zone,Historical,2000,1900,Relative change,1,NA,NA,NA,NA,NA,"Page 9, Fig 3a",SLR Zones and coastal MSAs are denser.
6,Developed area,Flood Zone,Historical,2000,1900,Relative change,1,NA,NA,NA,NA,NA,"Page 9, Fig 3c",SLR Zones and coastal MSAs are more developed.
7,Expansion rate,Flood Zone,Historical,2000,1900,Relative change,1,NA,NA,NA,NA,NA,"Page 9, Fig 3d",SLR Zones and coastal MSAs consistently have higher rates of expansion
8,Structure Density,SLR Zone vs. Non-SLR Zone,Historical Data,2015,No Hurricanes,Density/Storm Hit,0.0,NA,NA,NA,NA,NA,Page 13,Qualitative: SLR zones have higher density after storms.
9,Total Structures,SLR Zone vs. Non-SLR Zone,Historical Data,2015,No Hurricanes,Structures/Storm Hit,0.0,NA,NA,NA,NA,NA,Page 13,Qualitative: Hurricane events increase structures in SLR zones.
10,Building Age,United States,Historical,1975,NA,Percent,20,NA,NA,NA,NA,NA,17,"Percentage of structures older than 1975 provides indication of building codes and practices, and built environment vulnerability."
11,Building Age,United States,Historical,1975,NA,Percent,100,NA,NA,NA,NA,NA,17,"Percentage of structures older than 1975 provides indication of building codes and practices, and built environment vulnerability."
