,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Borrowing Costs,68 countries,Not specified,2025,NA,Percent,27,NA,10%,7,90%,27,Page 10,The increase in climate vulnerability index (ND-GAIN) results in a 27% rise in the 90th quantile of the 2-year spread. The same increase results in only a 7% rise in the 10th quantile of the 2-year and 1-year spreads.
1,Borrowing Costs,68 countries,Not specified,2025,NA,Percent,14,NA,10%,7,90%,14,Page 10,The increase in climate vulnerability index (ND-GAIN) results in a 14% rise in the 90th quantile of the 1-year spread. The same increase results in only a 7% rise in the 10th quantile of the 2-year and 1-year spreads.
2,Borrowing Costs,68 countries,Not specified,2025,NA,Percent,13.5,NA,10%,13.5,NA,NA,Page 10,"For longer maturities (5-year and 10-year), the increase in climate vulnerability index impacts only the 10th percentile, resulting in an approximately 13-14% increase."
3,Sovereign Spreads,68 countries,NA,2025,No CC,Scaled units,0.01,NA,NA,NA,NA,NA,Page 28,"Increased vulnerability to climate change contributes to higher spreads across all maturities. Higher debt-to-GDP ratio, and inflation also contribute to higher spreads. This is a qualitative result but scaled to 0.01 for the sake of quantification, to represent 'positive' increase"
4,Borrowing Costs,Emerging/low-income countries,NA,2025,No CC,NA,0.01,NA,NA,NA,NA,NA,Highlights,"Vulnerability to climate change increases spreads, especially for high-risk countries with short-term debt. This is a qualitative result but scaled to 0.01 for the sake of quantification, to represent 'positive' increase"
5,Borrowing Costs,68 countries,NA,2025,No CC,NA,-0.01,NA,NA,NA,NA,NA,Highlights,"Readiness to adapt can mitigate this (increase in borrowing costs). This is a qualitative result but scaled to -0.01 for the sake of quantification, to represent 'negative' increase (decrease in borrowing costs)"
6,Borrowing Costs,68 countries,N/A,2025,No CC,Percent,-3,NA,NA,NA,NA,NA,Page 29,"The magnitude of the common factor representing market shocks is relatively small, impacting borrowing costs (sovereign risk)."
7,Borrowing Costs,68 countries,N/A,2025,No CC,Percent,-6,NA,NA,NA,NA,NA,Page 29,The common factor impacts borrowing costs across all maturities within certain quantiles of spreads.
8,Borrowing Costs,68 countries,N/A,2025,No CC,Percent,0,NA,NA,NA,NA,NA,Page 29,"Sovereign spreads increase due to climate change vulnerability and inflation, especially for short maturities and specific quantiles. Described as a 'positive effect' on spreads, but with no concrete value reported, I have defaulted to zero."
9,Sovereign Spreads,68 countries,NA,2025,No CC,Std dev of spreads,0,NA,10%,-0.18,90%,0.27,Page 30,"Impact of inflation on 1-year spreads, moving from the 90th to the 10th quantile."
10,Sovereign Spreads,68 countries,NA,2025,No CC,Std dev of spreads,0,NA,10%,0.08,90%,0.21,Page 30,"Impact of inflation on 2-year spreads, moving from the 90th to the 10th quantile."
11,Sovereign Spreads,68 countries,NA,2025,No CC,Std dev of spreads,0,NA,10%,0.09,90%,0.20,Page 30,"Impact of inflation on 10-year spreads, moving from the 90th to the 10th quantile."
12,Sovereign Spreads,68 countries,NA,2025,No CC,Percent,0,NA,NA,NA,NA,NA,Page 30,"The effect associated with the debt-to-GDP ratio, frequently emphasized in the literature, is generally non-significant at short maturities in most of our specifications. When significant, the effect is relatively modest, ranging between 8 and 11 percent for the median and the 90th quantile of the 2-year spread."
13,Sovereign risk,68 countries,Unspecified,2025,No CC,Scaled quantile slopes,0.01,NA,NA,NA,95%,0.02,Page 31,"Positive relationship between vulnerability and sovereign risk, particularly pronounced at highest quantiles of spreads.  Value and high value are illustrative, based on 'comparable to inflation effect' and 'pronounced at highest quantiles', respectively."
14,Borrowing costs,68 countries,NA,2024,No CC,Scaled units,0.14,0.05,10%,0.07,90%,0.14,Table 3. Panel A,"Vulnerability, Spread 1 year"
15,Borrowing costs,68 countries,NA,2024,No CC,Scaled units,-0.15,0.05,10%,-0.07,90%,-0.15,Table 3. Panel A,"Readiness, Spread 1 year"
16,GDP growth,68 countries,NA,2024,No CC,Scaled units,-0.09,0.02,10%,-0.09,90%,-0.09,Table 3. Panel A,"Real GDP growth, Spread 1 year"
17,Inflation,68 countries,NA,2024,No CC,Scaled units,0.17,0.04,10%,0.18,90%,0.27,Table 3. Panel A,"Inflation, Spread 1 year"
18,Borrowing costs,68 countries,NA,2024,No CC,Scaled units,0.13,0.04,10%,0.07,90%,0.27,Table 3. Panel A,"Vulnerability, Spread 2 year"
