,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Banking Crises,Global,SSP5,2099,No CC,%,26,NA,NA,NA,NA,NA,829,Lower bound
1,Banking Crises,Global,SSP5,2099,No CC,%,248,NA,NA,NA,NA,NA,829,Upper bound
2,Public Debt to GDP ratio,Global,SSP5,2099,No CC,Factor,2,NA,NA,NA,NA,NA,829,Estimate based on rescuing insolvent banks
3,Fiscal Burden,Global,SSP5,2099,No CC,% of GDP per year,5,NA,NA,NA,NA,NA,829,"Lower bound, rescuing insolvent banks"
4,Fiscal Burden,Global,SSP5,2099,No CC,% of GDP per year,15,NA,NA,NA,NA,NA,829,"Upper bound, rescuing insolvent banks"
5,GDP growth,NA,NA,2100,No CC,%,2.4,NA,NA,NA,NA,NA,Page 3,GDP growth reduced from baseline of 3.5% due to climate impacts on labour and capital.
6,Firm insolvency,NA,Labour damages,2100,No CC,%,32.4,0.047,NA,NA,NA,NA,Page 3,Increased likelihood of firm insolvency due to labour productivity damages.
7,Firm insolvency,NA,Capital damages,2100,No CC,%,38.8,0.050,NA,NA,NA,NA,Page 3,Increased likelihood of firm insolvency due to capital stock damages.
8,Firm insolvency,NA,Labour and capital damages,2100,No CC,%,47.1,0.052,NA,NA,NA,NA,Page 3,Increased likelihood of firm insolvency due to combined labour and capital damages.
9,Bank equity ratio,NA,Labour damages,2100,No CC,%,7.5,0.034,NA,NA,NA,NA,Page 3,This ratio declines due to labour productivity damages.
10,Bank equity ratio,NA,Capital damages,2100,No CC,%,9.6,0.029,NA,NA,NA,NA,Page 3,This ratio declines due to capital stock damages.
11,Bank equity ratio,NA,Labour and capital damages,2100,No CC,%,5.3,0.041,NA,NA,NA,NA,Page 3,This ratio declines due to combined labour and capital damages.
12,Public bailouts,NA,Labour damages,2100,No CC,Number,14.2,2.15,NA,NA,NA,NA,Page 3,Increased frequency of public bailouts due to labour productivity damages.
13,Public bailouts,NA,Capital damages,2100,No CC,Number,11.5,3.02,NA,NA,NA,NA,Page 3,Increased frequency of public bailouts due to capital stock damages.
14,Public bailouts,NA,Labour and capital damages,2100,No CC,Number,22.6,3.96,NA,NA,NA,NA,Page 3,Increased frequency of public bailouts due to combined labour and capital damages.
15,Bailout cost,NA,Labour damages,2100,No CC,% GDP,15.7,0.027,NA,NA,NA,NA,Page 3,Increased cost due to labour productivity damages.
16,Bailout cost,NA,Capital damages,2100,No CC,% GDP,14.6,0.029,NA,NA,NA,NA,Page 3,Increased cost due to capital stock damages.
17,Bailout cost,NA,Labour and capital damages,2100,No CC,% GDP,25.0,0.031,NA,NA,NA,NA,Page 3,Increased cost due to combined labour and capital damages.
18,Debt-to-GDP ratio,NA,Labour damages,2100,No CC,Ratio,1.55,0.09,NA,NA,NA,NA,Page 3,Increased debt-to-GDP ratio due to labour productivity damages.
19,Debt-to-GDP ratio,NA,Capital damages,2100,No CC,Ratio,1.38,0.07,NA,NA,NA,NA,Page 3,Increased debt-to-GDP ratio due to capital stock damages.
20,Debt-to-GDP ratio,NA,Labour and capital damages,2100,No CC,Ratio,1.77,0.011,NA,NA,NA,NA,Page 3,Increased debt-to-GDP ratio due to combined labour and capital damages.
21,Bailout Costs,Not specified,SSP5,2070,No CC,% of GDP,30,NA,NA,NA,NA,NA,831,Yearly average in an SSP5 future
22,Bailout Costs,Not specified,SSP5,2070,No CC,% of GDP,10.3,NA,NA,NA,NA,NA,831,Yearly average in an SSP5 future
23,Financial Crises,Global,SSP5,2070,Historical Average,Crises per year,3.5,NA,NA,NA,NA,NA,831,Historical average at the global level
24,Fiscal Costs,Affected country,SSP5,2070,Historical Average,% of GDP,12,NA,NA,NA,NA,NA,831,Historical average at the global level
25,Public Debt,Not specified,Labour/Capital,2100,No CC,Ratio,8,NA,10%,NA,90%,NA,Fig 1c,debt-to-GDP
26,Public Debt,Not specified,Labour/Capital,2100,No CC,Ratio,12,NA,90%,NA,10%,NA,Fig 1c,debt-to-GDP
27,Yearly GDP growth,Not specified,No climate change,2024,No CC,%,2.0,NA,NA,NA,NA,NA,Page 5,Kernel densities of yearly growth rates of global GDP pooled per 25 yr period. Averaged between 2000 and 2024.
28,Yearly GDP growth,Not specified,No climate change,2049,No CC,%,1.5,NA,NA,NA,NA,NA,Page 5,Kernel densities of yearly growth rates of global GDP pooled per 25 yr period. Averaged between 2025 and 2049.
29,Yearly GDP growth,Not specified,No climate change,2074,No CC,%,2,NA,NA,NA,NA,NA,Page 5,Kernel densities of yearly growth rates of global GDP pooled per 25 yr period. Averaged between 2050 and 2074.
30,Yearly GDP growth,Not specified,No climate change,2099,No CC,%,1,NA,NA,NA,NA,NA,Page 5,Kernel densities of yearly growth rates of global GDP pooled per 25 yr period. Averaged between 2075 and 2099.
31,Yearly GDP growth,Not specified,Labour and capital damages,2024,No CC,%,2.0,NA,NA,NA,NA,NA,Page 5,Kernel densities of yearly growth rates of global GDP pooled per 25 yr period. Averaged between 2000 and 2024.
32,Yearly GDP growth,Not specified,Labour and capital damages,2049,No CC,%,1.5,NA,NA,NA,NA,NA,Page 5,Kernel densities of yearly growth rates of global GDP pooled per 25 yr period. Averaged between 2025 and 2049.
33,Yearly GDP growth,Not specified,Labour and capital damages,2074,No CC,%,2,NA,NA,NA,NA,NA,Page 5,Kernel densities of yearly growth rates of global GDP pooled per 25 yr period. Averaged between 2050 and 2074.
34,Yearly GDP growth,Not specified,Labour and capital damages,2099,No CC,%,1,NA,NA,NA,NA,NA,Page 5,Kernel densities of yearly growth rates of global GDP pooled per 25 yr period. Averaged between 2075 and 2099.
