,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Flooding,Buck Island,Moderate,2100,Reef erosion,m,0.5,NA,NA,NA,NA,NA,1,Sea-level rise expected
1,Reef Accretion,BIRNM,NA,2016,NA,mm/year,-1.56,0.27,NA,NA,NA,NA,Page 2,Negative value: decrease in reef accretion potential.
2,Reef Accretion,BIRNM South,NA,2016,NA,mm/year,0.10,1.20,NA,NA,NA,NA,Page 2,Slightly positive reef accretion on south crest.
3,Elevation Change,BIRNM South,Projected,2100,NA,cm,1,10,NA,NA,NA,NA,Page 2,Negligible elevation change.
4,Elevation Decrease,BIRNM,Projected,2100,NA,cm,-13.09,0.02,NA,NA,NA,NA,Page 2,Bioerosion driven elevation decrease.
5,Reef Accretion,BIRNM,Reduced Mortality,2100,2016 baseline,mm/year,7.38,0.60,NA,NA,NA,NA,Page 3,>30% increase in coral cover.
6,Reef Accretion,BIRNM,Reduced Mortality,2050,2016 baseline,m,0.25,0.02,NA,NA,NA,NA,Page 3,Vertical accretion by 2050.
7,Reef Accretion,BIRNM,Reduced Mortality,2100,2016 baseline,m,0.62,0.05,NA,NA,NA,NA,Page 3,Vertical accretion by 2100.
8,Coral Cover,BIRNM,Less Restoration,2100,2016 baseline,%,10,NA,NA,NA,NA,NA,Page 3,<10% under most modeled scenarios.
9,Total Water Level,Buck Island,Int-High SLR,2100,No restoration,m,-0.81,0.03,NA,NA,NA,NA,Page 4,Restoration could reduce total water levels under intermediate-to-high sea-level rise scenarios by up to 0.81 m on average.
10,Wave-Driven Levels,Buck Island,Low SLR,2100,No restoration,m,0.0,NA,NA,NA,NA,NA,Page 4,"Successful coral restoration could negate wave-driven component for low-end sea-level rise scenarios, maintaining balance with sea-level rise of 0.2-0.5 m by 2100."
11,Reef Accretion,BIRNM,SSP1-2.6 or SSP2-4.5,2100,No CC,mm per year,5,NA,NA,NA,NA,NA,7,The reef crest at BIRNM could exceed 5 mm per year in reef accretion under a scenario where A. palmata cover is increased by ~30%.
12,Water Level,BIRNM,SSP1-2.6 or SSP2-4.5,2100,No Restoration,m,-0.81,NA,NA,NA,NA,NA,7,"Under significant and successful restoration resulting in a +30% A. palmata cover, total water levels during storms could be reduced by >10% (0.81 m)."
13,Sea-Level Rise,BIRNM,SSP1-2.6 or SSP2-4.5,2100,2023,m,0.5,NA,NA,NA,NA,NA,7,The reef could keep pace with a sea-level rise of ~0.5 m if successful restoration is achieved.
