,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Climate disaster,Unspecified,Main calibration,2271,No CC,%,7,NA,NA,NA,NA,NA,3,Probability of a climate disaster (defined as a drop in aggregate consumption by more than one third relative to trend) arising over the next 250 years.
1,Climate disaster,Unspecified,Main calibration,2521,No CC,%,9,NA,NA,NA,NA,NA,3,Probability of a climate disaster (defined as a drop in aggregate consumption by more than one third relative to trend) arising over the next 500 years.
2,Welfare (Future Generations),Unspecified,Carbon-risk tax,2021,No policy,percent,4,NA,NA,NA,NA,NA,5,Maximum increase in expected utilities.
3,Climate Disaster Probability,Unspecified,Carbon-risk tax,2021,No policy,percent,-8,NA,NA,NA,NA,NA,5,Reduction in probability of crossing a calamitous climate tipping point (from 9% to 1%).
4,Welfare,NA,Energy & Climate,2121,Policy-free utility,percent,0.1,NA,NA,NA,NA,NA,8,Initial generations
5,Welfare,NA,Energy & Climate,2171,Policy-free utility,percent,4,NA,NA,NA,NA,NA,8,Generations born in 150 years
6,Welfare,NA,Energy & Climate,2221,Policy-free utility,percent,5,NA,NA,NA,NA,NA,8,Generations born in 200 years
7,Welfare,NA,Energy & Climate,2521,Policy-free utility,percent,3,NA,NA,NA,NA,NA,8, 
8,Climate disaster probability,Global,All Shocks,2100,Baseline,Percentage,9,NA,NA,NA,NA,NA,Page 9,The probability of climate disasters increases to almost 9% when all types of uncertainty are considered.
9,Climate disaster probability,Global,Fixed Carbon Tax,2100,All Shocks,Percentage,-6,NA,NA,NA,NA,NA,Page 9,Fixed carbon-risk taxes reduce the probability of climate disasters to around 3% from almost 9%.
10,Climate disaster probability,Global,CO2-dep Tax,2100,All Shocks,Percentage,-7.5,NA,NA,NA,NA,NA,Page 9,CO2-dependent taxes can reduce the probability of climate disasters to below 1.5%.
11,Temperature,,Deterministic benchmark,2144,No CC,degrees,2.8,NA,NA,NA,NA,NA,p. 17,Maximum excess temperature
12,Damages,,Deterministic benchmark,2144,No CC,percent of final output,-2.5,NA,NA,NA,NA,NA,p. 17,Maximum damages
13,Average return to capital,,Deterministic benchmark,2024,No CC,percent per year,3,NA,NA,NA,NA,NA,p. 17,
14,Welfare,,Deterministic benchmark,2024,No CC,percent,0.1,NA,NA,NA,NA,NA,p. 17,Optimal uniform carbon tax of roughly 10%
15,Carbon Tax,,Deterministic benchmark,2024,No CC,percent,10,NA,NA,NA,NA,NA,p. 17,Optimal uniform carbon tax
16,Carbon Tax,,Deterministic benchmark,2024,No CC,percent,5,NA,NA,NA,NA,NA,p. 17,Optimal tax when Pareto policy restricted
17,Welfare,,Deterministic benchmark,2124,Initial generations,Utility,0,NA,NA,NA,NA,NA,p. 17,Optimal tax barely increases the expected utility of all future generations born after 100 years.
18,GDP,Unspecified,Deterministic,2171,No CC,%,-10,NA,NA,NA,NA,NA,18,Damages due to temperature increase of 4.5 degrees.
19,GDP,Unspecified,Deterministic,2271,No CC,%,-18,NA,NA,NA,NA,NA,18,Damages due to temperature increase of 4.5 degrees.
20,Welfare,Unspecified,Deterministic,2121,Current Generations,%,-6.5,NA,NA,NA,NA,NA,18,Welfare loss for generations born in 150 years relative to current generations.
21,Welfare,Unspecified,Deterministic,2271,Current Generations,%,3.5,NA,NA,NA,NA,NA,18,Welfare gains for future generations born after 250 years due to a 15% carbon tax.
22,GDP,Unspecified,"Stochastic OLG, DSGE",2221,No CC,%,-30,NA,NA,NA,NA,NA,20,Worst-case scenario
23,Consumption,Unspecified,Energy usage shocks,2221,No CC,%,1.5,NA,NA,NA,NA,NA,21,Generations born 200 years into the future.
24,Consumption,Unspecified,Energy usage shocks,2041,No CC,%,0.1,NA,NA,NA,NA,NA,21,"Current generations, as well as generations in the near future, gain about 0.1 to 0.5 percent."
25,Consumption,Unspecified,Energy usage shocks,2041,No CC,%,0.5,NA,NA,NA,NA,NA,21,"Current generations, as well as generations in the near future, gain about 0.1 to 0.5 percent."
