,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Damages (Global),Global,High damage,2100,No CC,%,-14,NA,NA,NA,NA,NA,2,Drop in global output.,"
"
1,Damages (Global),Global,High damage + UWI,2100,No CC,%,-9,NA,NA,NA,NA,NA,2,Drop in global output.,"
"
2,GDP,India,High damage,2100,No CC,%,-38.5,NA,NA,NA,NA,NA,2,Percentage decline in end-of-century output.,"
"
3,GDP,India,High damage + UWI,2100,No CC,%,-26.2,NA,NA,NA,NA,NA,2,Percentage decline in end-of-century output.,"
"
4,GDP,U.S.,High damage,2100,No CC,%,-13.9,NA,NA,NA,NA,NA,2,Reduction in 2100 GDP.,"
"
5,GDP,U.S.,High damage + UWI,2100,No CC,%,-8.0,NA,NA,NA,NA,NA,2,Reduction in 2100 GDP.,"
"
6,GDP,China,High damage,2100,No CC,%,-13.7,NA,NA,NA,NA,NA,2,Reduction in 2100 GDP.,"
"
7,GDP,China,High damage + UWI,2100,No CC,%,-7.8,NA,NA,NA,NA,NA,2,Reduction in 2100 GDP.,"
"
8,GDP,Canada,High damage,2100,No CC,%,2.5,NA,NA,NA,NA,NA,2,Increase in 2100 GDP.,"
"
9,GDP,Canada,High damage + UWI,2100,No climate change,%,-0.6,NA,NA,NA,NA,NA,2,Reduction in 2100 GDP.,"
"
