,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Health,Increased Air Conditioning Use,United States,MCA,Monetary Cost,AdaptationCost [million USD / yr],Economic,Need,million USD,32500,NA,NA,NA,NA,NA,Page 2,The increase in air-pollution-related health damages due to increased building energy use in response to climate change results in an estimated economic cost of $32.5 billion.
1,Health,Increased Air Conditioning Use,United States,MCA,Monetary Cost,AdaptationCost [million USD / yr],Economic,Need,million USD,6000,NA,NA,NA,NA,NA,Page 2,"Specific to PM2.5-related deaths attributed to adaptive behavior (extra air conditioning use), the economic cost is approximately $6 billion."
2,Health,Air Conditioning,The United States,A2 emissions scenario,Mortality Damages,AdaptationCost,Economic,Need,billion USD,6,NA,NA,NA,NA,NA,Page 3,PM2.5-related deaths; based on value of statistical life
3,Health,Air Conditioning,The United States,A2 emissions scenario,Mortality Damages,AdaptationCost,Economic,Need,billion USD,3,NA,NA,NA,NA,NA,Page 3,O3-related deaths; based on value of statistical life
4,Health,Air conditioning,Eastern US,MCA–MCCO,Premature mortality and costs,AdaptationCost,Economic,Need,billion,6,NA,NA,0,NA,12,Page 16,Costs associated with increased premature mortality due to increased air pollution from increased AC use.
5,Health,Air conditioning,Eastern US,MCCO–PD,Premature mortality and costs,BaselineImpact,Economic,Need,billion,120,NA,NA,12,NA,234,Page 16,Costs associated with premature mortality due to climate change alone.
6,Health,Air conditioning,Eastern US,MCA–PD,Premature mortality and costs,BaselineImpact,Economic,Need,billion,126,NA,NA,12,NA,246,Page 16,Total costs associated with premature mortality from climate and adaptation (air conditioning).
7,Health,Air Conditioning,Eastern US,MCA–MCCO,Economic costs,AdaptationCost,Economic,Need,billion USD,6,NA,NA,NA,NA,NA,pg 17,Average mortality costs due to increased PM2.5 concentrations from building energy use.
8,Health,Air Conditioning,Eastern US,MCA–MCCO,Economic costs,AdaptationCost,Economic,Need,billion USD,3,NA,NA,NA,NA,NA,pg 17,Average mortality costs due to increased Ozone concentrations from building energy use.
9,Health,Air Conditioning,The Eastern United States,MCA-PD,Premature mortality costs,AdaptationCost,Economic,Need,billion USD,32.5,NA,NA,NA,NA,NA,Page 19,Costs related to increased premature mortality from air pollution due to increased AC use.
10,Health,Air Conditioning,The United States,A2 emissions scenario,Mortality Damages,AdaptationCost,Economic,Need,%,5,NA,NA,NA,NA,NA,Discussion,Health burden attributable to adaptation via increased air conditioning. Lower bound of range.
11,Health,Air Conditioning,The United States,A2 emissions scenario,Mortality Damages,AdaptationCost,Economic,Need,%,8,NA,NA,NA,NA,NA,Discussion,Health burden attributable to adaptation via increased air conditioning. Upper bound of range.
