,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Water,Smaller Ships,The Netherlands,KNMI climate,AdaptationCost,AdaptationCost,Monetary,Need,Me,40,NA,NA,NA,NA,NA,Table 4.1,Total costs for the next 100 years
1,Water,Medium Ships,The Netherlands,KNMI climate,AdaptationCost,AdaptationCost,Monetary,Need,Me,40,NA,NA,NA,NA,NA,Table 4.1,Total costs for the next 100 years
2,Water,Small-scale dredging,The Netherlands,KNMI climate,AdaptationCost,AdaptationCost,Monetary,Need,Me/annually,0.015,NA,NA,NA,NA,0.02,Table 4.1,Total costs for the next 100 years
3,Water,Large-scale dredging,The Netherlands,KNMI climate,AdaptationCost,AdaptationCost,Monetary,Need,Me/annually,0.18,NA,NA,NA,NA,0.22,Table 4.1,Total costs for the next 100 years
4,Infrastructure,Modular Plant,NA,NA,CapExCost,CapExCost,Economic,N/A,USD,0,NA,NA,NA,NA,NA,Page 133,Modular plants offer substantial savings of initial capital expenditures compared to single large facility.  Value set to zero because the exact saving is not quantified but is stated to be substantial.
5,All,Adaptive Strategy,Netherlands,KNMI,MonetaryBenefits,MonetaryBenefits,Economic,Need,% of GDP,0,NA,NA,NA,NA,NA,Page 133,"A modular strategy, flexible as to the location and timing of modules, can provide greater expected gains and lower risks than the default single large facility. Value set to zero because the magnitude of expected gains is not quantified, but it is stated to be greater."
6,All,Adaptive Strategy,NA,Declining Supply,Cost vs. Vulnerability,AdaptationCost,Various,Need,billion USD / yr,4.75,NA,NA,NA,NA,5.25,Page 153; Section 7.3.4,Vulnerability and cost trade-offs for the Lower Basin portfolios are illustrated. Evaluation reveals spectrum of outcomes based on the severity of conditions and strategic aggressiveness.
7,Energy,Plant Design,NA,Monte Carlo Simulation,Net Present Value,DiscountedSum(),Monetary,N/A,million $,84.56,NA,NA,NA,NA,NA,Table 11.1,NPV for deterministic analysis (economies of scale factor α = 0.85 and a plant size of 200 tons/day).
8,Energy,Plant Design,NA,Monte Carlo Simulation,Expected Net Present Value,DiscountedSum(),Monetary,N/A,million $,61.18,NA,NA,NA,NA,NA,Table 11.1,ENPV for stochastic analysis (recognizing uncertainty) with economies of scale factor α = 0.85 and a plant size of 200 tons/day.
9,Energy,Plant Design,NA,Deterministic analysis,Net Present Value,DiscountedSum(),Monetary,N/A,million $,1.75,NA,NA,NA,NA,NA,Table 11.1,Economies of scale factor α = 1.0; plant size 50 tons/day.
10,Energy,Plant Design,NA,Stochastic analysis,Expected Net Present Value,DiscountedSum(),Monetary,N/A,million $,0.87,NA,NA,NA,NA,NA,Table 11.1,Economies of scale factor α = 1.0; plant size 25 tons/day.
11,Energy,Plant Design,NA,Deterministic analysis,Net Present Value,DiscountedSum(),Monetary,N/A,million $,21.51,NA,NA,NA,NA,NA,Table 11.1,Economies of scale factor α = 0.95; plant size 100 tons/day.
12,Energy,Plant Design,NA,Stochastic analysis,Expected Net Present Value,DiscountedSum(),Monetary,N/A,million $,14.27,NA,NA,NA,NA,NA,Table 11.1,Economies of scale factor α = 0.95; plant size 75 tons/day.
13,Energy,Plant Design,NA,Deterministic analysis,Net Present Value,DiscountedSum(),Monetary,N/A,million $,51.75,NA,NA,NA,NA,NA,Table 11.1,Economies of scale factor α = 0.90; plant size 175 tons/day.
14,Energy,Plant Design,NA,Stochastic analysis,Expected Net Present Value,DiscountedSum(),Monetary,N/A,million $,37.18,NA,NA,NA,NA,NA,Table 11.1,Economies of scale factor α = 0.90; plant size 125 tons/day.
15,Energy,Plant Design,NA,Deterministic analysis,Net Present Value,DiscountedSum(),Monetary,N/A,million $,84.56,NA,NA,NA,NA,NA,Table 11.1,Economies of scale factor α = 0.85; plant size 200 tons/day.
16,Energy,Plant Design,NA,Stochastic analysis,Expected Net Present Value,DiscountedSum(),Monetary,N/A,million $,61.18,NA,NA,NA,NA,NA,Table 11.1,Economies of scale factor α = 0.85; plant size 175 tons/day.
17,Energy,Flexible Design,NA,NA,Net Present Value,DiscountedSum(),Economic,N/A,million USD,-25,NA,NA,NA,NA,NA,p. 239,Maximum NPV loss with fixed design.
18,Energy,Flexible Design,NA,NA,Net Present Value,DiscountedSum(),Economic,N/A,million USD,-5,NA,NA,NA,NA,NA,p. 239,Maximum NPV loss with flexible design.
19,Energy,Flexible Design,NA,NA,Net Present Value,DiscountedSum(),Economic,N/A,million USD,21,NA,NA,NA,NA,NA,p. 239,Maximum NPV gain with fixed design.
20,Energy,Flexible Design,NA,NA,Net Present Value,DiscountedSum(),Economic,N/A,million USD,38,NA,NA,NA,NA,NA,p. 239,Maximum NPV gain with flexible design.
21,Energy,Flexible Design,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,N/A,million USD,20.69,NA,NA,NA,NA,NA,p. 239,ENPV flexible strategy - timing no location.
22,Energy,Flexible Design,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,N/A,million USD,23.29,NA,NA,NA,NA,NA,p. 239,ENPV flexible strategy - timing and location.
23,Energy,Flexible Design,NA,NA,Net Present Value,DiscountedSum(),Economic,N/A,million USD,38,NA,NA,NA,NA,NA,p. 239,Maximum NPV  flexible strategy - timing no location.
24,Energy,Flexible Design,NA,NA,Net Present Value,DiscountedSum(),Economic,N/A,million USD,60,NA,NA,NA,NA,NA,p. 239,Maximum NPV  flexible strategy - timing and location.
25,Energy,Fixed Design,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,N/A,million USD,14.27,NA,NA,NA,NA,NA,Figure 11.5,ENPV optimum fixed design
26,Energy,Flexible Design with No Move,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,N/A,million USD,20.69,NA,NA,NA,NA,NA,Figure 11.5,ENPV flexible design with no move
27,Energy,Flexible Design with Move,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,N/A,million USD,23.20,NA,NA,NA,NA,NA,Figure 11.5,ENPV flexible design with move
28,NA,Flexible Strategy,NA,NA,Expected NPV,DiscountedSum(),Economic,Lead,Million USD,23.29,NA,10%,3.74,90%,45.78,Page 240,"The text discusses the comparison of fixed and flexible strategies, including their Expected NPV, Value at Risk, and Value at Gain. The results emphasize considering multiple criteria of evaluation for major design decisions."
29,Infrastructure,Flexible Modular Design,NA,NA,Value of Flexibility,MonetaryBenefits,Economic,Lead,million USD,60,NA,NA,NA,NA,NA,Page 241,Value of flexibility ranges up to $60 million when economies of scale are low and learning rates are high.
30,Infrastructure,Flexible Modular Design,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,Lead,million USD,20.69,NA,NA,NA,NA,NA,Figure 11.6,ENPV at 0% Learning Rate
31,Infrastructure,Flexible Modular Design,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,Lead,million USD,28.13,NA,NA,NA,NA,NA,Figure 11.6,ENPV at 5% Learning Rate
32,Infrastructure,Flexible Modular Design,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,Lead,million USD,36.09,NA,NA,NA,NA,NA,Figure 11.6,ENPV at 10% Learning Rate
33,Infrastructure,Flexible Modular Design,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,Lead,million USD,43.92,NA,NA,NA,NA,NA,Figure 11.6,ENPV at 15% Learning Rate
34,Infrastructure,Flexible Modular Design,NA,NA,Expected Net Present Value,DiscountedSum(),Economic,Lead,million USD,50.92,NA,NA,NA,NA,NA,Figure 11.6,ENPV at 20% Learning Rate
35,Infrastructure,Flexibility,NA,NA,Value of Flexibility,MonetaryBenefits,Economic,Need,million USD,35,NA,NA,NA,NA,NA,Figure 11.7,The midpoint of the value of flexibility which ranges from $0 to $70 million
36,All,Any,NA,NA,DiscountedSum,MonetaryBenefits,Economic,N/A,$ Million,14.27,8.78,10%,1.82,90%,20.46,Table 11.3,Fixed Design - Expected Net Present Value with Value at Risk and Value at Gain
37,All,Any,NA,NA,DiscountedSum,MonetaryBenefits,Economic,N/A,$ Million,36.93,18.91,10%,10.82,90%,63.17,Table 11.3,Timing Strategy - Expected Net Present Value with Value at Risk and Value at Gain
38,All,Any,NA,NA,DiscountedSum,MonetaryBenefits,Economic,N/A,$ Million,43.17,25.31,10%,11.06,90%,80.09,Table 11.3,Time + Place Strategy - Expected Net Present Value with Value at Risk and Value at Gain
39,All,Any,NA,NA,DiscountedSum,MonetaryBenefits,Economic,N/A,$ Million,28.80,NA,10%,9.24,90%,59.63,Table 11.3,Value of Flexibility Strategy - Expected Net Present Value with Value at Risk and Value at Gain
40,All,Any,NA,NA,CapExCost,AdaptationCost,Monetary,N/A,$ Million,60.44,NA,NA,NA,NA,NA,Table 11.3,Initial Capex - Fixed Design
41,All,Any,NA,NA,CapExCost,AdaptationCost,Monetary,N/A,$ Million,27.50,NA,NA,NA,NA,NA,Table 11.3,Initial Capex - Timing Strategy
42,All,Any,NA,NA,CapExCost,AdaptationCost,Monetary,N/A,$ Million,27.50,NA,NA,NA,NA,NA,Table 11.3,Initial Capex - Time + Place Strategy
43,All,Any,NA,NA,CapExCost,AdaptationCost,Monetary,N/A,$ Million,32.94,NA,NA,NA,NA,NA,Table 11.3,Initial Capex - Value of Flexibility Strategy
44,Infrastructure,Structural Designs,The Netherlands,"SLR, Precip Change",Lifecycle Costs,DiscountedSum(AdaptationCost),Economic,Need,Million EUR,0,NA,NA,NA,NA,NA,p.250,"Applies a discount rate of 5.5% but generates results for a range of discount rates for sensitivity analysis. Uses Monte Carlo simulation to evaluate 1000 different versions of the future for each scenario. Value unspecified, only method described."
