,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Livestock production,Global,SSP3-7.0,2050,1981-2010,%,-20,NA,NA,NA,NA,NA,3,This is a reduction in animal output.
1,Livestock production,Global,SSP3-7.0,2100,1981-2010,%,-40,NA,NA,NA,NA,NA,3,This is a reduction in animal output.
2,Average temperature,World,Historical data,1961,NA,oC,19.97,8.03,NA,NA,NA,NA,6,Average temperature
3,Average temperature,East Asia & Pacific,Historical data,1961,NA,oC,19.04,8.64,NA,NA,NA,NA,6,Average temperature
4,Average temperature,Europe & Central Asia,Historical data,1961,NA,oC,8.27,3.89,NA,NA,NA,NA,6,Average temperature
5,Average temperature,Latin America & Caribbean,Historical data,1961,NA,oC,22.36,4.48,NA,NA,NA,NA,6,Average temperature
6,Average temperature,Middle East & North Africa,Historical data,1961,NA,oC,20.73,4.82,NA,NA,NA,NA,6,Average temperature
7,Average temperature,North America,Historical data,1961,NA,oC,3.45,8.52,NA,NA,NA,NA,6,Average temperature
8,Average temperature,South Asia,Historical data,1961,NA,oC,21.74,4.68,NA,NA,NA,NA,6,Average temperature
9,Average temperature,Sub-Saharan Africa,Historical data,1961,NA,oC,24.37,3.56,NA,NA,NA,NA,6,Average temperature
10,Total precipitation,World,Historical data,1961,NA,mm,9.14,6.18,NA,NA,NA,NA,6,Total precipitation
11,Total precipitation,East Asia & Pacific,Historical data,1961,NA,mm,13.40,6.75,NA,NA,NA,NA,6,Total precipitation
12,Total precipitation,Europe & Central Asia,Historical data,1961,NA,mm,6.20,2.26,NA,NA,NA,NA,6,Total precipitation
13,Total precipitation,Latin America & Caribbean,Historical data,1961,NA,mm,13.29,4.96,NA,NA,NA,NA,6,Total precipitation
14,Total precipitation,Middle East & North Africa,Historical data,1961,NA,mm,2.53,1.72,NA,NA,NA,NA,6,Total precipitation
15,Total precipitation,North America,Historical data,1961,NA,mm,4.66,1.78,NA,NA,NA,NA,6,Total precipitation
16,Total precipitation,South Asia,Historical data,1961,NA,mm,14.41,10.50,NA,NA,NA,NA,6,Total precipitation
17,Total precipitation,Sub-Saharan Africa,Historical data,1961,NA,mm,8.99,4.88,NA,NA,NA,NA,6,Total precipitation
18,Log animal production,World,Historical data,1961,NA,tonnes,10.80,2.19,NA,NA,NA,NA,6,Log animal production
19,Log animal production,East Asia & Pacific,Historical data,1961,NA,tonnes,11.12,2.12,NA,NA,NA,NA,6,Log animal production
20,Log animal production,Europe & Central Asia,Historical data,1961,NA,tonnes,11.79,1.58,NA,NA,NA,NA,6,Log animal production
21,Log animal production,Latin America & Caribbean,Historical data,1961,NA,tonnes,10.81,2.56,NA,NA,NA,NA,6,Log animal production
22,Log animal production,Middle East & North Africa,Historical data,1961,NA,tonnes,9.82,1.95,NA,NA,NA,NA,6,Log animal production
23,Log animal production,North America,Historical data,1961,NA,tonnes,15.01,1.19,NA,NA,NA,NA,6,Log animal production
24,Log animal production,South Asia,Historical data,1961,NA,tonnes,11.64,1.84,NA,NA,NA,NA,6,Log animal production
25,Log animal production,Sub-Saharan Africa,Historical data,1961,NA,tonnes,9.97,1.88,NA,NA,NA,NA,6,Log animal production
26,Average temperature,World,SSP3-7.0,2050,1981–2010,oC,2.21,0.42,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
27,Average temperature,East Asia & Pacific,SSP3-7.0,2050,1981–2010,oC,1.99,0.42,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
28,Average temperature,Europe & Central Asia,SSP3-7.0,2050,1981–2010,oC,2.35,0.47,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
29,Average temperature,Latin America & Caribbean,SSP3-7.0,2050,1981–2010,oC,2.09,0.40,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
30,Average temperature,Middle East & North Africa,SSP3-7.0,2050,1981–2010,oC,2.47,0.23,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
31,Average temperature,North America,SSP3-7.0,2050,1981–2010,oC,3.00,0.25,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
32,Average temperature,South Asia,SSP3-7.0,2050,1981–2010,oC,1.70,0.39,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
33,Average temperature,Sub-Saharan Africa,SSP3-7.0,2050,1981–2010,oC,2.14,0.29,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
34,Total precipitation,World,SSP3-7.0,2050,1981–2010,%,0.06,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
35,Total precipitation,East Asia & Pacific,SSP3-7.0,2050,1981–2010,%,-0.01,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
36,Total precipitation,Europe & Central Asia,SSP3-7.0,2050,1981–2010,%,0.71,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
37,Total precipitation,Latin America & Caribbean,SSP3-7.0,2050,1981–2010,%,-0.17,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
38,Total precipitation,Middle East & North Africa,SSP3-7.0,2050,1981–2010,%,0.03,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
39,Total precipitation,North America,SSP3-7.0,2050,1981–2010,%,0.14,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
40,Total precipitation,South Asia,SSP3-7.0,2050,1981–2010,%,0.18,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
41,Total precipitation,Sub-Saharan Africa,SSP3-7.0,2050,1981–2010,%,0.21,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
42,Log animal production,World,SSP3-7.0,2050,1981–2010,%,-1.01,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
43,Log animal production,East Asia & Pacific,SSP3-7.0,2050,1981–2010,%,-0.44,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
44,Log animal production,Europe & Central Asia,SSP3-7.0,2050,1981–2010,%,-0.09,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
45,Log animal production,Latin America & Caribbean,SSP3-7.0,2050,1981–2010,%,-1.01,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
46,Log animal production,Middle East & North Africa,SSP3-7.0,2050,1981–2010,%,-0.16,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
47,Log animal production,North America,SSP3-7.0,2050,1981–2010,%,0.12,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
48,Log animal production,South Asia,SSP3-7.0,2050,1981–2010,%,-0.57,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
49,Log animal production,Sub-Saharan Africa,SSP3-7.0,2050,1981–2010,%,-0.27,NA,NA,NA,NA,NA,6,Predicted medium-term error-corrected climate change (2041–2060)
50,Average temperature,World,SSP3-7.0,2080,1981–2010,oC,4.44,0.77,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
51,Average temperature,East Asia & Pacific,SSP3-7.0,2080,1981–2010,oC,3.97,0.87,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
52,Average temperature,Europe & Central Asia,SSP3-7.0,2080,1981–2010,oC,4.98,0.57,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
53,Average temperature,Latin America & Caribbean,SSP3-7.0,2080,1981–2010,oC,4.17,0.75,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
54,Average temperature,Middle East & North Africa,SSP3-7.0,2080,1981–2010,oC,4.85,0.34,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
55,Average temperature,North America,SSP3-7.0,2080,1981–2010,oC,6.00,0.98,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
56,Average temperature,South Asia,SSP3-7.0,2080,1981–2010,oC,3.68,0.59,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
57,Average temperature,Sub-Saharan Africa,SSP3-7.0,2080,1981–2010,oC,4.12,0.53,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
58,Total precipitation,World,SSP3-7.0,2080,1981–2010,%,0.02,NA,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
59,Total precipitation,East Asia & Pacific,SSP3-7.0,2080,1981–2010,%,-0.06,NA,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
60,Total precipitation,Europe & Central Asia,SSP3-7.0,2080,1981–2010,%,0.04,NA,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
61,Total precipitation,Latin America & Caribbean,SSP3-7.0,2080,1981–2010,%,-0.76,NA,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
62,Total precipitation,Middle East & North Africa,SSP3-7.0,2080,1981–2010,%,0.07,NA,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
63,Total precipitation,North America,SSP3-7.0,2080,1981–2010,%,0.27,NA,NA,NA,NA,NA,6,Predicted long-term error-corrected climate change (2061–2100)
