,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Total Factor Productivity,Global,NA,2013,1969,% per annum,0.44,NA,NA,NA,NA,NA,3,Observed growth rate
1,Total Factor Productivity,Global,Observed,2013,No CC,%/year,-0.139,NA,NA,NA,NA,NA,Page 11,"Impact of Rainfall variability. From Table 4, Marginal Effects. Evaluated at the end of the time period."
2,Total Factor Productivity,Global,Observed,2013,No CC,%/year,-0.056,NA,NA,NA,NA,NA,Page 11,"Impact of Long-Term Temperature (LTT). From Table 4, Marginal Effects. Evaluated at the end of the time period."
3,Total Factor Productivity,Global,Observed,2013,No CC,%/year,-0.021,NA,NA,NA,NA,NA,Page 11,"Impact of Temperature variability. From Table 4, Marginal Effects. Evaluated at the end of the time period."
4,Total Factor Productivity,Global,Counterfactual Model 1,2033,2013,index,0.062,NA,NA,NA,NA,NA,p. 13,Model 1: changing at the same rate as observed from 1969 to 2013
5,Total Factor Productivity,Global,Model 2,2033,2013,index,0.0575,NA,NA,NA,NA,NA,p. 13,Model 2: 1% additional change in annual rainfall and temperature variabilities on top of the counterfactual model
6,Total Factor Productivity,Global,Model 3,2033,2013,index,0.0619,NA,NA,NA,NA,NA,p. 13,"Model 3: 0.1% additional change in LTP and LTT annually, on top of the counterfactual model"
7,Total Factor Productivity,Global,Model 4,2033,2013,index,0.0574,NA,NA,NA,NA,NA,p. 13,"Model 4: combined changes in Models 2 and 3, on top of the counterfactual model"
8,Total Factor Productivity,Global,Model 2,2033,Counterfactual Model 1,percent,-0.431,NA,NA,NA,NA,NA,p. 13,Mean difference with the counterfactual model (%)
9,Total Factor Productivity,Global,Model 3,2033,Counterfactual Model 1,percent,-0.009,NA,NA,NA,NA,NA,p. 13,Mean difference with the counterfactual model (%)
10,Total Factor Productivity,Global,Model 4,2033,Counterfactual Model 1,percent,-0.440,NA,NA,NA,NA,NA,p. 13,Mean difference with the counterfactual model (%)
11,TFP,Global,Unspecified,2033,Past growth patterns,%,0,NA,NA,NA,NA,NA,14,Climate variability is projected to reduce future TFP; Value represents direction only.
