,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Water productivity,Eastern Nebraska,Observed,2010,Rainfed maize-soybean rotation,%,18.4,NA,NA,NA,NA,NA,Page 3,WP was 18.4% higher in irrigated maize in rotation relative to the rainfed site. Averaging the period.
1,Yield,Eastern Nebraska,Observed,2010,Rainfed maize,unitless,0.79,NA,NA,NA,NA,NA,Page 3,Correlation (R) between water input and yield in rainfed maize. Averaging the period.
2,Yield,Eastern Nebraska,Observed,2010,Rainfed maize,unitless,-0.72,NA,NA,NA,NA,NA,Page 3,Correlation (R) between vapor pressure deficit and yield in rainfed maize. Averaging the period.
3,Water productivity,Eastern Nebraska,Observed,2010,Rainfed maize,unitless,-0.7,NA,NA,NA,NA,NA,Page 3,Correlation (R) between vapor pressure deficit and water productivity in rainfed maize. Averaging the period.
4,Yield,Eastern Nebraska,Observed,2010,Irrigated soybean,unitless,0.77,NA,NA,NA,NA,NA,Page 3,Correlation (R) between soil water content and yield in irrigated soybean. Averaging the period.
5,Yield,Eastern Nebraska,Observed,2010,Rainfed soybean,unitless,0.49,NA,NA,NA,NA,NA,Page 3,Correlation (R) between soil water content and yield in rainfed soybean. Averaging the period.
6,Yield,Eastern Nebraska,Historical,2020,No CC,kg m-2,1.11,NA,NA,NA,NA,NA,Page 7,Irrigated continuous maize had a yield of 1.11 kg m-2.
7,Yield,Eastern Nebraska,Historical,2020,No CC,kg m-2,1.17,NA,NA,NA,NA,NA,Page 7,Irrigated maize in rotation had a yield of 1.17 kg m-2.
8,Yield,Eastern Nebraska,Historical,2020,No CC,kg m-2,0.85,NA,NA,NA,NA,NA,Page 7,Rainfed maize in rotation had a yield of 0.85 kg m-2.
9,Evapotranspiration,Eastern Nebraska,Historical,2020,No CC,mm,534,NA,NA,NA,NA,NA,Page 7,Irrigated continuous maize had an evapotranspiration of 534 mm.
10,Evapotranspiration,Eastern Nebraska,Historical,2020,No CC,mm,527,NA,NA,NA,NA,NA,Page 7,Irrigated rotation had an evapotranspiration of 527 mm.
11,Evapotranspiration,Eastern Nebraska,Historical,2020,No CC,mm,465,NA,NA,NA,NA,NA,Page 7,Rainfed rotation had an evapotranspiration of 465 mm.
12,Water Productivity,Eastern Nebraska,Historical,2020,No CC,kg m-3,2.23,NA,NA,NA,NA,NA,Page 7,Irrigated maize in rotation had a water productivity of 2.23 kg m-3.
13,Water Productivity,Eastern Nebraska,Historical,2020,No CC,kg m-3,2.08,NA,NA,NA,NA,NA,Page 7,Irrigated continuous maize had a water productivity of 2.08 kg m-3.
14,Water Productivity,Eastern Nebraska,Historical,2020,No CC,kg m-3,1.82,NA,NA,NA,NA,NA,Page 7,Rainfed maize in rotation had a water productivity of 1.82 kg m-3.
15,Yield,Eastern Nebraska,Historical,2020,No CC,kg m-2,0.38,NA,NA,NA,NA,NA,Page 7,Irrigated soybean in rotation had a yield of 0.38 kg m-2.
16,Yield,Eastern Nebraska,Historical,2020,No CC,kg m-2,0.33,NA,NA,NA,NA,NA,Page 7,Rainfed soybean in rotation had a yield of 0.33 kg m-2.
17,Evapotranspiration,Eastern Nebraska,Historical,2020,No CC,mm,470,NA,NA,NA,NA,NA,Page 7,Irrigated soybean had an evapotranspiration of 470 mm.
18,Evapotranspiration,Eastern Nebraska,Historical,2020,No CC,mm,446,NA,NA,NA,NA,NA,Page 7,Rainfed soybean had an evapotranspiration of 446 mm.
19,Water Productivity,Eastern Nebraska,Historical,2020,No CC,kg m-3,0.81,NA,NA,NA,NA,NA,Page 7,Irrigated soybean in rotation had a water productivity of 0.81 kg m-3.
20,Water Productivity,Eastern Nebraska,Historical,2020,No CC,kg m-3,0.75,NA,NA,NA,NA,NA,Page 7,Rainfed soybean in rotation had a water productivity of 0.75 kg m-3.
21,Yield,Eastern Nebraska,Historical,2020,Irrigated maize cont.,kg m-2,-0.26,0.12,NA,NA,NA,NA,8,Difference between rainfed and irrigated continuous maize yield (0.85 - 1.11)
22,Yield,Eastern Nebraska,Historical,2020,Irrigated maize rot.,kg m-2,-0.32,0.12,NA,NA,NA,NA,8,Difference between rainfed maize and irrigated maize soybean rotation yield (0.85 - 1.17)
23,Evapotranspiration,Eastern Nebraska,Historical,2020,Irrigated maize cont.,mm,-69,20,NA,NA,NA,NA,8,Difference between rainfed and irrigated continuous maize ET (465 - 534)
24,Evapotranspiration,Eastern Nebraska,Historical,2020,Irrigated maize rot.,mm,-62,20,NA,NA,NA,NA,8,Difference between rainfed maize and irrigated maize soybean rotation ET (465 - 527)
25,Water Productivity,Eastern Nebraska,Historical,2020,Irrigated maize cont.,kg m-3,-0.26,0.24,NA,NA,NA,NA,8,Difference between rainfed and irrigated continuous maize WP (1.82 - 2.08)
26,Water Productivity,Eastern Nebraska,Historical,2020,Irrigated maize rot.,kg m-3,-0.41,0.24,NA,NA,NA,NA,8,Difference between rainfed maize and irrigated maize soybean rotation WP (1.82 - 2.23)
27,Yield,Eastern Nebraska,Historical,2020,Irrigated soybean,kg m-2,-0.05,0.04,NA,NA,NA,NA,8,Difference between rainfed and irrigated soybean yield (0.33 - 0.38)
28,Evapotranspiration,Eastern Nebraska,Historical,2020,Irrigated soybean,mm,-24,34,NA,NA,NA,NA,8,Difference between rainfed and irrigated soybean ET (446 - 470)
29,Water Productivity,Eastern Nebraska,Historical,2020,Irrigated soybean,kg m-3,-0.06,0.09,NA,NA,NA,NA,8,Difference between rainfed and irrigated soybean WP (0.75 - 0.81)
30,Water Productivity,Western US Corn Belt,Historical,2020,Rainfed Site,Correlation Coefficient,0.67,NA,NA,NA,NA,NA,Page 10,Correlation with Water Input (WI) in rainfed maize
31,Yield,Western US Corn Belt,Historical,2020,Rainfed Site,Correlation Coefficient,0.79,NA,NA,NA,NA,NA,Page 10,Correlation with Water Input (WI) in rainfed maize
