,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Gross Domestic Product (GDP),Germany,Myopic expectations model,2020,No CC,%,-0.14,NA,NA,NA,NA,NA,Page 2,The value represents a decline in GDP during a simulated water scarcity event. The year 2020 is used since that is the year of the SAM.,"In the myopic expectations model, firms are not prepared for water scarcity and do not take any preventive measures. This leads to a decrease of 0.14% in GDP and a 0.17% decline in employment"
1,Employment,Germany,Myopic expectations model,2020,No CC,%,-0.17,NA,NA,NA,NA,NA,Page 2,The value represents a decline in employment during a simulated water scarcity event. The year 2020 is used since that is the year of the SAM.,"In the myopic expectations model, firms are not prepared for water scarcity and do not take any preventive measures. This leads to a decrease of 0.14% in GDP and a 0.17% decline in employment"
2,GDP,Germany,Scenario 1,2040,Base Year,%,-0.38,NA,NA,NA,NA,NA,Page 3,Impact of water scarcity assuming myopic behavior across temporal periods.,"
""In Scenario 1, a 0.38% fall in GDP, a 0.37% fall in employment, a 0.45% fall in investment, and a 0.6% reduction in water use are observed; in Scenario 2, a 0.89% fall in GDP, a 0.86% fall in employment, a 1.04% fall in investment, and a 1.39% reduction in water use are noted...""
"
3,Investement,Germany,Scenario 1,2040,Base Year,%,-0.45,NA,NA,NA,NA,NA,Page 3,Impact of water scarcity assuming myopic behavior across temporal periods.,"
""In Scenario 1, a 0.38% fall in GDP, a 0.37% fall in employment, a 0.45% fall in investment, and a 0.6% reduction in water use are observed; in Scenario 2, a 0.89% fall in GDP, a 0.86% fall in employment, a 1.04% fall in investment, and a 1.39% reduction in water use are noted...""
"
4,Employment,Germany,Scenario 1,2040,Base Year,%,-0.37,NA,NA,NA,NA,NA,Page 3,Impact of water scarcity assuming myopic behavior across temporal periods.,"
""In Scenario 1, a 0.38% fall in GDP, a 0.37% fall in employment, a 0.45% fall in investment, and a 0.6% reduction in water use are observed; in Scenario 2, a 0.89% fall in GDP, a 0.86% fall in employment, a 1.04% fall in investment, and a 1.39% reduction in water use are noted...""
"
5,Water use,Germany,Scenario 1,2040,Base Year,%,-0.60,NA,NA,NA,NA,NA,Page 3,Impact of water scarcity assuming myopic behavior across temporal periods.,"
""In Scenario 1, a 0.38% fall in GDP, a 0.37% fall in employment, a 0.45% fall in investment, and a 0.6% reduction in water use are observed; in Scenario 2, a 0.89% fall in GDP, a 0.86% fall in employment, a 1.04% fall in investment, and a 1.39% reduction in water use are noted...""
"
6,GDP,Germany,Scenario 2,2040,Base Year,%,-0.89,NA,NA,NA,NA,NA,Page 3,Impact of more severe water scarcity assuming myopic behavior across temporal periods.,"
""In Scenario 1, a 0.38% fall in GDP, a 0.37% fall in employment, a 0.45% fall in investment, and a 0.6% reduction in water use are observed; in Scenario 2, a 0.89% fall in GDP, a 0.86% fall in employment, a 1.04% fall in investment, and a 1.39% reduction in water use are noted...""
"
7,Investment,Germany,Scenario 2,2040,Base Year,%,-1.04,NA,NA,NA,NA,NA,Page 3,Impact of more severe water scarcity assuming myopic behavior across temporal periods.,"
""In Scenario 1, a 0.38% fall in GDP, a 0.37% fall in employment, a 0.45% fall in investment, and a 0.6% reduction in water use are observed; in Scenario 2, a 0.89% fall in GDP, a 0.86% fall in employment, a 1.04% fall in investment, and a 1.39% reduction in water use are noted...""
"
8,Employment,Germany,Scenario 2,2040,Base Year,%,-0.86,NA,NA,NA,NA,NA,Page 3,Impact of more severe water scarcity assuming myopic behavior across temporal periods.,"
""In Scenario 1, a 0.38% fall in GDP, a 0.37% fall in employment, a 0.45% fall in investment, and a 0.6% reduction in water use are observed; in Scenario 2, a 0.89% fall in GDP, a 0.86% fall in employment, a 1.04% fall in investment, and a 1.39% reduction in water use are noted...""
"
9,Water use,Germany,Scenario 2,2040,Base Year,%,-1.39,NA,NA,NA,NA,NA,Page 3,Impact of more severe water scarcity assuming myopic behavior across temporal periods.,"
""In Scenario 1, a 0.38% fall in GDP, a 0.37% fall in employment, a 0.45% fall in investment, and a 0.6% reduction in water use are observed; in Scenario 2, a 0.89% fall in GDP, a 0.86% fall in employment, a 1.04% fall in investment, and a 1.39% reduction in water use are noted...""
"
