,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,SCC,Global,Middle-of-road,2200,No TCs,US$ / tonne CO2,39,NA,NA,NA,NA,NA,1,Increase from US$ 173 to US$ 212 per tonne of CO2 when accounting for TC impacts. The DAD is estimated over the period 2010–2100. Results apply to GDPpc projections until 2100 and for SCC calculation until 2200.
1,Direct annual economic losses,TC-affected countries,NA,2023,No TCs,US$ billion,51.5,NA,NA,NA,NA,NA,1,Mean direct annual economic losses averaged over the last decade.
2,Number of people affected,TC-affected countries,NA,2023,No TCs,million people annually,20.4,NA,NA,NA,NA,NA,1,Average number of people affected annually
3,Global GDP,Global,RCP6.0-SSP2-Stern,2021,No CC,% of global GDP,0.18,NA,NA,NA,NA,NA,Page 4,The global sum of the DAD (Damage as a Proportion of Income) is calculated.
4,Global GDP,Global,RCP8.5-SSP5-Stern,2021,No CC,% of global GDP,1.13,NA,NA,NA,NA,NA,Page 4,The global sum of the DAD (Damage as a Proportion of Income) is calculated.
5,Social Cost of Carbon,Global,SSP2-RCP6.0,2200,No CC,US$/tCO2,1654,NA,NA,1122,NA,2361,6,Lowest discount rate (Stern)
6,Social Cost of Carbon,USA,RCP8.5,2200,No TCs,US$/tCO2,7,NA,16%,3,84%,26,6,"TC induced increase. Calculated as 20 - 13. 13 (66% CI: 3-26) to 20 (8-35), representing 17.7% of the median global TC-SCC."
7,Social Cost of Carbon,Japan,RCP8.5,2200,No TCs,US$/tCO2,7,NA,16%,5,84%,12,6,"TC induced increase. Calculated as 8 - 1. 1 (0-2) to 8 (5-12), 17.6% of global median TC-SCC"
8,Social Cost of Carbon,Taiwan,RCP8.5,2200,No TCs,US$/tCO2,6,NA,16%,5,84%,12,6,"TC induced increase. Calculated as 8 - 2. 2 (2-3) to 8 (5-12), 14.4% of global median TC-SCC"
9,Social Cost of Carbon,China,RCP8.5,2200,No TCs,US$/tCO2,4,NA,16%,3,84%,16,6,"TC induced increase. Calculated as 47 - 43. 43 (30-64) to 47 (33-70), 11.3% of global median TC-SCC"
10,Social Cost of Carbon,USA,RCP8.5,2200,No TCs,US$/tCO2,6.64,NA,NA,4.34,NA,9.79,6,Country-level TC-SCC
