,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Land Developed,Conterminous U.S. Coastline,Historical,2015,No CC,%,35,NA,NA,NA,NA,NA,7,Land in 6-foot SLR zone developed
1,Structure Increase,Conterminous U.S. Coastline,Historical,2000,1950,%,446,NA,NA,NA,NA,NA,7,
2,Land Developed Increase,Conterminous U.S. Coastline,Historical,2000,1950,%,220,NA,NA,NA,NA,NA,7,
3,Median Year of Construction,Conterminous U.S. Coastline,Historical,1975,No CC,Year,1975,NA,NA,NA,NA,NA,7,Buildings in the 6-foot SLR zone
4,Structure Density,South Atlantic,Historical,2015,Northeast and Pacific,Percent Structures,0.01,NA,NA,NA,NA,NA,12,South Atlantic has the highest percentage of MSA structures in the SLR zone compared to the Northeast and Pacific divisions. Using 0.01 as a placeholder for a small positive number.
5,Structure Density,South Atlantic,Historical,1970,Post-1970,Percent Structures,-0.01,NA,NA,NA,NA,NA,12,"Since about 1970, the percentage of total MSA structures in the SLR has dropped in the South Atlantic because of increasing addition of structures in inland areas. Using -0.01 as a placeholder for a small negative number."
6,Exposure,South Atlantic,Historical,2015,Unaffected Areas,Higher Risk,0.01,NA,NA,NA,NA,NA,12,"Areas at the highest risk of hurricanes, the South Atlantic, have higher exposure across both measures compared to unaffected areas. Using 0.01 as a placeholder for a small positive number."
7,Building Density,Hurricane Affected Areas,Historical,2015,Unaffected Areas,Density Level,0.01,NA,NA,NA,NA,NA,12,Hurricane impacted areas are denser and more developed than unaffected areas. Using 0.01 as a placeholder for a small positive number.
8,Share of Built-up Land,U.S. Coastal MSAs,Historical,2015,Interior Areas of MSAs,percentage points,8,NA,NA,NA,NA,NA,14,MSAs in SLR zone tend to be around 8 percentage points more built up than interior areas.
9,Share of Built-up Land,U.S. Coastal MSAs,Historical,2015,Previous Time Step,percentage points / storm,2.3,NA,NA,NA,NA,NA,14,Every one-unit increase in the accumulation of storms over time is associated with an increase of 2.3 percentage points in share of built-up land.
10,Share of Built-up Land,U.S. Coastal MSAs in SLR zones,Historical,2015,Outside SLR zones,percentage points / storm,0,NA,NA,NA,NA,NA,14,The positive interaction term indicates that the impact of storms on the built-up share of land is largely concentrated in the SLR zones of MSAs. The effect is attenuated to zero outside these zones.
11,Structure Count,U.S. Coastal MSAs,Historical,2015,N/A," ""structures""",-84.43,20.347,NA,NA,NA,NA,14,"This is a negative coefficient, but the text says the within-metropolitan difference estimate is negative but not statistically significant. The sample includes MSAs in coastal areas inside the 6-foot SLR zone with year, Year x CD and MSA fixed effects."
12,Structure Count,U.S. Coastal MSAs,Historical,2015,N/A," ""structures""",-62.86,21.011,NA,NA,NA,NA,14,"Sample includes MSAs in coastal areas inside the 6-foot SLR zone with >0 landfalls, with year, Year x CD and MSA fixed effects."
13,Structure Count,U.S. Coastal MSAs,Historical,2015,N/A," ""structures""",16.68,24.783,NA,NA,NA,NA,14,"Focus is only on MSAs with at least one hurricane landfall in our data; with year, Year x CD and MSA fixed effects."
