,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Cereal consumption,Global,Import dependency constraints,2050,baseline,%,-4,NA,NA,NA,NA,NA,1/18,Consumption change due to import dependency constraint
1,Cereal trade,Global,Import dependency constraints,2050,baseline,%,-50,NA,NA,NA,NA,NA,1/18,Trade change due to import dependency constraint
2,Irrigation water consumption,Global,Import dependency constraints,2050,baseline,%,3,NA,NA,NA,NA,NA,1/18,Irrigation change due to import dependency constraint
3,Corn ethanol production,Global,Import dependency constraints,2050,baseline,%,-7,NA,NA,NA,NA,NA,1/18,Production change due to import dependency constraint
4,Cereal consumption,Global,CC,2050,RF,%,-3.5,NA,NA,NA,NA,NA,6,"CC = Climate Change impacts on crop yields, RF = Reference Future"
5,Land allocated to cereal crops,Global,ID,2050,RF,%,-3.6,NA,NA,NA,NA,NA,6,"ID = Import Dependency constraint, RF = Reference Future"
6,Cereal consumption,Global,IC,2050,RF,%,-7.5,NA,NA,NA,NA,NA,6,"IC = combined trade restriction and climate change impact, RF = Reference Future; additive effect of import constraint and climate change"
7,Cereal Imports,Global,ID,2050,RF,Mt,-25,NA,NA,NA,NA,NA,Page 7,Value is approximate based on Figure 2a
8,Cereal Imports,Global,CC,2050,RF,Mt,-10,NA,NA,NA,NA,NA,Page 7,Value is approximate based on Figure 2a
9,Cereal Imports,Global,IC,2050,RF,Mt,-30,NA,NA,NA,NA,NA,Page 7,Value is approximate based on Figure 2a
10,Cereal Consumption,Global,ID,2050,RF,Mt,-200,NA,NA,NA,NA,NA,Page 7,Value is approximate based on Figure 2b
11,Cereal Consumption,Global,CC,2050,RF,Mt,-50,NA,NA,NA,NA,NA,Page 7,Value is approximate based on Figure 2b
12,Cereal Consumption,Global,IC,2050,RF,Mt,-225,NA,NA,NA,NA,NA,Page 7,Value is approximate based on Figure 2b
13,Land Allocation,Global,ID,2050,RF,thousand km²,-200,NA,NA,NA,NA,NA,Page 7,Value is approximate based on Figure 2c
14,Land Allocation,Global,CC,2050,RF,thousand km²,50,NA,NA,NA,NA,NA,Page 7,Value is approximate based on Figure 2c
15,Land Allocation,Global,IC,2050,RF,thousand km²,-150,NA,NA,NA,NA,NA,Page 7,Value is approximate based on Figure 2c
16,Cereal consumption,Australia_NZ,ID,2050,RF,% change,-50,NA,NA,NA,NA,NA,Page 8,Changes in domestic cereal production are approximately -50% in 2050 under the import dependency (ID) scenario relative to the Reference Future (RF).
17,Cereal consumption,USA,ID,2050,RF,% change,9,NA,NA,NA,NA,NA,Page 8,Changes in domestic cereal consumption are approximately +9% in 2050 under the import dependency (ID) scenario relative to the Reference Future (RF).
18,Cereal production,USA,CC,2050,RF,% change,-10.6,NA,NA,NA,NA,NA,Page 8,Change in cereal production is -10.6% in 2050 under the climate change (CC) scenario relative to the Reference Future (RF).
19,Cereal consumption,USA,CC,2050,RF,% change,-9,NA,NA,NA,NA,NA,Page 8,Changes in cereal consumption are -9% in 2050 under the climate change (CC) scenario relative to the Reference Future (RF).
20,Cereal production,USA,ID,2050,RF,% change,-11.8,NA,NA,NA,NA,NA,Page 8,Change in cereal production is approximately -11.8% in 2050 under the import dependency (ID) scenario relative to the Reference Future (RF).
