,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,People Hit,Global,Observed,2005,Average Conditions,HIT/Gini Index,0.004,0.00,NA,NA,NA,NA,7,"Gini Index impact on Normalised Total of Number of persons hit based on model (1), Table 2a. Midpoint of 1992-2018 used as representative year."
1,People Hit,Global,Observed,2005,Average Conditions,HIT/GDP,-0.005,0.00,NA,NA,NA,NA,7,"GDP per capita i,t-1 impact on Normalised Total of Number of persons hit based on model (1), Table 2a. Midpoint of 1992-2018 used as representative year."
2,People Hit,Global,Observed,2005,Average Conditions,HIT/Gini Index,0.004,0.00,NA,NA,NA,NA,7,"Gini Index impact on Normalised Total of Number of persons hit based on model (2), Table 2a. Midpoint of 1992-2018 used as representative year."
3,People Hit,Global,Observed,2005,Average Conditions,HIT/GDP,-0.005,0.00,NA,NA,NA,NA,7,"GDP per capita i,t-1 impact on Normalised Total of Number of persons hit based on model (2), Table 2a. Midpoint of 1992-2018 used as representative year."
4,People Hit,Global,Observed,2005,Average Conditions,HIT/Public Exp,0.001,0.00,NA,NA,NA,NA,7,"Public expenditure impact on Normalised Total of Number of persons hit based on model (2), Table 2a. Midpoint of 1992-2018 used as representative year."
5,People Hit,Global,Observed,2005,Average Conditions,HIT/Disaster #,0.002,0.00,NA,NA,NA,NA,7,"Number of disasters i,t impact on Normalised Total of Number of persons hit based on model (2), Table 2a. Midpoint of 1992-2018 used as representative year."
6,People Hit,Global,Observed,2005,Average Conditions,HIT/Land Area,-0.000,0.00,NA,NA,NA,NA,7,"Land area impact on Normalised Total of Number of persons hit based on model (2), Table 2a. Midpoint of 1992-2018 used as representative year."
7,People Hit,Global,Observed,2005,Average Conditions,HIT/Rural Pop,0.000,0.00,NA,NA,NA,NA,7,"Rural population impact on Normalised Total of Number of persons hit based on model (2), Table 2a. Midpoint of 1992-2018 used as representative year."
8,People Hit,Global,Observed,2005,Average Conditions,HIT/Gini Index,0.004,0.00,NA,NA,NA,NA,7,"Gini Index impact on Normalised Total of Number of persons hit based on model (3), Table 2a. Midpoint of 1992-2018 used as representative year."
9,People Hit,Global,Observed,2005,Average Conditions,HIT/GDP,-0.004,0.00,NA,NA,NA,NA,7,"GDP per capita i,t-1 impact on Normalised Total of Number of persons hit based on model (3), Table 2a. Midpoint of 1992-2018 used as representative year."
10,People Hit,Global,Observed,2005,Average Conditions,HIT/Public Exp,0.001,0.00,NA,NA,NA,NA,7,"Public expenditure impact on Normalised Total of Number of persons hit based on model (3), Table 2a. Midpoint of 1992-2018 used as representative year."
11,People Hit,Global,Observed,2005,Average Conditions,HIT/Disaster #,0.002,0.00,NA,NA,NA,NA,7,"Number of disasters i,t impact on Normalised Total of Number of persons hit based on model (3), Table 2a. Midpoint of 1992-2018 used as representative year."
12,People Hit,Global,Observed,2005,Average Conditions,HIT/Land Area,-0.000,0.00,NA,NA,NA,NA,7,"Land area impact on Normalised Total of Number of persons hit based on model (3), Table 2a. Midpoint of 1992-2018 used as representative year."
13,People Hit,Global,Observed,2005,Average Conditions,HIT/Rural Pop,0.000,0.00,NA,NA,NA,NA,7,"Rural population impact on Normalised Total of Number of persons hit based on model (3), Table 2a. Midpoint of 1992-2018 used as representative year."
14,People Hit,Global,Observed,2005,Average Conditions,HIT/NHDI,0.094,0.01,NA,NA,NA,NA,7,"NHDI i,t-1 impact on Normalised Total of Number of persons hit based on model (3), Table 2a. Midpoint of 1992-2018 used as representative year."
15,People Hit,Global,Observed,2005,Average Conditions,HIT/Gini Index,0.003,0.00,NA,NA,NA,NA,7,"Gini Index impact on Normalised Total of Number of persons hit based on model (4), Table 2a. Midpoint of 1992-2018 used as representative year."
16,People Hit,Global,Observed,2005,Average Conditions,HIT/GDP,-0.001,0.00,NA,NA,NA,NA,7,"GDP per capita i,t-1 impact on Normalised Total of Number of persons hit based on model (4), Table 2a. Midpoint of 1992-2018 used as representative year."
17,People Hit,Global,Observed,2005,Average Conditions,HIT/Public Exp,0.001,0.00,NA,NA,NA,NA,7,"Public expenditure impact on Normalised Total of Number of persons hit based on model (4), Table 2a. Midpoint of 1992-2018 used as representative year."
18,People Hit,Global,Observed,2005,Average Conditions,HIT/Disaster #,0.002,0.00,NA,NA,NA,NA,7,"Number of disasters i,t impact on Normalised Total of Number of persons hit based on model (4), Table 2a. Midpoint of 1992-2018 used as representative year."
19,People Hit,Global,Observed,2005,Average Conditions,HIT/Land Area,-0.000,0.00,NA,NA,NA,NA,7,"Land area impact on Normalised Total of Number of persons hit based on model (4), Table 2a. Midpoint of 1992-2018 used as representative year."
20,People Hit,Global,Observed,2005,Average Conditions,HIT/Rural Pop,0.000,0.00,NA,NA,NA,NA,7,"Rural population impact on Normalised Total of Number of persons hit based on model (4), Table 2a. Midpoint of 1992-2018 used as representative year."
21,People Hit,Global,Observed,2005,Average Conditions,HIT/NHDI,0.092,0.01,NA,NA,NA,NA,7,"NHDI i,t-1 impact on Normalised Total of Number of persons hit based on model (4), Table 2a. Midpoint of 1992-2018 used as representative year."
22,People Hit,Global,Observed,2005,Average Conditions,HIT/Gini Index,0.003,0.00,NA,NA,NA,NA,7,"Gini Index impact on Normalised Total of Number of persons hit based on model (5), Table 2a. Midpoint of 1992-2018 used as representative year."
23,People Hit,Global,Observed,2005,Average Conditions,HIT/GDP,0.002,0.00,NA,NA,NA,NA,7,"GDP per capita i,t-1 impact on Normalised Total of Number of persons hit based on model (5), Table 2a. Midpoint of 1992-2018 used as representative year."
24,People Hit,Global,Observed,2005,Average Conditions,HIT/Public Exp,0.001,0.00,NA,NA,NA,NA,7,"Public expenditure impact on Normalised Total of Number of persons hit based on model (5), Table 2a. Midpoint of 1992-2018 used as representative year."
25,People Hit,Global,Observed,2005,Average Conditions,HIT/Disaster #,0.002,0.00,NA,NA,NA,NA,7,"Number of disasters i,t impact on Normalised Total of Number of persons hit based on model (5), Table 2a. Midpoint of 1992-2018 used as representative year."
26,People Hit,Global,Observed,2005,Average Conditions,HIT/Land Area,0.000,0.00,NA,NA,NA,NA,7,"Land area impact on Normalised Total of Number of persons hit based on model (5), Table 2a. Midpoint of 1992-2018 used as representative year."
