,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Domestic Tourist Arrivals,Portugal,A1B,2030,No CC,million EUR,-17.03,NA,NA,NA,NA,NA,Page 1,Lower bound of estimated annual costs due to burned area impact.
1,Domestic Tourist Arrivals,Portugal,A1B,2030,No CC,million EUR,-24.18,NA,NA,NA,NA,NA,Page 1,Upper bound of estimated annual costs due to burned area impact.
2,Inbound Tourist Arrivals,Portugal,A1B,2030,No CC,million EUR,-18.26,NA,NA,NA,NA,NA,Page 1,Lower bound of estimated annual costs due to burned area impact.
3,Inbound Tourist Arrivals,Portugal,A1B,2030,No CC,million EUR,-38.08,NA,NA,NA,NA,NA,Page 1,Upper bound of estimated annual costs due to burned area impact.
4,Tourist Arrivals,Portugal,A1B,2050,2030,Fold Increase,-4,NA,NA,NA,NA,NA,Page 1,Estimated annual costs from burned area impact will increase at least fourfold
5,Domestic Tourist Arrivals,Portugal,A1B,2030,No CC,million EUR,-17.03,NA,NA,NA,NA,NA,2,Estimated annual costs due to increased burned areas.
6,Domestic Tourist Arrivals,Portugal,A1B,2030,No CC,million EUR,-24.18,NA,NA,NA,NA,NA,2,Estimated annual costs due to increased burned areas.
7,Inbound Tourist Arrivals,Portugal,A1B,2030,No CC,million EUR,-18.26,NA,NA,NA,NA,NA,2,Estimated annual costs due to increased burned areas.
8,Inbound Tourist Arrivals,Portugal,A1B,2030,No CC,million EUR,-38.08,NA,NA,NA,NA,NA,2,Estimated annual costs due to increased burned areas.
9,Domestic Tourist Arrivals,Portugal,A1B,2050,No CC,million EUR,-68.12,NA,NA,NA,NA,NA,2,Estimated annual costs due to increased burned areas. Calculated as 17.03*4
10,Domestic Tourist Arrivals,Portugal,A1B,2050,No CC,million EUR,-96.72,NA,NA,NA,NA,NA,2,Estimated annual costs due to increased burned areas. Calculated as 24.18*4
11,Inbound Tourist Arrivals,Portugal,A1B,2050,No CC,million EUR,-73.04,NA,NA,NA,NA,NA,2,Estimated annual costs due to increased burned areas. Calculated as 18.26*4
12,Inbound Tourist Arrivals,Portugal,A1B,2050,No CC,million EUR,-152.32,NA,NA,NA,NA,NA,2,Estimated annual costs due to increased burned areas. Calculated as 38.08*4
