,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Spawning biomass,Eastern Bering Sea,MIROC ssp126,2099,No CC,% of unfished biomass,20,NA,NA,NA,NA,NA,Page 7,Probability of spawning biomass dropping below 20% of unfished level in 2099 is used as a conservation metric in the analysis.
1,Catch,Eastern Bering Sea,Null environmental model,2099,Spawning target,metric tons,170000,NA,NA,NA,NA,NA,Page 7,"Catches equilibrate at close to 170,000 t when assuming the null environmental model."
2,Spawning Biomass,Eastern Bering Sea,ssp126,2100,Unfished level,%,60,NA,NA,NA,NA,NA,Page 8,"All environmental scenarios, even the more optimistic ones (i.e., ssp126), result in a spawning biomass below the target level of 40% of the unfished level by the end of the projection period. Interpretation: value is greater than 60 because 40 is the target, and the level is 'below' the target, which indicates >=60% depletion (below 40% remaining). This result reflects model outputs rather than observations."
3,Spawning Biomass,Eastern Bering Sea,CESM ssp585,2100,Unfished level,%,20,NA,NA,NA,NA,NA,Page 8,predicting that the stock will drop below 20% of unfished spawning biomass. This result reflects model outputs rather than observations.
4,Spawning Biomass,Eastern Bering Sea,GFDL ssp585,2100,Unfished level,%,20,NA,NA,NA,NA,NA,Page 8,predicting that the stock will drop below 20% of unfished spawning biomass. This result reflects model outputs rather than observations.
5,R-squared,Eastern Bering Sea,1977-2022,1977,Env. Driver,NA,0.168,NA,NA,NA,NA,NA,"Page 8, Fig. 4",Model 1
6,R-squared,Eastern Bering Sea,1977-2022,1977,Env. Driver,NA,0.157,NA,NA,NA,NA,NA,"Page 8, Fig. 4",Model 2
7,R-squared,Eastern Bering Sea,1977-2022,1977,Env. Driver,NA,0.157,NA,NA,NA,NA,NA,"Page 8, Fig. 4",Model 3
8,R-squared,Eastern Bering Sea,1977-2022,1977,Env. Driver,NA,0.117,NA,NA,NA,NA,NA,"Page 8, Fig. 4",Model 4
9,Spawning biomass,Eastern Bering Sea,ssp126,2050,No CC,Ratio,-0.20,NA,NA,NA,NA,NA,Page 10,Projected decrease in spawning biomass for Pacific cod under the ssp126 scenario based on time-trajectories.
10,Spawning biomass,Eastern Bering Sea,ssp585,2050,No CC,Ratio,-0.40,NA,NA,NA,NA,NA,Page 10,"Projected decrease in spawning biomass for Pacific cod under the ssp585 scenario based on time-trajectories, larger impact than ssp126."
11,Biomass,Eastern Bering Sea,GFDL ssp585,2100,Null/MIROC,Avoid Crash,1,NA,NA,NA,NA,NA,16,"Catch limits based on GFDL ssp585 generally keeps the stock above the threshold of 20% of unfished spawning biomass, while catch limits based on null model or MIROC ssp126 lead to crash"
12,Catch,Eastern Bering Sea,GFDL ssp585,2100,Null/MIROC,Avoid Crash,1,NA,NA,NA,NA,NA,16,"Catch limits based on GFDL ssp585 generally keeps the stock above the threshold of 20% of unfished spawning biomass, while catch limits based on null model or MIROC ssp126 lead to crash"
13,Biomass,Eastern Bering Sea,GFDL/MIROC ssp585,2100,Constant FMEY,Ratio,0.99,NA,NA,NA,NA,NA,16,"Climate effects in the scenarios with the highest warming rates exceed the benefit of the harvest control rule by the end of the century (under GFDL, and MIROC ssp585 forcing scenarios). The NPFMC 40–5 harvest control rule attenuates biomass declines relative to a constant FMEY harvest control rule through reduced catch."
14,Catch,Eastern Bering Sea,GFDL/MIROC ssp585,2100,Constant FMEY,Ratio,0.99,NA,NA,NA,NA,NA,16,"Climate effects in the scenarios with the highest warming rates exceed the benefit of the harvest control rule by the end of the century (under GFDL, and MIROC ssp585 forcing scenarios). The NPFMC 40–5 harvest control rule attenuates biomass declines relative to a constant FMEY harvest control rule through reduced catch."
