,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Temperature,Northern Mexico,RCP8.5,2100,No CC,degrees Celsius,3.5,NA,NA,3,NA,4,Page 5,"Projected increase in average annual temperatures by the end of the century, midpoint of range provided"
1,Temperature,Mexico,RCP8.5,2100,No CC,degrees Celsius,2,NA,NA,1.5,NA,2.5,Page 5,"Projected increase in average annual temperatures, midpoint of range provided"
2,Growing Season Length,Canada and US,NA,1950,No CC,days per decade,2,NA,NA,NA,NA,NA,Page 5,Observed increase in growing season since 1950
3,Temperature,Mexico,NA,2027,Baseline,°C,1.75,NA,NA,NA,NA,NA,Page 6,Projected increase in average annual temperature. Average of 1.5-2
4,GDP per capita,Mexico,NA,2050,No CC,%,-9.5,NA,NA,NA,NA,NA,Page 6,Effect on national GDP growth due to climate change. Average of -7 to -12
5,Tropical Cyclones,Mexico,NA,2022,Past,%,60,NA,NA,NA,NA,NA,Page 6,Percentage of national territory affected by tropical cyclones.
6,Corn Yield,Mexico,NA,2100,Present,%,-35,NA,NA,NA,NA,NA,Page 6,Projected decline in seasonal corn production yields. Average of -30 to -40
7,Sea Level Rise,North America,NA,2075,Present,cm,40,NA,NA,NA,NA,NA,Page 6,Projected sea level rise in North America depending on the model. Average of 20-60
8,Ocean Acidification,Pacific Coast,NA,2022,Pre-industrial,pH,-0.5,NA,NA,NA,NA,NA,Page 6,"Decrease in pH, affecting marine life and tourism."
9,Weather-related Losses,North America,Observed,1980,No CC,US dollars,-805000000000,NA,NA,NA,NA,NA,7,Total losses since 1980
10,Insured Losses,North America,Observed,1980,No CC,US dollars,-454000000000,NA,NA,NA,NA,NA,7,Insured losses since 1980
11,Windstorm Damages,US,Observed,1980,No CC,US dollars,-180000000000,NA,NA,NA,NA,NA,7,Damages from 1980 to 2011 from severe thunderstorms
12,Temperature,US,Observed,2012,20th century norm,°F,3.8,NA,NA,NA,NA,NA,7,Mean temperature above 20th century norm
13,Temperature,US,Observed,2012,20th century norm,°C,2.1,NA,NA,NA,NA,NA,7,Mean temperature above 20th century norm
14,Suicide Rate,US Counties,NA,2018,No CC,percent / degree C,0.7,NA,NA,NA,NA,NA,10,"Effect of higher temperatures on suicide rate, from Obradovich et al., 2018"
15,Suicide Rate,Mexican Municipalities,NA,2018,No CC,percent / degree C,2.1,NA,NA,NA,NA,NA,10,"Effect of higher temperatures on suicide rate, from Obradovich et al., 2018"
16,Suicides,United States and Mexico,RCP8.5,2050,No CC,thousands,9,NA,NA,NA,NA,NA,11,Additional suicides due to unmitigated climate change
17,Suicides,United States and Mexico,RCP8.5,2050,No CC,thousands,40,NA,NA,NA,NA,NA,11,Additional suicides due to unmitigated climate change
18,Road Damage Costs,U.S.,RCP8.5,2090,No CC,billion USD / year,20,NA,NA,NA,NA,NA,11,Related to temperature- and precipitation-
19,Bridge Damage Costs,U.S.,RCP8.5,2050,No CC,billion USD / year,1.2,NA,NA,NA,NA,NA,11,Due to inland flooding
20,Bridge Damage Costs,U.S.,RCP8.5,2050,No CC,billion USD / year,1.4,NA,NA,NA,NA,NA,11,Due to inland flooding
21,Road Maintenance Costs,Mexico,Unspecified,2050,No CC,billion USD,1.5,NA,NA,NA,NA,NA,11,Additional national expenditure due to climate change impact on roads
22,Road Maintenance Costs,Mexico,Unspecified,2050,No CC,billion USD,5,NA,NA,NA,NA,NA,11,Additional national expenditure due to climate change impact on roads
23,Economic costs,North America,Observed,2020,No CC,USD,210000000000,NA,NA,NA,NA,NA,12,Direct economic costs of all extreme events
24,Economic costs,North America,Observed,2020,No CC,USD,268000000000,NA,NA,NA,NA,NA,12,Direct economic costs of all extreme events
25,Economic damage,New York and East Coast,Observed,2012,No CC,USD,60000000000,NA,NA,NA,NA,NA,12,From Hurricane Sandy
26,Economic damage,New York and East Coast,Observed,2012,No CC,USD,8100000000,NA,NA,NA,NA,NA,12,"Approximately, damages attributable to climate-mediated anthropogenic sea level rise during Hurricane Sandy"
27,Climate Finance Investment,Global,Observed,2022,No CC,USD / year,384000000000,NA,NA,NA,NA,NA,12,"Globally $384 billion of climate finance has been invested in urban areas per year in recent years, but this remains at about 10% of financial resources needed for low-carbon and resilient urban development (IPCC, 2022 Ch. 6)."
28,Resilience Investment,Urban Infrastructure,Projected,2030,2020,USD,1000000000000,NA,NA,NA,NA,NA,12,Median cost of delaying actions
29,Flooding,US,Observed,2020,No CC,%,233,NA,NA,NA,NA,NA,12,Increase in flooding over 20 years according to NOAA
30,Sea level rise,Global,Observed,2020,1950,cm,20,NA,NA,NA,NA,NA,12,Sea level has increased by 20 cm since 1950
31,Sea level rise,Global,Observed,2020,2000,cm,8,NA,NA,NA,NA,NA,12,Almost 8 cm sea level rise in the previous 20 years (2000-2020)
