,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Agricultural,Any,Norway,Climate Uncertainty,Agricultural Production,AvoidedImpact,Economic,Need,%,0,NA,NA,NA,NA,NA,Page 20,"Red meat production slightly negatively affected, white meat expanded in all scenarios."
1,Agricultural,Any,Norway,Policy Uncertainty,Agricultural Production,AvoidedImpact,Economic,Need,%,0,NA,NA,NA,NA,NA,Page 20,"White meat production receives far less direct subsidies than red meat production, and therefore a change in payments had a lower effect on the profitability of white meat production."
2,Agricultural,Any,Norway,Climate & Policy Unc.,Agricultural Production,AvoidedImpact,Economic,Need,%,0,NA,NA,NA,NA,NA,Page 20,A combination of climate uncertainty and policy uncertainty reinforced each other in expanding white meat production.
3,Agricultural,Any,Norway,Climate Uncertainty,Agricultural Area,AvoidedImpact,Economic,Need,%,0,NA,NA,NA,NA,NA,Page 20,Climate uncertainty had a larger effect on total agricultural area than had policy uncertainty.
4,Agriculture,Any,Norway,C&P,Land Rent,MonetaryBenefits,Economic,Need,Nkr per ha,0,NA,NA,1811,NA,6324,Page 21,"Maximum land rent (6324 Nkr per ha) was about 3.5 times higher than the minimum land rent (1811 Nkr per ha) under combined climate & policy uncertainty (C&P); Reported value is the mean, which is not explicitly stated but assumed to be non-zero given the context."
5,Agriculture,Policy,Norway,Climate,Land Rents,EconomicBenefits,Economic,Need,Nkr ha -1,3608,577,NA,NA,NA,NA,Table 7,Climate uncertainty (C)
6,Agriculture,Policy,Norway,Climate,Land Rents,EconomicBenefits,Economic,Need,Nkr ha -1,5963,NA,NA,2735,NA,4471,Table 7,Policy uncertainty (P)
7,Agriculture,Policy,Norway,Climate,Land Rents,EconomicBenefits,Economic,Need,Nkr ha -1,3823,1428,NA,1811,NA,6324,Table 7,Policy uncertainty (P)
8,Agriculture,Policy,Norway,Climate,Land Rents,EconomicBenefits,Economic,Need,Nkr ha -1,3685,1235,NA,1811,NA,6324,Table 7,Climate & Policy uncertainty (C&P)
9,Agriculture,Policy,Norway,Climate,Milk quota rents,EconomicBenefits,Economic,Need,Nkr kg -1,4.29,0.24,NA,3.81,NA,4.48,Table 7,Climate uncertainty (C)
10,Agriculture,Policy,Norway,Climate,Milk quota rents,EconomicBenefits,Economic,Need,Nkr kg -1,4.63,NA,NA,4.20,NA,4.76,Table 7,Policy uncertainty (P)
11,Agriculture,Policy,Norway,Climate,Milk quota rents,EconomicBenefits,Economic,Need,Nkr kg -1,4.42,0.14,NA,3.91,NA,4.76,Table 7,Policy uncertainty (P)
12,Agriculture,Policy,Norway,Climate,Milk quota rents,EconomicBenefits,Economic,Need,Nkr kg -1,4.24,0.18,NA,3.91,NA,4.76,Table 7,Climate & Policy uncertainty (C&P)
13,Agricultural,Any,Norway,Climate,Agricultural Income,MonetaryBenefits,Economic,Need,1 000 Nkr person-year-1,437,22.9,NA,410,NA,475,Table 8,"This is the mean agricultural income under climate uncertainty, with the min and max given as well as standard deviation."
14,Agricultural,Any,Norway,Policy,Agricultural Income,MonetaryBenefits,Economic,Need,1 000 Nkr person-year-1,439,11.7,NA,426,NA,458,Table 8,"This is the mean agricultural income under policy uncertainty, with the min and max given as well as standard deviation."
15,Agricultural,Any,Norway,Climate & Policy,Agricultural Income,MonetaryBenefits,Economic,Need,1 000 Nkr person-year-1,444,21.1,NA,401,NA,505,Table 8,"This is the mean agricultural income under combined climate and policy uncertainty, with the min and max given as well as standard deviation."
16,Agricultural,Any,Norway,Climate,Social Welfare,NonMonetaryBenefits,Economic,Need,bill Nkr,166,1.0,NA,164,NA,167,Table 8,"This is the mean Social Welfare under climate uncertainty, with the min and max given as well as standard deviation."
17,Agricultural,Any,Norway,Policy,Social Welfare,NonMonetaryBenefits,Economic,Need,bill Nkr,166,0.6,NA,165,NA,167,Table 8,"This is the mean Social Welfare under policy uncertainty, with the min and max given as well as standard deviation."
18,Agricultural,Any,Norway,Climate & Policy,Social Welfare,NonMonetaryBenefits,Economic,Need,bill Nkr,166,1.3,NA,163,NA,168,Table 8,"This is the mean Social Welfare under combined climate and policy uncertainty, with the min and max given as well as standard deviation."
