,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Substrate Temperature,Australia,Observed,2024,No Biochar,degrees C,-1,NA,NA,NA,NA,NA,11,"Biochar-amended substrates (GR-7.5M-M, GR-15M-M, and GR-7.5M-F) were noticeably lower than GR-0. The effect of biochar in reducing substrate temperature was more pronounced at higher ambient temperatures.",
1,Substrate Temperature,Australia,Observed,2024,No Biochar,degrees C,+1,NA,NA,NA,NA,NA,11,Biochar increased substrate temperature when top-dressed (GR-7.5T-F) during the day but released absorbed heat more quickly than GR-0 at night.,
2,Plant Coverage Area,Australia,Observed,2024,No Biochar,percent,+10,NA,NA,NA,NA,NA,11,Plant coverage area in the unmodified GR was apparently lower than that in biochar-modified GRs.,
3,Plant Coverage Area,Australia,Observed,2024,Other Biochar,percent,+5,NA,NA,NA,NA,NA,11,"Biochar in GR-15M-M had the greatest effects on the plant coverage area. Differences between other biochar-amended GRs were barely noticeable, due to columnar plant growth.",
4,Wallaby Grass Dry Weight,Australia,Observed,2024,GR 0,grams,+2,NA,NA,NA,NA,NA,Image description,GR 75-M has the highest dry weight relative to GR 0.,
5,Everlasting Dry Weight,Australia,Observed,2024,GR 0,grams,+3,NA,NA,NA,NA,NA,Image description,GR 50-F has the highest dry weight relative to GR 0.,
6,Billy Button Dry Weight,Australia,Observed,2024,GR 0,grams,+1,NA,NA,NA,NA,NA,Image description,GR 50-F has the highest dry weight relative to GR 0.,
7,Total Dry Weight,Australia,Observed,2024,GR 0,grams,+5,NA,NA,NA,NA,NA,Image description,GR 50-F has the highest total dry weight relative to GR 0.,
8,Substrate Temperature,Local,NA,2023,GR-0,Degrees Celsius,-4,NA,NA,NA,NA,NA,Page 13,"Maximum reduction in substrate temperature during the hottest times was observed in GR-7.5M-M as 4°C compared to GR-0. Assuming Present"" means within the study period of 2023-2024.""","
ComparedtoGR-0,themaximumreductioninsubstratetemperatureduringthehottest times of the hot days was 4 ◦C and 3.5 ◦C for GR-7.5M-M and GR-15M-M, respectively. They were reduced to 2◦C during the cold days.
"
9,Substrate Temperature,Local,NA,2023,GR-0,Degrees Celsius,-3.5,NA,NA,NA,NA,NA,Page 13,"Maximum reduction in substrate temperature during the hottest times was observed in GR-15M-M as 3.5°C compared to GR-0. Assuming Present"" means within the study period of 2023-2024.""","
ComparedtoGR-0,themaximumreductioninsubstratetemperatureduringthehottest times of the hot days was 4 ◦C and 3.5 ◦C for GR-7.5M-M and GR-15M-M, respectively. They were reduced to 2◦C during the cold days.
"
10,Substrate Temperature,Local,NA,2023,GR-0,Degrees Celsius,-2,NA,NA,NA,NA,NA,Page 13,"Reduction in substrate temperature during cold days relative to GR-0. Assuming Present"" means within the study period of 2023-2024.""","
ComparedtoGR-0,themaximumreductioninsubstratetemperatureduringthehottest times of the hot days was 4 ◦C and 3.5 ◦C for GR-7.5M-M and GR-15M-M, respectively. They were reduced to 2◦C during the cold days.
"
