,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Energy,Dams,"Nepal, Bangladesh","A2, IPSL",MonetaryBenefits,MonetaryBenefits,Economic,Need,billion USD / yr,6,NA,NA,NA,NA,9,page 45,"Benefits from energy production, development of all dams"
1,Irrigation,Dams,"Nepal, Bangladesh","A2, Various",MonetaryBenefits,MonetaryBenefits,Economic,Need,billion USD / yr,1.7,NA,NA,NA,NA,NA,page 45,"Benefits from irrigation, full development"
2,Irrigation,Dams,"Nepal, Bangladesh","A2, Various",MonetaryBenefits,MonetaryBenefits,Economic,Need,billion USD / yr,0.8,NA,NA,NA,NA,NA,page 45,"Benefits from irrigation, mega dams"
3,Irrigation,Dams,"Nepal, Bangladesh","A2, Various",MonetaryBenefits,MonetaryBenefits,Economic,Need,billion USD / yr,1.3,NA,NA,NA,NA,NA,page 45,"Benefits from irrigation, smaller dams"
4,All,Infrastructure,"Nepal, Bangladesh","A2, Various",CapExCost,CapExCost,Economic,Need,billion USD,35,NA,NA,NA,NA,NA,page 45,Cost of full set of infrastructures
5,All,Infrastructure,"Nepal, Bangladesh","A2, Various",MonetaryBenefits,MonetaryBenefits,Economic,Need,billion USD / yr,8,NA,NA,NA,NA,10,page 45,Total annual benefits with all infrastructures
6,All,Infrastructure,"Nepal, Bangladesh","A2, Various",MonetaryBenefits,MonetaryBenefits,Economic,Need,billion USD / yr,6,NA,NA,NA,NA,8,page 45,Incremental value of benefits above existing infrastructure
7,All,Infrastructure,"Nepal, Bangladesh","A2, Various",MonetaryBenefits,MonetaryBenefits,Economic,Need,billion USD / yr,4,NA,NA,NA,NA,6,page 45,"Conservative estimate of incremental benefits, low downstream water use values"
8,All,Infrastructure,"Nepal, Bangladesh","A2, Various",RateOfReturn,RateOfReturn(),Economic,Need,%,7.9,NA,NA,NA,NA,NA,page 45,"Rate of Return calculation, moderate productivity estimate"
9,All,Infrastructure,"Nepal, Bangladesh","A2, Various",RateOfReturn,RateOfReturn(),Economic,Need,%,6.1,NA,NA,NA,NA,NA,page 45,"Rate of Return calculation, conservative estimate"
10,Water Resources,Infrastructure,"Nepal, Bangladesh",A2,MonetaryBenefits,MonetaryBenefits,Economic,Need,$/kyr,0,NA,NA,NA,NA,12000,"Figure 8, Top Chart",Maximum value of hydropower production across scenarios and GCMs
11,Water Resources,Infrastructure,"Nepal, Bangladesh",A2,MonetaryBenefits,MonetaryBenefits,Economic,Need,$/kyr,0,NA,NA,NA,NA,1200,"Figure 8, Middle Chart",Maximum value of irrigation water across scenarios and GCMs
12,Water Resources,Infrastructure,"Nepal, Bangladesh",A2,MonetaryBenefits,MonetaryBenefits,Economic,Need,$/kyr,0,NA,NA,NA,NA,12000,"Figure 8, Bottom Chart",Maximum value of delta flows across scenarios and GCMs
13,Water Resources,Infrastructure,"Nepal, Bangladesh",A2,MonetaryBenefits,MonetaryBenefits,Economic,Need,$/kyr,0,NA,NA,NA,NA,0,"Figure 8, Top Chart",Minimum value of hydropower production across scenarios and GCMs
14,Water Resources,Infrastructure,"Nepal, Bangladesh",A2,MonetaryBenefits,MonetaryBenefits,Economic,Need,$/kyr,0,NA,NA,NA,NA,0,"Figure 8, Middle Chart",Minimum value of irrigation water across scenarios and GCMs
15,Water Resources,Infrastructure,"Nepal, Bangladesh",A2,MonetaryBenefits,MonetaryBenefits,Economic,Need,$/kyr,0,NA,NA,NA,NA,0,"Figure 8, Bottom Chart",Minimum value of delta flows across scenarios and GCMs
16,Water Resources,Dams,"Nepal, Bangladesh",A2,MonetaryBenefits,MonetaryBenefits [billion USD / yr],Economic,Need,billion USD / yr,4,NA,NA,NA,NA,8,Page 47,Hydropower benefits depend on the GCM and the assumed value of downstream flows.
17,Water Resources,Hydropower,"Nepal, Bangladesh",A2,MonetaryBenefits,MonetaryBenefits [billion USD / yr],Economic,Need,billion USD / yr,4,NA,NA,NA,NA,6,Page 47,Specific hydropower benefits depending on scenario.
