,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Heatwave Likelihood,Global,NDC Pledges,2050,2C Central,Ratio,0.3,NA,NA,NA,NA,NA,10,30-40% greater chance of a major heatwave with NDC Pledges than 2C Central
1,Flood Likelihood,India,NDC Pledges,2050,2C Central,Ratio,0.18,NA,NA,NA,NA,NA,10,18% increase in river flooding compared to 2C Central scenario
2,Flood Likelihood,Global,NDC Pledges,2050,2C Central,Ratio,0.12,NA,NA,NA,NA,NA,10,12% increase in river flooding compared to 2C Central scenario
3,Agricultural Drought Frequency,India,NDC Pledges,2050,2C Central,Ratio,0.25,NA,NA,NA,NA,NA,10,25% increase in agricultural drought frequency compared to 2C Central scenario
4,Heat Stress,SubSaharan Africa,NDC Pledges,2050,2C Central,%,25,NA,NA,NA,NA,NA,11,Increase in frequency of periods with heat stress for maize.
5,Heat Stress,Middle East,NDC Pledges,2050,2C Central,%,50,NA,NA,NA,NA,NA,11,Increase in frequency of periods with heat stress for maize.
6,Heat Stress,Russia,NDC Pledges,2050,2C Central,%,50,NA,NA,NA,NA,NA,11,Increase in frequency of periods with heat stress for maize.
7,Heat Stress,EU+UK,NDC Pledges,2050,2C Central,%,50,NA,NA,NA,NA,NA,11,Increase in frequency of periods with heat stress for maize.
8,Maize Yield,Russia,NDC Pledges,2050,2C Central,%,-20,NA,NA,NA,NA,NA,11,Regional reductions in maize yield resulting from reduced growth durations could be consistently 20-30% greater with the NDC Pledges scenario than the 2C Central scenario.
9,Maize Yield,Russia,NDC Pledges,2050,2C Central,%,-30,NA,NA,NA,NA,NA,11,Regional reductions in maize yield resulting from reduced growth durations could be consistently 20-30% greater with the NDC Pledges scenario than the 2C Central scenario.
10,Maize Yield,EU+UK,NDC Pledges,2050,2C Central,%,-20,NA,NA,NA,NA,NA,11,Regional reductions in maize yield resulting from reduced growth durations could be consistently 20-30% greater with the NDC Pledges scenario than the 2C Central scenario.
11,Maize Yield,EU+UK,NDC Pledges,2050,2C Central,%,-30,NA,NA,NA,NA,NA,11,Regional reductions in maize yield resulting from reduced growth durations could be consistently 20-30% greater with the NDC Pledges scenario than the 2C Central scenario.
12,Maize Yield,Brazil,NDC Pledges,2050,2C Central,%,-20,NA,NA,NA,NA,NA,11,Regional reductions in maize yield resulting from reduced growth durations could be consistently 20-30% greater with the NDC Pledges scenario than the 2C Central scenario.
13,Maize Yield,Brazil,NDC Pledges,2050,2C Central,%,-30,NA,NA,NA,NA,NA,11,Regional reductions in maize yield resulting from reduced growth durations could be consistently 20-30% greater with the NDC Pledges scenario than the 2C Central scenario.
14,Abatement Costs,Global,1.5C,2030,No CC,% of global GDP,1.6,NA,NA,NA,NA,NA,12,
15,Abatement Costs,Global,2C Central,2030,No CC,% of global GDP,0.6,NA,NA,NA,NA,NA,12,
16,Abatement Costs,Global,2C Central,2030,NDC Pledges,%,40,NA,NA,NA,NA,NA,12,40% higher than NDC Pledges scenario
17,Abatement Costs,Global,NDC Pledges,2030,No CC,% of global GDP,0.4,NA,NA,NA,NA,NA,12,
18,Drought Likelihood,Global,Various,1995,No CC,Likelihood (%),9.5,NA,NA,NA,NA,NA,Page 33,"The global average likelihood of experiencing a significant drought, relative to the average of 1981-2010."
19,Drought Impact,Global,Various,1995,No CC,Area of Cropland Affected (%),9.5,NA,NA,NA,NA,NA,Page 33,"The proportion of cropland affected by significant drought, relative to the average of 1981-2010."
20,Crop Growth Duration Reduction,Global,Various,2010,1981-2010 mean,Days,-10,NA,NA,NA,NA,NA,Page 33,Indicates a reduction in maize crop growth duration.
21,Yield Reduction,Global,Various,2010,1981-2010 mean,%,-8,NA,NA,NA,NA,NA,Page 33,Represents the estimated yield reduction associated with a 10-day decrease in maize growth duration.
22,Temperature Likelihood,Global,Various,1995,No CC,Likelihood (%),5,NA,NA,NA,NA,NA,Page 33,"The global likelihood of experiencing more than five days of damaging temperatures during maize reproductive phase, relative to the average of 1981-2010."
