,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,All,Any,Australia,Historical,Avoided Impact,MonetaryBenefits,Economic,Need,%,0.24,NA,NA,NA,NA,NA,Page 2,Claims increase by 0.24% per 1°C increase in daily maximum temperature. This can be considered an avoided impact from adaptation measures.
1,All,Any,Australia,Historical,Avoided Impact,MonetaryBenefits,Economic,Need,%,5.3,NA,NA,NA,NA,NA,Page 2,A day reaching 33–36 °C averages 5.3% more claims than a day 18–21 °C. This can be considered an avoided impact from adaptation measures.
2,Agriculture,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,-0.07,NA,NA,NA,NA,NA,Table 3,"Difference between % increase in claims from pre-2000 and post-2000 for all occupations (0.27%-0.20%). Represents reduced impact, likely driven by compositional change away from high-risk occupations."
3,Construction,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.02,NA,NA,NA,NA,NA,Table 3,Change in % increase in claims from pre-2000 and post-2000 for laborers and tradespersons (0.36%-0.34%). Negligible. It should be noted that the analysis is based on ex-post data and does not involve projected climate or socioeconomic scenarios.
4,Manufacturing,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.12,NA,NA,NA,NA,NA,Page 6,Estimate for all other occupations
5,Manufacturing,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.16,NA,NA,NA,NA,NA,Page 6,Estimate for production and transport workers
6,Agriculture,Any,Australia,NA,Semi-elasticity,BaselineImpact,Economic,Need,% change/°C,0.35,NA,NA,NA,NA,NA,Page 6,"Tradespersons and laborers high-risk occupations, increase in claims due to 1°C increase in maximum temperature"
7,All,Any,Australia,NA,Semi-elasticity,BaselineImpact,Economic,Need,% change/°C,0.24,NA,NA,NA,NA,NA,Page 6,Semi-elasticity of 0.24 indicates that a 1 °C increase in maximum temperature results in 0.24% more claims or an additional 0.5 claims in Victoria per day
8,Agriculture,Adaptation,Australia,NA,Semi-elasticity,0.24% per 1°C,Economic,Need,% increase in claims per °C,0.24,0.020,NA,NA,NA,NA,"Table 2, Table 3","The semi-elasticity is a measure of the percentage increase in occupational health claims per 1°C increase in maximum temperature, focusing on different occupations, with separated estimates for all occupations, high-risk occupations, and specific subcategories. High-risk occupations show a 0.35% increase per °C while all occupations show a 0.24% increase."
9,Construction,Any,Australia,Historical,Avoided claims,MonetaryBenefits,Economic,Need,%,6.2,NA,NA,NA,NA,NA,Page 8,"Labourers and tradespersons make 6.2% additional claims when the maximum temperature is 33–36 °C, compared to 18–21 °C."
10,Construction,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,%,0.14,0.05,NA,NA,NA,NA,Table 4,"Percentage increase in claims per 1°C increase in yesterday's maximum temperature, conditional on today's temperature. Significant at p<0.01, suggesting benefits from reducing past temperature exposure."
11,Construction,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,%,0.34,0.04,NA,NA,NA,NA,Table 4,Percentage increase in claims per 1°C increase in today's maximum temperature. Combined represents the total effect of a 1°C increase in max temp for a single day.
12,Agriculture,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.76,0.269,NA,NA,NA,NA,Table 5,Laborers/Trades
13,Food Services,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.63,0.348,NA,NA,NA,NA,Table 5,Laborers/Trades
14,Health Care,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.55,0.245,NA,NA,NA,NA,Table 5,Laborers/Trades
15,Warehousing,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.53,0.227,NA,NA,NA,NA,Table 5,Laborers/Trades
16,Construction,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.51,0.114,NA,NA,NA,NA,Table 5,Laborers/Trades
17,Manufacturing,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.36,0.079,NA,NA,NA,NA,Table 5,Laborers/Trades
18,Admin Support,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.35,0.209,NA,NA,NA,NA,Table 5,Laborers/Trades
19,Wholesale,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.17,0.207,NA,NA,NA,NA,Table 5,Laborers/Trades
20,Retail,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.10,0.234,NA,NA,NA,NA,Table 5,Laborers/Trades
21,All,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.42,0.045,NA,NA,NA,NA,Table 5,Laborers/Trades
22,Agriculture,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.11,0.429,NA,NA,NA,NA,Table 5,Other Occupations
23,Food Services,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.04,0.218,NA,NA,NA,NA,Table 5,Other Occupations
24,Health Care,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.07,0.096,NA,NA,NA,NA,Table 5,Other Occupations
25,Warehousing,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.43,0.120,NA,NA,NA,NA,Table 5,Other Occupations
26,Construction,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.38,0.222,NA,NA,NA,NA,Table 5,Other Occupations
27,Manufacturing,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.10,0.107,NA,NA,NA,NA,Table 5,Other Occupations
28,Admin Support,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.16,0.248,NA,NA,NA,NA,Table 5,Other Occupations
29,Wholesale,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.28,0.158,NA,NA,NA,NA,Table 5,Other Occupations
30,Retail,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.11,0.149,NA,NA,NA,NA,Table 5,Other Occupations
31,All,Any,Australia,NA,Semi-elasticity,AvoidedImpact,Economic,Need,% change/°C,0.13,0.039,NA,NA,NA,NA,Table 5,Other Occupations
32,Agriculture,Any,Australia,Historical,AvoidedImpact,AvoidedImpact,Economic,Need,AU$ million / yr,40.3,NA,NA,NA,NA,NA,Page 13,"Cost of additional occupational health claims due to 1.5°C warming, assuming current adaptation measures are maintained, considering all workers."
33,Agriculture,Any,Australia,Historical,AvoidedImpact,AvoidedImpact,Economic,Need,AU$ million / yr,54.8,NA,NA,NA,NA,NA,Page 13,"Cost of additional occupational injuries and diseases due to 1.5°C warming, assuming current adaptation measures are maintained, for all workers."
34,Agriculture,Any,Australia,Historical,AvoidedImpact,AvoidedImpact,Economic,Need,AU$ million / yr,37.4,NA,NA,NA,NA,NA,Page 13,"Cost of additional occupational injuries and diseases due to 1.5°C warming, assuming current adaptation measures are maintained, for laborers and tradespersons."
35,All,Any,Australia,NA,Economic Costs,BaselineImpact,Economic,Need,million AUD / yr,26.3,NA,NA,NA,NA,NA,Page 14,Average per annum cost of claims due to past warming in Victoria
36,All,Any,Australia,NA,Economic Costs,BaselineImpact,Economic,Need,million AUD / yr,35.6,NA,NA,NA,NA,NA,Page 14,Average per annum cost of all workplace injuries and diseases due to past warming in Victoria
37,"Const, Manuf, Agri",Any,Australia,NA,Economic Costs,BaselineImpact,Economic,Need,million AUD / yr,15.6,NA,NA,NA,NA,NA,Page 14,Annual costs for laborers and tradespersons claims due to past warming in Victoria
38,"Const, Manuf, Agri",Any,Australia,NA,Economic Costs,BaselineImpact,Economic,Need,million AUD / yr,21.2,NA,NA,NA,NA,NA,Page 14,Annual costs for laborers and tradespersons overall due to past warming in Victoria
