,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,PV efficiency,Global,CC & air pollutants,2100,Present,% / degree Celsius,-0.45,NA,NA,NA,NA,NA,Page 2,Module temperature reduces efficiency by 0.4–0.5 % per degree Celsius; assuming long-term effects.,"
Second, raising module temperature reduces efficiency by 0.4–0.5 % per degree Celsius, limiting productivity in hotter climates. Third, atmospheric conditions (clouds, aerosols, pollutants, and dust) can reduce electricity output by up to 60 %, especially in desert regions.
"
1,Electricity output,Desert regions,Atmospheric cond.,2024,No CC,%,-60,NA,NA,NA,NA,NA,Page 2,Atmospheric conditions can reduce electricity output by up to 60 %.,"
Second, raising module temperature reduces efficiency by 0.4–0.5 % per degree Celsius, limiting productivity in hotter climates. Third, atmospheric conditions (clouds, aerosols, pollutants, and dust) can reduce electricity output by up to 60 %, especially in desert regions.
"
2,PV Efficiency,Global,Unspecified,2025,No CC,percentage / degree Celsius,-0.45,NA,NA,NA,NA,NA,6,Average of -0.4 and -0.5 % per degree Celsius,"Second, raising module temperature reduces efficiency by 0.4–0.5 % per degree Celsius, limiting productivity in hotter climates.; Solar insolation and ambient air temperature are the two main environmental factors affecting solar PV output [71]. Real-world power delivery can deviate by up to 10 %"
3,Power Delivery,Global,Unspecified,2025,Real-world,percentage,-10,NA,NA,NA,NA,NA,6,Deviation due to temperature impacts,"Second, raising module temperature reduces efficiency by 0.4–0.5 % per degree Celsius, limiting productivity in hotter climates.; Solar insolation and ambient air temperature are the two main environmental factors affecting solar PV output [71]. Real-world power delivery can deviate by up to 10 %"
4,Efficiency,Global,c-Si,2024,Per degree Celsius rise,%/°C,-0.45,NA,NA,NA,NA,NA,Page 8,Typical commercial c-Si cells experience this drop in efficiency.,
5,Efficiency,Global,a-Si,2024,Per degree Celsius rise,%/°C,-0.25,NA,NA,NA,NA,NA,Page 8,Compared to this drop in efficiency for a-Si.,
6,Power,Global,Polycrystalline module at 45°C,2024,STC,%,-9,NA,NA,NA,NA,NA,Page 8,A polycrystalline module operating at 45°C should therefore produce 9 % less power than its predicted rating via STC.,
7,Open-circuit voltage,Global,c-Si,2024,Per degree Celsius beyond 25°C,mV/°C,-2.3,NA,NA,NA,NA,NA,Page 8,Open circuit voltage decreases by about 2.3 mV per degree C when temperature is beyond 25°C.,
8,Efficiency,Global,CdTe,2024,Per degree Kelvin,%/°K,-0.24,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for CdTe.,
9,Efficiency,Global,CdTe,2024,Per degree Kelvin,%/°K,-0.26,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for CdTe.,
10,Efficiency,Global,CIGS,2024,Per degree Kelvin,%/°K,-0.31,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for CIGS.,
11,Efficiency,Global,CIGS,2024,Per degree Kelvin,%/°K,-0.52,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for CIGS.,
12,Efficiency,Global,Monocrystalline silicon,2024,Per degree Kelvin,%/°K,-0.425,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for Monocrystalline silicon.,
13,Efficiency,Global,Monocrystalline silicon,2024,Per degree Kelvin,%/°K,-0.447,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for Monocrystalline silicon.,
14,Efficiency,Global,Multi-crystalline silicon,2024,Per degree Kelvin,%/°K,-0.434,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for Multi-crystalline silicon.,
15,Efficiency,Global,Multi-crystalline silicon,2024,Per degree Kelvin,%/°K,-0.470,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for Multi-crystalline silicon.,
16,Efficiency,Global,Thin film,2024,Per degree Kelvin,%/°K,-0.27,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for Thin film.,
17,Efficiency,Global,Thin film,2024,Per degree Kelvin,%/°K,-0.40,NA,NA,NA,NA,NA,Page 8,Temperature coefficient range for Thin film.,
18,Degradation rate,Global,PV cells and system components,2024,Per 10°C increase,%,-2,NA,NA,NA,NA,NA,Page 8,The degradation rate of PV modules approximately doubles for every 10°C increase in operating temperature.,
19,PV Capacity Factor,Desert Regions,Varies,2025,No CC,%,50,NA,NA,NA,NA,NA,Page 10,Cleaning can increase PV capacity factors by 50-100% even if only performed quarterly.,"Extensive studies [114,138,139] have explored strategies for dust management and cleaning to mitigate its effects. Cleaning is a major operating expense in desert regions [133], but can increase PV capacity factors by 50–100% even if only performed quarterly."
20,PV Capacity Factor,Desert Regions,Varies,2025,No CC,%,100,NA,NA,NA,NA,NA,Page 10,Cleaning can increase PV capacity factors by 50-100% even if only performed quarterly.,"Extensive studies [114,138,139] have explored strategies for dust management and cleaning to mitigate its effects. Cleaning is a major operating expense in desert regions [133], but can increase PV capacity factors by 50–100% even if only performed quarterly."
